Date,Price,Open,High,Low,Vol.,Change %
6/16/2023,71.78,70.55,71.89,69.95,,0.0164
6/15/2023,70.62,68.7,70.96,67.97,115610,0.0344
6/14/2023,68.27,69.35,70.49,68.07,304450,-0.0166
6/13/2023,69.42,67.31,69.83,67.15,366350,0.0343
6/12/2023,67.12,70.27,70.33,66.8,404770,-0.0435
6/9/2023,70.17,70.94,71.77,70.1,300720,-0.0157
6/8/2023,71.29,72.47,73.28,69.03,485400,-0.0171
6/7/2023,72.53,71.56,73.19,71.01,299130,0.011
6/6/2023,71.74,71.99,72.33,70.13,314960,-0.0057
6/5/2023,72.15,75.03,75.06,71.73,383940,0.0057
6/2/2023,71.74,70.21,72.17,70,322600,0.0234
6/1/2023,70.1,67.6,71.07,67.51,395390,0.0295
5/31/2023,68.09,69.62,69.69,67.03,444790,-0.0197
5/30/2023,69.46,73.23,73.55,69.02,440860,-0.0468
5/29/2023,72.87,73.22,73.55,72.05,,-0.0048
5/28/2023,73.22,73.11,73.45,73.06,,0.0076
5/26/2023,72.67,71.89,73.05,71.49,261500,0.0117
5/25/2023,71.83,74.21,74.37,70.98,422640,-0.0338
5/24/2023,74.34,73.77,74.73,73.13,386610,0.0196
5/23/2023,72.91,72.1,73.79,71.71,317590,0.0128
5/22/2023,71.99,71.7,72.36,70.55,18680,0.0061
5/19/2023,71.55,71.94,73.4,71.03,69950,-0.0043
5/18/2023,71.86,72.75,72.87,71.42,80860,-0.0133
5/17/2023,72.83,70.6,73.26,70.04,273710,0.0278
5/16/2023,70.86,71.32,71.79,70.45,232330,-0.0035
5/15/2023,71.11,70.04,71.69,69.41,259010,0.0153
5/12/2023,70.04,71.42,71.78,69.93,275440,-0.0117
5/11/2023,70.87,72.77,73.5,70.63,365890,-0.0233
5/10/2023,72.56,73.58,73.89,71.8,351510,-0.0156
5/9/2023,73.71,72.84,73.78,71.34,317490,0.0075
5/8/2023,73.16,71.35,73.69,71.04,290080,0.0255
5/5/2023,71.34,68.7,71.81,68.48,330590,0.0405
5/4/2023,68.56,68.16,69.84,63.64,412500,-0.0006
