Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,2.632,2.552,2.653,2.522,,0.0391
2023-06-15,2.533,2.346,2.568,2.315,260280,0.0816
2023-06-14,2.342,2.332,2.39,2.294,141180,0.0009
2023-06-13,2.34,2.284,2.37,2.275,179760,0.0327
2023-06-12,2.266,2.304,2.324,2.206,174480,0.0053
2023-06-09,2.254,2.32,2.338,2.25,169480,-0.0417
2023-06-08,2.352,2.334,2.38,2.277,217010,0.0099
2023-06-07,2.329,2.264,2.346,2.25,182390,0.0296
2023-06-06,2.262,2.272,2.291,2.173,147730,0.0076
2023-06-05,2.245,2.214,2.317,2.184,149920,0.0336
2023-06-02,2.172,2.163,2.233,2.138,155170,0.0065
2023-06-01,2.158,2.255,2.283,2.136,210620,-0.0477
2023-05-31,2.266,2.32,2.41,2.247,151830,-0.0262
2023-05-30,2.327,2.417,2.448,2.257,183530,-0.0094
2023-05-29,2.349,2.434,2.447,2.338,,-0.0353
2023-05-28,2.435,2.418,2.441,2.417,,0.1165
2023-05-26,2.181,2.292,2.298,2.143,2170,-0.0546
2023-05-25,2.307,2.413,2.441,2.258,48660,-0.0379
2023-05-24,2.398,2.347,2.415,2.317,33040,0.0332
2023-05-23,2.321,2.4,2.407,2.318,58740,-0.0329
2023-05-22,2.4,2.568,2.569,2.367,114480,-0.0716
2023-05-19,2.585,2.615,2.685,2.557,162130,-0.0027
2023-05-18,2.592,2.38,2.634,2.352,186290,0.096
2023-05-17,2.365,2.362,2.435,2.322,139260,-0.0046
2023-05-16,2.376,2.373,2.47,2.341,135430,0.0004
2023-05-15,2.375,2.265,2.384,2.25,142750,-0.0258
2023-05-12,2.438,2.342,2.495,2.31,131020,0.0397
2023-05-11,2.345,2.331,2.389,2.31,89130,0.0703
2023-05-10,2.191,2.262,2.265,2.16,126490,-0.0335
2023-05-09,2.267,2.249,2.297,2.184,134530,0.013
2023-05-08,2.238,2.148,2.255,2.14,125350,0.0473
2023-05-05,2.137,2.086,2.167,2.031,120690,0.0171
2023-05-04,2.101,2.157,2.189,2.081,113280,-0.0318
2023-05-03,2.17,2.224,2.241,2.103,130330,-0.0199
2023-05-02,2.214,2.314,2.345,2.186,127230,-0.0449
2023-05-01,2.318,2.398,2.41,2.29,108990,-0.0382
2023-04-28,2.41,2.358,2.529,2.285,176420,0.0234
2023-04-27,2.355,2.314,2.376,2.268,105220,0.1124
2023-04-26,2.117,2.239,2.274,2.101,2410,-0.0824
2023-04-25,2.307,2.262,2.312,2.17,66130,0.015
2023-04-24,2.273,2.22,2.286,2.181,56320,0.0179
2023-04-21,2.233,2.192,2.274,2.164,82960,-0.0071
2023-04-20,2.249,2.179,2.271,2.14,115590,0.0122
2023-04-19,2.222,2.373,2.383,2.177,147570,-0.0609
2023-04-18,2.366,2.29,2.385,2.229,120610,0.04
2023-04-17,2.275,2.15,2.314,2.146,191440,0.0762
2023-04-14,2.114,2.015,2.132,1.946,226790,0.0533
2023-04-13,2.007,2.084,2.13,1.995,224380,-0.0411
2023-04-12,2.093,2.221,2.229,2.069,247320,-0.0425
2023-04-11,2.186,2.182,2.247,2.126,220670,0.0064
2023-04-10,2.172,2.019,2.223,2.011,256800,0.0801
2023-04-06,2.011,2.141,2.181,1.992,189060,-0.0668
2023-04-05,2.155,2.096,2.197,2.065,147110,0.0233
2023-04-04,2.106,2.114,2.166,2.076,149120,0.0043
2023-04-03,2.097,2.085,2.16,2.015,173580,-0.0537
2023-03-31,2.216,2.107,2.241,2.074,164650,0.0532
2023-03-30,2.104,2.183,2.19,2.08,153730,0.0568
2023-03-29,1.991,2.024,2.083,1.944,3490,-0.0192
2023-03-28,2.03,2.089,2.122,1.998,62600,-0.0278
2023-03-27,2.088,2.13,2.143,2.059,39810,-0.1156
2023-03-24,2.361,2.277,2.382,2.267,122740,0.0342
2023-03-23,2.283,2.354,2.383,2.263,106540,-0.0104
2023-03-22,2.307,2.456,2.462,2.287,133980,-0.0716
2023-03-21,2.485,2.339,2.493,2.24,151460,0.0661
2023-03-20,2.331,2.46,2.521,2.324,101860,-0.047
2023-03-17,2.446,2.638,2.639,2.436,101400,-0.0685
2023-03-16,2.626,2.59,2.657,2.527,93850,0.0314
2023-03-15,2.546,2.696,2.71,2.499,117570,-0.0105
2023-03-14,2.573,2.624,2.674,2.53,93920,-0.0127
2023-03-13,2.606,2.426,2.633,2.391,146570,0.0724
2023-03-10,2.43,2.494,2.562,2.425,127170,-0.0444
2023-03-09,2.543,2.59,2.644,2.465,138150,-0.0031
2023-03-08,2.551,2.662,2.694,2.519,132610,-0.0506
2023-03-07,2.687,2.603,2.698,2.506,149480,0.0447
2023-03-06,2.572,2.83,2.83,2.532,246370,-0.1452
2023-03-03,3.009,2.789,3.027,2.772,185070,0.0882
2023-03-02,2.765,2.811,2.863,2.71,134240,-0.0164
2023-03-01,2.811,2.769,2.839,2.664,157120,0.0233
2023-02-28,2.747,2.723,2.788,2.568,160840,0.0059
2023-02-27,2.731,2.65,2.74,2.554,238900,0.1142
2023-02-24,2.451,2.345,2.577,2.307,3050,0.0592
2023-02-23,2.314,2.161,2.377,2.095,57090,0.0644
2023-02-22,2.174,2.066,2.302,1.967,57850,-0.0014
2023-02-21,2.177,2.306,2.373,2.162,175520,-0.0633
2023-02-20,2.324,2.304,2.373,2.271,,0.0082
2023-02-19,2.305,2.303,2.306,2.284,,-0.02
2023-02-17,2.352,2.485,2.521,2.304,132580,-0.0535
2023-02-16,2.485,2.554,2.635,2.455,101080,-0.0274
2023-02-15,2.555,2.686,2.693,2.531,106900,-0.0366
2023-02-14,2.652,2.522,2.7,2.518,120080,0.0612
2023-02-13,2.499,2.663,2.689,2.473,144730,-0.0414
2023-02-10,2.607,2.513,2.67,2.475,135220,0.0461
2023-02-09,2.492,2.497,2.578,2.441,112910,0.0061
2023-02-08,2.477,2.667,2.734,2.45,93350,-0.0702
2023-02-07,2.664,2.569,2.69,2.5,119360,0.0509
2023-02-06,2.535,2.495,2.57,2.447,64960,0.0222
2023-02-03,2.48,2.525,2.585,2.416,63360,-0.0167
2023-02-02,2.522,2.579,2.652,2.502,70790,-0.0055
2023-02-01,2.536,2.789,2.836,2.532,88090,-0.0748
2023-01-31,2.741,2.738,2.809,2.668,80030,0.0037
2023-01-30,2.731,2.75,2.807,2.661,61800,-0.0414
2023-01-27,2.849,2.853,2.908,2.747,128690,0.0004
2023-01-26,2.848,2.873,2.891,2.68,222210,-0.023
2023-01-25,2.915,3.065,3.078,2.86,152920,-0.0465
2023-01-24,3.057,3.228,3.3,3.031,133730,-0.0512
2023-01-23,3.222,3.216,3.243,2.992,139300,0.0151
2023-01-20,3.174,3.203,3.389,3.091,106740,-0.0308
2023-01-19,3.275,3.293,3.396,3.186,99670,-0.0109
2023-01-18,3.311,3.628,3.644,3.274,119850,-0.0767
2023-01-17,3.586,3.557,3.789,3.521,143310,-0.0242
2023-01-16,3.675,3.601,3.696,3.524,,0.0205
2023-01-15,3.601,3.591,3.615,3.554,,0.0532
2023-01-13,3.419,3.677,3.76,3.384,112100,-0.0747
