Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,2.5514,2.4825,2.5562,2.4735,,0.029
2023-06-15,2.4796,2.3646,2.49,2.3445,48210,0.0517
2023-06-14,2.3577,2.393,2.4323,2.3514,54130,-0.0158
2023-06-13,2.3955,2.3147,2.4088,2.3118,48300,0.0374
2023-06-12,2.3091,2.3607,2.3607,2.297,49800,-0.022
2023-06-09,2.361,2.3828,2.403,2.3593,39420,-0.0121
2023-06-08,2.3898,2.4042,2.4263,2.3174,55620,-0.005
2023-06-07,2.4018,2.36,2.4137,2.342,56310,0.0144
2023-06-06,2.3678,2.3745,2.3828,2.3279,37280,-0.0041
2023-06-05,2.3775,2.41,2.4286,2.3648,43930,0.0087
2023-06-02,2.3569,2.3174,2.3797,2.3115,52560,0.0182
2023-06-01,2.3147,2.24,2.3358,2.2352,53590,0.0244
2023-05-31,2.2596,2.2652,2.2879,2.2367,2890,-0.0093
2023-05-30,2.2808,2.3838,2.3874,2.275,19230,-0.0373
2023-05-29,2.3692,2.3635,2.3635,2.3385,380,0
2023-05-26,2.3693,2.3413,2.3913,2.3312,20730,0.0098
2023-05-25,2.3462,2.409,2.4131,2.3183,16620,-0.028
2023-05-24,2.4137,2.3774,2.42,2.375,22690,0.022
2023-05-23,2.3617,2.3703,2.4054,2.3567,21530,-0.002
2023-05-22,2.3664,2.3669,2.3814,2.3317,20450,0.0018
2023-05-19,2.3622,2.4094,2.4481,2.355,36210,-0.0168
2023-05-18,2.4026,2.4227,2.4251,2.3768,29800,-0.0083
2023-05-17,2.4226,2.3603,2.4311,2.3428,37640,0.0248
2023-05-16,2.3639,2.3802,2.3965,2.3436,39510,-0.0059
2023-05-15,2.378,2.305,2.3865,2.2812,48220,0.0314
2023-05-12,2.3055,2.3588,2.3617,2.301,38420,-0.0187
2023-05-11,2.3495,2.3935,2.4233,2.344,40240,-0.0183
2023-05-10,2.3934,2.3948,2.408,2.3644,48940,0.0013
2023-05-09,2.3902,2.3639,2.3936,2.322,34710,0.0053
2023-05-08,2.3777,2.3147,2.3845,2.3147,38530,0.0272
2023-05-05,2.3147,2.2409,2.3258,2.2307,40370,0.0339
2023-05-04,2.2387,2.2102,2.2695,2.15,44160,0.0029
2023-05-03,2.2323,2.295,2.2979,2.2046,54230,-0.0249
2023-05-02,2.2892,2.3818,2.3974,2.2714,58370,-0.0391
2023-05-01,2.3823,2.3722,2.3896,2.3268,41470,0.0015
2023-04-28,2.3787,2.3535,2.3935,2.332,3160,0.0104
2023-04-27,2.3542,2.3715,2.3881,2.3351,13980,-0.0079
2023-04-26,2.373,2.451,2.4695,2.3696,13430,-0.0319
2023-04-25,2.4511,2.5246,2.5465,2.4482,22920,-0.0316
2023-04-24,2.531,2.5042,2.5436,2.4618,27140,0.017
2023-04-21,2.4886,2.4917,2.522,2.4777,23050,-0.0025
2023-04-20,2.4949,2.5525,2.5525,2.4712,23900,-0.0246
2023-04-19,2.5577,2.599,2.6019,2.5457,22380,-0.0162
2023-04-18,2.5999,2.6244,2.629,2.5798,36630,-0.0057
2023-04-17,2.6147,2.6464,2.6512,2.5838,43510,-0.0093
2023-04-14,2.6392,2.6838,2.6851,2.632,51690,-0.0126
2023-04-13,2.6728,2.7016,2.7141,2.6636,38350,-0.0112
2023-04-12,2.7031,2.6679,2.7234,2.6489,46920,0.0131
2023-04-11,2.6682,2.6825,2.7057,2.6275,53730,-0.0049
2023-04-10,2.6814,2.6658,2.7036,2.6396,48250,0.0079
2023-04-06,2.6605,2.7325,2.7348,2.6564,71200,-0.0258
2023-04-05,2.731,2.69,2.7399,2.6561,69650,0.0241
2023-04-04,2.6667,2.6697,2.7013,2.6092,55350,0.0015
2023-04-03,2.6626,2.7235,2.7642,2.6509,57120,-0.0051
2023-03-31,2.6763,2.64,2.683,2.6286,3000,0.02
2023-03-30,2.6237,2.6498,2.6823,2.621,14290,-0.0129
2023-03-29,2.6581,2.7581,2.7666,2.6416,21740,-0.0403
2023-03-28,2.7696,2.7647,2.8073,2.7407,25710,-0.0003
2023-03-27,2.7704,2.715,2.7767,2.6819,34890,0.0279
2023-03-24,2.6952,2.6847,2.725,2.6188,27640,0.0039
2023-03-23,2.6847,2.715,2.7581,2.6724,35000,0.0301
2023-03-22,2.6063,2.5709,2.6374,2.5438,61320,0.013
2023-03-21,2.5729,2.5571,2.5793,2.5112,48040,0.0059
2023-03-20,2.5578,2.54,2.5718,2.4575,45130,0.0042
2023-03-17,2.5472,2.53,2.6102,2.5038,52180,0.0045
2023-03-16,2.5358,2.5162,2.5467,2.4238,46450,0.0117
2023-03-15,2.5065,2.635,2.66,2.4469,50920,-0.0766
2023-03-14,2.7144,2.7704,2.796,2.7017,45560,-0.0171
2023-03-13,2.7615,2.7792,2.808,2.6456,60540,-0.0041
2023-03-10,2.7729,2.6664,2.7923,2.6294,56650,0.039
2023-03-09,2.6689,2.7331,2.78,2.6647,55820,-0.0266
2023-03-08,2.7419,2.7842,2.8058,2.7168,56160,-0.0199
