Date,Price,Open,High,Low,Vol.,Change %
6/16/2023,720.25,713,726.75,708.25,96530,0.0271
6/15/2023,701.25,679,713.5,675,106770,0.0104
6/14/2023,694,697,710.5,685.75,118240,-0.0061
6/13/2023,698.25,673.5,702.75,671.75,110720,-0.0138
6/12/2023,708,695,696.25,687,3270,0
6/9/2023,708,702,711.5,696.5,22530,0.0057
6/8/2023,704,710.25,717,684,35850,-0.0091
6/7/2023,710.5,697,714.25,689.75,38260,0.0139
6/6/2023,700.75,701.5,702.75,685,36560,-0.0088
6/5/2023,707,698.25,720.25,697.25,30100,0.0169
6/2/2023,695.25,681.5,701,680.25,29510,0.0202
6/1/2023,681.5,658.25,687.75,656.5,44230,0.0283
5/31/2023,662.75,666.75,669.75,651.75,45200,-0.0141
5/30/2023,672.25,691.5,694.75,663,39490,-0.0247
5/29/2023,689.25,692.75,695.75,682.5,9360,-0.0047
5/26/2023,692.5,678.5,694.25,676.5,39630,0.0195
5/25/2023,679.25,699.75,701,671.25,39050,-0.0269
5/24/2023,698,690,702,688,39710,0.0131
5/23/2023,689,687.75,697.25,681.75,42290,0.0088
5/22/2023,683,682.5,688.25,672,58980,-0.0091
5/19/2023,689.25,695.25,707.5,680.5,86780,-0.0054
5/18/2023,693,702.25,704.25,687.5,71080,-0.0014
5/17/2023,694,679.25,705,676,105570,0.0206
5/16/2023,680,687.5,691.25,675.75,68980,0.0007
5/15/2023,679.5,663.75,690,655.75,75830,0.0157
5/12/2023,669,678.75,679,662.25,79130,-0.0371
5/11/2023,694.75,698,704.75,697.5,2150,0
5/10/2023,694.75,695,698,684,24660,0.0289
5/9/2023,675.25,689.75,694,673,27080,-0.0221
5/8/2023,690.5,675.5,693.75,672.25,19750,0.0294
5/5/2023,670.75,647.75,677.75,645.25,31690,0.0343
5/4/2023,648.5,631,656.5,631,48760,0.0185
5/3/2023,636.75,663.5,665,633.75,35230,-0.0367
5/2/2023,661,692.25,699.75,658.5,28850,-0.0434
5/1/2023,691,691.25,695.75,678.5,9860,-0.0058
4/28/2023,695,684,697.25,676,23470,0.0109
4/27/2023,687.5,691,696.75,679.75,27470,-0.0245
4/26/2023,704.75,716.25,722,689.25,34810,-0.0161
4/25/2023,716.25,735.5,742,713,35220,-0.0235
4/24/2023,733.5,723.5,739.75,712.5,31540,0.0131
4/21/2023,724,720,731,715.5,28870,0.0073
4/20/2023,718.75,738.5,739.25,714.5,60690,-0.0346
4/19/2023,744.5,754.5,756.75,736.5,50890,-0.0191
4/18/2023,759,759.5,763,748.5,49700,0.0023
4/17/2023,757.25,767.75,773.5,751.75,75240,-0.0191
4/14/2023,772,775.5,778.5,765.5,57370,-0.0131
4/13/2023,782.25,782.5,790,773.5,89960,0.0146
4/12/2023,771,777,783.75,777,1620,0
4/11/2023,771,778.5,784.5,762.5,24400,-0.0122
4/10/2023,780.5,779.5,786,769,11300,0.0003
4/6/2023,780.25,793,796.75,774,29480,-0.0111
4/5/2023,789,788.5,795.25,776.5,35840,0.024
4/4/2023,770.5,786.25,798.5,766.75,33450,-0.0241
4/3/2023,789.5,790.5,817.75,780.25,35380,0.0351
3/31/2023,762.75,757.25,770,752,24010,0.0086
3/30/2023,756.25,751.5,765,744.5,33300,-0.0085
3/29/2023,762.75,776.25,783,750,48320,-0.0256
3/28/2023,782.75,783.25,792,772.75,40000,0.0185
3/27/2023,768.5,770,788.5,760.25,34110,0.0042
3/24/2023,765.25,771,783.75,749,33870,-0.0205
3/23/2023,781.25,779.25,788.75,766.5,46240,-0.0041
3/22/2023,784.5,775.5,797.25,767.25,70560,0.0182
3/21/2023,770.5,773,779,756.75,58790,-0.0013
3/20/2023,771.5,772,783.5,740.25,71190,-0.0052
3/17/2023,775.5,760.75,788,757.5,100500,0.0337
3/16/2023,750.25,753.75,766,721.75,87630,0.0225
3/15/2023,733.75,791.25,801.75,730.75,104660,-0.086
3/14/2023,802.75,809.25,814.5,783.75,75610,-0.0019
3/13/2023,804.25,814.5,823.75,772.5,101740,0.0009
3/10/2023,803.5,785,785,773.25,1910,0
3/9/2023,803.5,809.75,818.75,783,18240,-0.0068
3/8/2023,809,822.5,827,803.5,28740,-0.0173
3/7/2023,823.25,853,856.75,817,27810,-0.0231
3/6/2023,842.75,857.25,858.25,836,26820,-0.0155
3/3/2023,856,849.75,864.25,831,32600,0.0079
3/2/2023,849.25,851.25,865,838,35170,0.0119
3/1/2023,839.25,822.25,850,822.25,25950,0.0072
2/28/2023,833.25,825,838.75,814.5,30210,0.0085
2/27/2023,826.25,812.75,830.25,810.5,31640,0.0223
2/24/2023,808.25,796.5,816,782.25,33620,0.0316
2/23/2023,783.5,787.75,802.25,779.25,33860,-0.0172
2/22/2023,797.25,813.5,817.5,788,36460,-0.0044
2/21/2023,800.75,802.25,820.25,784.75,36850,0.0019
2/20/2023,799.25,791.75,812.25,791.75,23930,0.0101
2/17/2023,791.25,812.75,814.75,772.5,64520,-0.0351
2/16/2023,820,829.75,843.5,810.25,58870,-0.0118
2/15/2023,829.75,854.75,856.75,820.5,60920,-0.0241
2/14/2023,850.25,838,864,833.25,72700,0.0107
2/13/2023,841.25,837.5,850,818.25,72160,0.0335
2/10/2023,814,811,844,809.75,980,0
2/9/2023,814,842.25,853.25,805.25,19270,-0.0263
2/8/2023,836,841.75,868,830.75,22090,0.0051
2/7/2023,831.75,797.75,842.5,797,23880,0.064
2/6/2023,781.75,805.75,816.25,764.75,29730,-0.0455
2/3/2023,819,845.5,854.25,800,25290,-0.0313
2/2/2023,845.5,868.25,873,842.25,35200,-0.0411
2/1/2023,881.75,918,923.25,856.75,37880,-0.0366
1/31/2023,915.25,896.25,924.75,875.75,36970,0.0063
1/30/2023,909.5,935,942.5,893,37490,-0.0304
1/27/2023,938,971.5,981.5,924.5,33110,-0.0282
1/26/2023,965.25,959.5,977.5,941.5,32740,0.0081
1/25/2023,957.5,986,999.75,949,35990,-0.0287
1/24/2023,985.75,1011.5,1024.5,974.5,31450,-0.0262
1/23/2023,1012.25,987.5,1020,982.75,46540,0.0292
1/20/2023,983.5,967.5,992.5,959,52620,0.0429
1/19/2023,943,929.25,968.5,920,72910,-0.011
1/18/2023,953.5,935,957.5,921.25,64950,0.0283
1/17/2023,927.25,933,945,921.25,69850,-0.0072
1/16/2023,934,938.75,940,926.25,41650,0.0013
1/13/2023,932.75,916.75,940,914.25,67520,0.0301
1/12/2023,905.5,910,925.75,910,750,0
1/11/2023,905.5,897.25,929.25,893.5,13210,0.0249
1/10/2023,883.5,882.25,908,877.5,16710,0.0034
1/9/2023,880.5,878.5,910,875.75,27990,0.0003
1/6/2023,880.25,866,885.25,854.25,25280,0.0232
1/5/2023,860.25,866.25,884.5,844,24680,0.0208
1/4/2023,842.75,883.25,884.25,835.5,32330,-0.0636
1/3/2023,900,945,950,880.75,28710,-0.0228
12/30/2022,921,936,944,916.25,17510,0.0024
12/29/2022,918.75,943.25,945.25,912.75,19890,-0.0019
12/28/2022,920.5,970,970.75,918.5,27880,-0.0508
12/27/2022,969.75,928,975,928,17440,0.0686
12/23/2022,907.5,896,934.75,882.25,21700,0.014
12/22/2022,895,906,914.25,886.75,23550,0.0042
12/21/2022,891.25,873.5,905,866.25,34980,0.0271
12/20/2022,867.75,883.5,886.25,855.75,37400,-0.0136
12/19/2022,879.75,891.75,902.25,870.5,41830,-0.0071
12/16/2022,886,930.5,933.5,882,57630,-0.0393
12/15/2022,922.25,930.5,940.5,917.25,53530,-0.0005
12/14/2022,922.75,886.75,937.75,884.5,56570,0.0444
12/13/2022,883.5,845.5,895.75,844.5,68470,0.0765
12/12/2022,820.75,823.25,823.5,794,1470,0
12/9/2022,820.75,822,832.5,802.25,11860,0.0186
12/8/2022,805.75,799.75,829.25,795.25,19940,-0.0037
12/7/2022,808.75,830.75,838.25,792.25,25730,-0.0164
12/6/2022,822.25,869.25,875.5,818.75,17410,-0.0797
12/5/2022,893.5,904,930,861.5,25920,-0.0206
12/2/2022,912.25,919,940.25,894,16660,-0.0425
12/1/2022,952.75,932.5,964,915.5,23570,0.0275
11/30/2022,927.25,904.25,936.75,896,18130,0.0392
11/29/2022,892.25,870.25,909,870,23080,0.0059
11/28/2022,887,901.75,901.75,872.5,25450,-0.0319
11/25/2022,916.25,922,935,894.25,22230,-0.0054
11/24/2022,921.25,915,922.75,906.5,16710,-0.0054
11/23/2022,926.25,945.75,949,912.75,35550,-0.018
11/22/2022,943.25,948.5,958,939.25,36890,0.0289
11/21/2022,916.75,950.25,961.25,915.25,40030,-0.0309
11/18/2022,946,959.75,968,926,47630,-0.0105
11/17/2022,956,990.75,995.5,950,51420,-0.036
11/16/2022,991.75,999.5,1013.5,981.75,46190,0.0015
11/15/2022,990.25,974.25,1018.75,970.25,46020,-0.0015
11/14/2022,991.75,990,1018,970,55190,0.004
11/11/2022,987.75,972.75,1014,971.75,64930,-0.0396
11/10/2022,1028.5,1007.25,1020.75,995.25,530,0
11/9/2022,1028.5,1037,1046.75,1008.25,17610,-0.0363
11/8/2022,1067.25,1069.5,1086.75,1038,23280,-0.0267
11/7/2022,1096.5,1109,1109,1068.25,23310,-0.0166
11/4/2022,1115,1105.75,1130,1097.75,18340,0.007
11/3/2022,1107.25,1055.5,1117.75,1045,22450,0.0503
11/2/2022,1054.25,1050.5,1063.25,1025,26740,0.0064
11/1/2022,1047.5,1081.5,1096.25,1044.5,27930,-0.0479
10/31/2022,1100.25,1130.5,1131.25,1063,35320,-0.0293
10/28/2022,1133.5,1121.5,1140,1115.5,23060,0.0207
10/27/2022,1110.5,1118,1124.5,1100,21720,0.0048
10/26/2022,1105.25,1073.75,1122.5,1063.5,26820,0.0308
10/25/2022,1072.25,1083,1083,1055.5,20000,-0.0092
10/24/2022,1082.25,1072.75,1098.5,1062.5,14590,0.0302
10/21/2022,1050.5,1058,1079.75,1032.25,27930,-0.0212
10/20/2022,1073.25,1061.5,1107.5,1045,37160,-0.0019
10/19/2022,1075.25,1104.75,1111.75,1060.25,44940,-0.0269
10/18/2022,1105,1118.75,1135,1095,49790,-0.0065
10/17/2022,1112.25,1096,1120,1088.75,35670,0.0244
10/14/2022,1085.75,1123,1133.25,1075.5,44940,-0.0269
10/13/2022,1115.75,1090,1131,1078.25,68160,-0.064
10/12/2022,1192,1182,1242.5,1182,960,0
10/11/2022,1192,1250,1265,1111.5,14610,-0.0698
10/10/2022,1281.5,1263.5,1309.5,1236,25740,0.0189
10/7/2022,1257.75,1211.75,1267.75,1198.75,16770,0.0607
10/6/2022,1185.75,1175.75,1211.5,1145.25,17400,0.003
10/5/2022,1182.25,1107.75,1185.75,1095.75,32970,0.0716
10/4/2022,1103.25,1037,1110,1035.25,38810,0.0698
10/3/2022,1031.25,1002.5,1040,1002.5,25870,0.0383
9/30/2022,993.25,1005.25,1005.5,977,28060,-0.0183
9/29/2022,1011.75,1021,1035,999.5,22890,0.003
9/28/2022,1008.75,962.5,1024.75,942.5,31720,0.0429
9/27/2022,967.25,921.5,972.5,921.5,29290,0.0353
9/26/2022,934.25,961.5,963.25,915,27820,-0.0299
9/23/2022,963,1000.5,1002.25,946,36630,-0.043
9/22/2022,1006.25,979.75,1018.5,973,47810,0.0403
9/21/2022,967.25,983.5,1032.5,960.75,67670,-0.0092
9/20/2022,976.25,980,993.5,966.5,53390,0.0138
9/19/2022,963,944.5,979,924.25,39350,0.0105
9/16/2022,953,935,964.5,923.5,67000,0.0322
9/15/2022,923.25,993.25,996,911,92720,-0.0688
9/14/2022,991.5,1057.25,1059.75,973,109800,-0.0624
9/13/2022,1057.5,1072.75,1089,1038.25,56320,-0.0253
9/12/2022,1085,1075,1094,1069.5,2490,0
9/9/2022,1085,1079.25,1093,1065,22740,0.0072
9/8/2022,1077.25,1085.38,1094.62,1064.88,,-0.0202
9/7/2022,1099.5,1086.25,1104.5,1061.75,19960,0.0188
9/6/2022,1079.25,1128,1134.75,1073.5,21470,-0.0549
9/5/2022,1142,1104,1152,1104,19890,0.0465
9/2/2022,1091.25,1081.75,1116.25,1055.75,22540,0.0388
9/1/2022,1050.5,1090.5,1094.5,1023,30570,-0.0437
8/31/2022,1098.5,1142.5,1153.75,1083.75,23690,-0.0209
8/30/2022,1122,1167.5,1183,1112.75,26260,-0.0542
8/29/2022,1186.25,1183.75,1190,1151.75,15600,-0.0065
8/26/2022,1194,1163.75,1197,1163.75,24220,0.017
8/25/2022,1174,1186.5,1207,1155.5,37890,0.0054
8/24/2022,1167.75,1130,1190,1123,35890,0.0436
8/23/2022,1119,1108,1139,1102,30880,0.0203
8/22/2022,1096.75,1097.25,1114.25,1069.25,34940,0.0087
8/19/2022,1087.25,1071.5,1100.5,1048,39620,0.0121
8/18/2022,1074.25,1063.75,1083.75,1050.75,46150,0.0314
8/17/2022,1041.5,1029.5,1065,1017,50960,0.0231
8/16/2022,1018,1021,1039,1010.75,47610,-0.0039
8/15/2022,1022,1039.75,1043.25,998.75,37650,-0.0222
8/12/2022,1045.25,1028,1053.5,1027,40820,0.0537
8/11/2022,992,1009,1049,1009,1680,0
8/10/2022,992,998,1022.5,967.25,13440,-0.0058
8/9/2022,997.75,951.25,1006.5,951.25,14330,0.0461
8/8/2022,953.75,960.5,971,937.25,19910,-0.0366
8/5/2022,990,1002.75,1009.25,955.25,16020,-0.0188
8/4/2022,1009,1033.25,1046.75,993.25,17550,-0.0251
8/3/2022,1035,1015.5,1060,1003,22230,0.0202
8/2/2022,1014.5,1031.25,1038.5,994.75,31380,-0.0136
8/1/2022,1028.5,1069.5,1074.25,1023,24760,-0.0705
7/29/2022,1106.5,1099.5,1120.5,1069.5,15270,0.0025
7/28/2022,1103.75,1103,1132.75,1080,22160,0.002
7/27/2022,1101.5,1065.25,1110.75,1056.25,25420,0.0299
7/26/2022,1069.5,1049.5,1083.25,1047.5,23720,0.013
7/25/2022,1055.75,1027,1066.75,1005.75,26640,-0.011
7/22/2022,1067.5,1050,1077,1019.25,28160,0.0399
7/21/2022,1026.5,1070.5,1070.5,1014.75,40770,-0.0422
7/20/2022,1071.75,1087,1088,1042,46920,0.0033
7/19/2022,1068.25,1078.5,1093.25,1043,41440,-0.0421
7/18/2022,1115.25,1110.5,1120,1076.25,40770,0.0025
7/15/2022,1112.5,1088.25,1117,1070.5,37940,0.0424
7/14/2022,1067.25,1093.5,1107.75,1040.25,58200,-0.0258
7/13/2022,1095.5,1069.75,1118.5,1069,53750,-0.0813
7/12/2022,1192.5,1196.25,1216.75,1140.25,1180,0
7/11/2022,1192.5,1149.75,1218.75,1130,16340,0.0521
7/8/2022,1133.5,1147,1156.75,1098.5,16260,0.0038
7/7/2022,1129.25,1064.5,1154.75,1041.5,13520,0.0429
7/6/2022,1082.75,1149.25,1153,1043.25,21220,-0.0615
7/5/2022,1153.75,1229.25,1230,1126.75,28400,-0.0686
7/4/2022,1238.75,1226,1244.25,1189.25,17460,0.01
7/1/2022,1226.5,1185.75,1247.5,1169.25,22580,0.0573
6/30/2022,1160,1189,1229.25,1142.25,26920,-0.049
6/29/2022,1219.75,1233.25,1250.25,1189.75,30320,0.0008
6/28/2022,1218.75,1268.5,1286.75,1188,32360,-0.0347
6/27/2022,1262.5,1289,1300,1250,27690,-0.0303
6/24/2022,1302,1283,1307,1278.75,21380,0.0089
6/23/2022,1290.5,1284.75,1318.75,1277,27890,0.0049
6/22/2022,1284.25,1287.75,1306.5,1248,32700,-0.0273
6/21/2022,1320.25,1320.25,1340,1280.75,31470,0.0025
6/20/2022,1317,1292.25,1321,1270,23390,0.0178
6/17/2022,1294,1322.25,1351.25,1258.25,46220,-0.0048
6/16/2022,1300.25,1322,1331,1289.75,30940,-0.024
6/15/2022,1332.25,1291.25,1343.75,1286,44390,0.0266
6/14/2022,1297.75,1268,1318.5,1256.25,42820,0.0237
6/13/2022,1267.75,1275.5,1289.25,1234,49610,-0.0876
6/10/2022,1389.5,1364.5,1433.75,1362.5,970,0
6/9/2022,1389.5,1338.5,1428.75,1320,16910,0.0371
6/8/2022,1339.75,1334.25,1352.25,1324.75,18450,0.0024
6/7/2022,1336.5,1362.75,1372.25,1318.5,24240,-0.0122
6/6/2022,1353,1327.75,1370,1314,19280,0.0262
6/3/2022,1318.5,1300,1329,1275.75,11410,0.0477
6/2/2022,1258.5,1262,1300,1228.75,13860,-0.0091
6/1/2022,1270,1218.25,1279.25,1212.75,21970,0.0207
5/31/2022,1244.25,1209.75,1274.25,1201,28710,0.0403
5/30/2022,1196,1183,1202.75,1172,21090,0.0233
5/27/2022,1168.75,1166.5,1183,1147.25,19640,0.008
5/26/2022,1159.5,1131,1169.5,1125.75,19110,0.0446
5/25/2022,1110,1090,1131,1090,26180,0.0153
5/24/2022,1093.25,1070,1097.75,1050.75,25540,0.0208
5/23/2022,1071,1057.75,1076.75,1048.5,25190,0.0028
5/20/2022,1068,1058,1071.75,1051.5,21750,0.022
5/19/2022,1045,1031.5,1063.5,989.5,36680,-0.0026
5/18/2022,1047.75,1075.5,1090.75,1030.75,29530,-0.0392
5/17/2022,1090.5,1099.75,1120,1063.75,37250,-0.0032
5/16/2022,1094,1092,1105,1062.5,21820,-0.0117
5/13/2022,1107,1075.25,1111.5,1060,41590,-0.0279
5/12/2022,1138.75,1094.75,1095,1063.75,1760,0
5/11/2022,1138.75,1144,1172.5,1098.75,10020,0.0113
5/10/2022,1126,1075,1139,1056.75,21780,0.0395
5/9/2022,1083.25,1146.25,1157,1066.75,22000,-0.0489
5/6/2022,1139,1162,1186,1121.25,23540,-0.0425
5/5/2022,1189.5,1214,1223,1155,25600,-0.0029
5/4/2022,1193,1198.75,1236.75,1182,29650,-0.0029
5/3/2022,1196.5,1296.5,1298.5,1185,20550,-0.0411
5/2/2022,1247.75,1205,1300,1200,13850,0.0167
4/29/2022,1227.25,1204.25,1249.75,1196,23820,0.0307
4/28/2022,1190.75,1186.25,1207,1164.5,24790,0.0184
4/27/2022,1169.25,1170.25,1188,1143,21030,0.0354
4/26/2022,1129.25,1106.75,1179.75,1084.25,32840,0.0598
4/25/2022,1065.5,1107.25,1114.5,1058,22550,-0.0476
4/22/2022,1118.75,1129.75,1132,1092,20270,0.0058
4/21/2022,1112.25,1143,1155.75,1101.75,29990,-0.0144
4/20/2022,1128.5,1133,1147,1115.25,28280,0.0227
4/19/2022,1103.5,1149,1161.5,1100.25,34840,-0.0582
4/18/2022,1171.75,1159.5,1188.5,1122.5,16750,0.0464
4/14/2022,1119.75,1111.5,1162.25,1081.5,45370,0.0601
4/13/2022,1056.25,1046,1119.75,1031.75,53310,0.0154
4/12/2022,1040.25,1070,1093,1070,940,0
4/11/2022,1040.25,1018.5,1073,994.25,13210,0.0244
4/8/2022,1015.5,1007,1031,992.5,13460,0.0336
4/7/2022,982.5,1034.75,1053.5,968.5,14880,-0.0681
4/6/2022,1054.25,1056,1111,1026.5,19930,-0.0241
4/5/2022,1080.25,1127.5,1140,1042,19810,-0.051
4/4/2022,1138.25,1102,1146.75,1098,20020,0.0433
4/1/2022,1091,1048,1106.25,1030.75,18540,0.0285
3/31/2022,1060.75,1080.75,1080.75,1013.75,17770,-0.0246
3/30/2022,1087.5,1070.5,1122.5,1055.25,22800,0.023
3/29/2022,1063,1074.25,1123.25,1000,33840,-0.0599
3/28/2022,1130.75,1195,1195,1054,22420,-0.0544
3/25/2022,1195.75,1232.75,1246.25,1153.5,26900,-0.0308
3/24/2022,1233.75,1240,1260,1215,27050,-0.0016
3/23/2022,1235.75,1160.5,1247.5,1155.5,26470,0.0551
3/22/2022,1171.25,1165.5,1183.75,1099.25,30490,0.0117
3/21/2022,1157.75,1081.75,1174.5,1081.5,34490,0.0873
3/18/2022,1064.75,1046.5,1085,1021,33870,0.0078
3/17/2022,1056.5,932,1060,924.25,47480,0.149
3/16/2022,919.5,885,942.5,883.25,41930,0.0171
3/15/2022,904,963,963,864.5,60640,-0.0622
3/14/2022,964,1021.25,1028.25,952.75,45350,-0.0474
3/11/2022,1012,986,1055,931.75,68060,-0.3353
3/10/2022,1522.5,1155.5,1204,1143,840,0
3/9/2022,1522.5,1578.5,1665,1058.5,17860,0.0199
3/8/2022,1492.75,1304.75,1565.25,1282.25,26830,0.1503
3/7/2022,1297.75,1221,1369.5,1221,38390,0.0958
3/4/2022,1184.25,1100,1217.25,1077.5,33330,0.081
3/3/2022,1095.5,1097.75,1191.75,1042.25,38990,0.0493
3/2/2022,1044,979.75,1112.5,979.75,49720,0.0852
3/1/2022,962,891.75,984.25,891.75,57540,0.0916
2/28/2022,881.25,860,899,860,59990,0.0535
2/25/2022,836.5,863.5,879.25,832.5,47100,-0.0614
2/24/2022,891.25,839.75,902.5,837.25,102700,0.0725
2/23/2022,831,829.5,843.5,821.75,58140,-0.0039
2/22/2022,834.25,835.5,857.75,824,66100,0.0137
2/21/2022,823,821,840.5,806,44400,0.0142
2/18/2022,811.5,812.75,820.5,790.25,76750,0.0025
2/17/2022,809.5,806.25,825.5,802.25,98730,-0.0334
2/16/2022,837.5,825.25,838,797.25,111400,0.0235
2/15/2022,818.25,847.5,850.25,811.25,91550,-0.0256
2/14/2022,839.75,844.75,854.5,826.75,87040,0.0151
2/11/2022,827.25,810.75,846.75,805.25,109720,-0.003
2/10/2022,829.75,831.75,845.5,826.25,3210,0
2/9/2022,829.75,824.25,836,814.75,25570,0.0212
2/8/2022,812.5,842,845,810,39170,-0.0469
2/7/2022,852.5,852,867,842.75,48020,0.0012
2/4/2022,851.5,832.5,861.25,832,51280,0.04
2/3/2022,818.75,806.5,832.25,801,52620,0.0228
2/2/2022,800.5,805,814.75,799,25380,-0.0019
2/1/2022,802,799.25,806,780.75,45500,0.0072
1/31/2022,796.25,806,811,787.75,44440,-0.0072
1/28/2022,802,802,809.25,790.75,47040,0.0155
1/27/2022,789.75,783.75,803.25,779.25,60680,0.0029
1/26/2022,787.5,767,790.25,765.5,53960,0.0341
1/25/2022,761.5,761.5,769.5,754,53180,0.011
1/24/2022,753.25,768,779,747,66480,-0.0208
1/21/2022,769.25,755,771.25,745,70760,-0.0052
1/20/2022,773.25,766.25,775,755.75,104100,-0.0035
1/19/2022,776,776.5,779.5,763.75,83560,0.014
1/18/2022,765.25,763,778.5,760.25,108550,0.0039
1/17/2022,762.25,757.25,764.75,753.5,65160,0.0174
1/14/2022,749.25,740,757,738.75,91240,0.0159
1/13/2022,737.5,739.25,745.25,732.25,113820,0.0158
1/12/2022,726,731.75,737.75,731.75,3070,0
1/11/2022,726,712,733.5,711.25,27990,0.0211
1/10/2022,711,709.75,718.25,708,44430,-0.0021
1/7/2022,712.5,710.25,718.25,708,34370,0
1/6/2022,712.5,696.5,715.5,690.25,53400,0.015
1/5/2022,702,691.25,705.75,687.5,33670,0.0237
1/4/2022,685.75,670,693,670,37110,0.0144
1/3/2022,676,669.5,680,662.5,21270,0.0135
12/31/2021,667,675.5,683,663.25,23240,-0.0159
12/30/2021,677.75,680,685.5,674,22820,0.0082
12/29/2021,672.25,680.25,688.25,670.5,38330,-0.0085
12/28/2021,678,672.5,686.75,670,18750,0.0018
12/27/2021,676.75,653,678,652,16170,0.0364
12/24/2021,653,663.75,664,649.75,6800,-0.0128
12/23/2021,661.5,658,664.25,650.75,42550,0.0193
12/22/2021,649,644.5,659,639.5,39310,0.0153
12/21/2021,639.25,625.5,645.25,616.25,58380,0.0544
12/20/2021,606.25,635.75,635.75,601.25,79170,-0.0549
12/17/2021,641.5,649.5,652.25,632.5,58670,-0.0176
12/16/2021,653,647.5,656.25,641,78640,0.0275
12/15/2021,635.5,641.5,647.75,633.5,60980,-0.0105
12/14/2021,642.25,647.25,653.75,634.25,69050,-0.01
12/13/2021,648.75,652.25,658,645,76790,-0.0069
12/10/2021,653.25,645.75,648.5,643.75,2730,0
12/9/2021,653.25,654.5,657.75,642,31370,0.0027
12/8/2021,651.5,646,656.25,639.75,33850,0.0046
12/7/2021,648.5,632.75,654,632,39660,0.0422
12/6/2021,622.25,616.5,635.75,613.5,41320,0.0053
12/3/2021,619,611,630.5,604.5,45140,0.0152
12/2/2021,609.75,596,615,576.25,61540,-0.0101
12/1/2021,616,596.75,622.25,590.5,57630,0.0271
11/30/2021,599.75,619,626,577.5,73620,-0.0404
11/29/2021,625,600,642.5,600,80440,0.0343
11/26/2021,604.25,685.75,685.75,596.25,107160,-0.1224
11/25/2021,688.5,689.25,691.75,686,31730,-0.0083
11/24/2021,694.25,687.5,695,685.5,51270,0.012
11/23/2021,686,672,692.75,662,74710,0.0178
11/22/2021,674,658,675.75,653.75,94710,0.0251
11/19/2021,657.5,689.75,697.75,654,169870,-0.0429
11/18/2021,687,683.25,692.25,675.5,97270,-0.0047
11/17/2021,690.25,700.25,701,679.75,108260,-0.0164
11/16/2021,701.75,691.25,707,690.75,96200,0.0215
11/15/2021,687,695.75,699,679.5,108390,-0.0165
11/12/2021,698.5,708,709,691.5,137050,-0.0503
11/11/2021,735.5,722,727,717.5,7570,0
11/10/2021,735.5,743.5,748.5,718.75,37220,-0.0027
11/9/2021,737.5,727.25,744,724,74680,0.0137
11/8/2021,727.5,717,728.5,716,46040,0.0094
11/5/2021,720.75,704.25,722.5,697.75,42300,0.0159
