Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,720.25,713,726.75,708.25,96530,0.0271
2023-06-15,701.25,679,713.5,675,106770,0.0104
2023-06-14,694,697,710.5,685.75,118240,-0.0061
2023-06-13,698.25,673.5,702.75,671.75,110720,-0.0138
2023-06-12,708,695,696.25,687,3270,0
2023-06-09,708,702,711.5,696.5,22530,0.0057
2023-06-08,704,710.25,717,684,35850,-0.0091
2023-06-07,710.5,697,714.25,689.75,38260,0.0139
2023-06-06,700.75,701.5,702.75,685,36560,-0.0088
2023-06-05,707,698.25,720.25,697.25,30100,0.0169
2023-06-02,695.25,681.5,701,680.25,29510,0.0202
2023-06-01,681.5,658.25,687.75,656.5,44230,0.0283
2023-05-31,662.75,666.75,669.75,651.75,45200,-0.0141
2023-05-30,672.25,691.5,694.75,663,39490,-0.0247
2023-05-29,689.25,692.75,695.75,682.5,9360,-0.0047
2023-05-26,692.5,678.5,694.25,676.5,39630,0.0195
2023-05-25,679.25,699.75,701,671.25,39050,-0.0269
2023-05-24,698,690,702,688,39710,0.0131
2023-05-23,689,687.75,697.25,681.75,42290,0.0088
2023-05-22,683,682.5,688.25,672,58980,-0.0091
2023-05-19,689.25,695.25,707.5,680.5,86780,-0.0054
2023-05-18,693,702.25,704.25,687.5,71080,-0.0014
2023-05-17,694,679.25,705,676,105570,0.0206
2023-05-16,680,687.5,691.25,675.75,68980,0.0007
2023-05-15,679.5,663.75,690,655.75,75830,0.0157
2023-05-12,669,678.75,679,662.25,79130,-0.0371
2023-05-11,694.75,698,704.75,697.5,2150,0
2023-05-10,694.75,695,698,684,24660,0.0289
2023-05-09,675.25,689.75,694,673,27080,-0.0221
2023-05-08,690.5,675.5,693.75,672.25,19750,0.0294
2023-05-05,670.75,647.75,677.75,645.25,31690,0.0343
2023-05-04,648.5,631,656.5,631,48760,0.0185
2023-05-03,636.75,663.5,665,633.75,35230,-0.0367
2023-05-02,661,692.25,699.75,658.5,28850,-0.0434
2023-05-01,691,691.25,695.75,678.5,9860,-0.0058
2023-04-28,695,684,697.25,676,23470,0.0109
2023-04-27,687.5,691,696.75,679.75,27470,-0.0245
2023-04-26,704.75,716.25,722,689.25,34810,-0.0161
2023-04-25,716.25,735.5,742,713,35220,-0.0235
2023-04-24,733.5,723.5,739.75,712.5,31540,0.0131
2023-04-21,724,720,731,715.5,28870,0.0073
2023-04-20,718.75,738.5,739.25,714.5,60690,-0.0346
2023-04-19,744.5,754.5,756.75,736.5,50890,-0.0191
2023-04-18,759,759.5,763,748.5,49700,0.0023
2023-04-17,757.25,767.75,773.5,751.75,75240,-0.0191
2023-04-14,772,775.5,778.5,765.5,57370,-0.0131
2023-04-13,782.25,782.5,790,773.5,89960,0.0146
2023-04-12,771,777,783.75,777,1620,0
2023-04-11,771,778.5,784.5,762.5,24400,-0.0122
2023-04-10,780.5,779.5,786,769,11300,0.0003
2023-04-06,780.25,793,796.75,774,29480,-0.0111
2023-04-05,789,788.5,795.25,776.5,35840,0.024
2023-04-04,770.5,786.25,798.5,766.75,33450,-0.0241
2023-04-03,789.5,790.5,817.75,780.25,35380,0.0351
2023-03-31,762.75,757.25,770,752,24010,0.0086
2023-03-30,756.25,751.5,765,744.5,33300,-0.0085
2023-03-29,762.75,776.25,783,750,48320,-0.0256
2023-03-28,782.75,783.25,792,772.75,40000,0.0185
2023-03-27,768.5,770,788.5,760.25,34110,0.0042
2023-03-24,765.25,771,783.75,749,33870,-0.0205
2023-03-23,781.25,779.25,788.75,766.5,46240,-0.0041
2023-03-22,784.5,775.5,797.25,767.25,70560,0.0182
2023-03-21,770.5,773,779,756.75,58790,-0.0013
2023-03-20,771.5,772,783.5,740.25,71190,-0.0052
