Date,Price,Open,High,Low,Vol.,,Change %
6/16/2023,182.4,182.4,182.4,182.4,,,0.0204
6/15/2023,178.75,178.75,178.75,178.75,,,0.0031
6/14/2023,178.2,178.2,178.2,178.2,,,-0.0249
6/13/2023,182.75,182.75,182.75,182.75,,,0.0125
6/12/2023,180.5,180.5,180.5,180.5,,,0.0285
6/9/2023,175.5,175.5,175.5,175.5,,,0.0171
6/8/2023,172.55,173,173,170,60,,-0.0132
6/7/2023,174.85,174.85,174.85,174.85,,,-0.0155
6/6/2023,177.6,177.6,177.6,177.6,,,0.0045
6/5/2023,176.8,176.8,176.8,176.8,,,0.0333
6/2/2023,171.1,171.1,171.1,171.1,,,0.0133
6/1/2023,168.85,165,165,165,,,0.0202
5/31/2023,165.5,165.5,165.5,165.5,,,-0.0265
5/30/2023,170,170,170,170,,,-0.0401
5/26/2023,177.1,177.1,177.1,177.1,,,0.0288
5/25/2023,172.15,170,172,170,20,,0.0109
5/24/2023,170.3,170,170.75,170,30,,-0.0379
5/23/2023,177,170.7,171,170.7,10,,0
5/22/2023,177,177,177,177,,,-0.0106
5/19/2023,178.9,178.9,178.9,178.9,,,0.0122
5/18/2023,176.75,176.75,176.75,176.75,,,-0.0159
5/17/2023,179.6,179.6,179.6,179.6,,,-0.0231
5/16/2023,183.85,183.85,183.85,183.85,,,-0.0168
5/15/2023,187,186,186,186,10,,0.0205
5/12/2023,183.25,183.25,183.25,183.25,,,0.0069
5/11/2023,182,182,182,182,,,-0.0027
5/10/2023,182.5,182.5,182.5,182.5,,,-0.0082
5/9/2023,184,186,186,186,,,-0.0213
5/5/2023,188,185.95,188,185.95,,,0.0108
5/4/2023,186,183,183,183,10,,0
5/3/2023,186,185,185,181,50,,-0.0159
5/2/2023,189,184,192.5,184,40,,0.0008
4/28/2023,188.85,185,194,185,20,,0.0064
4/27/2023,187.65,188,188,188,110,,-0.0121
4/26/2023,189.95,191,191,191,,,-0.0091
4/25/2023,191.7,191.5,195,190.5,80,,-0.0008
4/24/2023,191.85,192.05,192.05,190.5,170,,0.0016
4/21/2023,191.55,195,195,191.6,60,,-0.0212
4/20/2023,195.7,197,197,194.1,150,,-0.0208
4/19/2023,199.85,200,201.35,199,160,,-0.0167
4/18/2023,203.25,202.55,203.7,201,190,,0.0084
