Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,407.5,408.75,413,406.5,,0.0105
2023-06-15,403.25,390.25,407.5,386.25,,0.036
2023-06-14,389.25,379,392.5,372.5,570,0.0325
2023-06-13,377,365.75,380.25,365.75,640,0.0301
2023-06-12,366,355,367.25,351.5,370,0.0209
2023-06-09,358.5,361.75,368,353.5,520,0.0063
2023-06-08,356.25,344,361.25,338.5,620,0.0349
2023-06-07,344.25,342.75,347,336.5,510,-0.0072
2023-06-06,346.75,343,347,340.25,310,0.0109
2023-06-05,343,336.75,344.5,335.75,280,0.0163
2023-06-02,337.5,338.75,338.75,330,380,-0.0044
2023-06-01,339,339.5,344,337.75,380,0
2023-05-31,339,340.25,345.25,334.25,470,-0.0202
2023-05-30,346,343.5,346.25,339.5,400,0.0073
2023-05-26,343.5,338.25,345.25,338.25,410,0.0223
2023-05-25,336,328.25,342.5,327.5,470,0.019
2023-05-24,329.75,322,331,322,280,0.0257
2023-05-23,321.5,316,326.25,312,670,0.0223
2023-05-22,314.5,321.75,331.25,313.25,620,-0.024
2023-05-19,322.25,335,340,320,340,-0.0459
2023-05-18,337.75,342.5,343,331,310,-0.0153
2023-05-17,343,339,347,333.25,480,-0.0058
2023-05-16,345,340.25,347.25,338.5,610,0.0125
2023-05-15,340.75,336.25,344,333.5,370,0.0381
2023-05-12,328.25,340.5,340.5,334.75,60,0
2023-05-11,328.25,328.25,336.75,328,20,-0.0106
2023-05-10,331.75,340.25,341,340.25,40,0.0084
2023-05-09,329,337,340.25,336.5,30,-0.0045
2023-05-08,330.5,335.75,342,334.75,110,0.0336
2023-05-05,319.75,320,320,320,0,0.0257
2023-05-04,311.75,319.75,324,319,0,0.0418
2023-05-03,299.25,294,294,294,30,0.0266
2023-05-02,291.5,297.25,297.5,297.25,0,-0.011
2023-05-01,294.75,303.5,304.5,303.5,0,-0.024
2023-04-28,302,300,300,300,30,-0.0139
2023-04-27,306.25,322,322,305,310,-0.0504
2023-04-26,322.5,331,331,322,410,-0.0235
2023-04-25,330.25,325,332.75,319.75,510,0.0046
2023-04-24,328.75,332.5,333.5,328,370,-0.0142
2023-04-21,333.5,343,343,329.75,310,-0.0263
2023-04-20,342.5,347.5,347.5,341,520,-0.0137
2023-04-19,347.25,347,352.75,344.5,310,-0.0007
2023-04-18,347.5,343.25,349,339,260,0.0161
2023-04-17,342,338,343,337.5,170,0.0179
2023-04-14,336,333.75,338.75,333.75,210,0.0113
2023-04-13,332.25,334.75,338.75,331.75,320,-0.0104
2023-04-12,335.75,340,340,334.5,180,-0.0132
2023-04-11,340.25,341.5,343.75,339,330,-0.0007
2023-04-10,340.5,339.25,348.25,337.75,270,0.0007
2023-04-07,340.25,340.25,340.25,340.25,,0
2023-04-06,340.25,341,344.5,334.25,370,0.0067
2023-04-05,338,340.25,348.75,338,460,-0.0088
2023-04-04,341,350,353,336,760,-0.0208
2023-04-03,348.25,364.5,368.75,348.25,600,-0.0439
2023-03-31,364.25,371,373.5,361,540,-0.0228
2023-03-30,372.75,374.5,378,370.25,410,-0.0086
2023-03-29,376,379.25,385.75,374,570,-0.0086
2023-03-28,379.25,378,380,372.75,560,0.0053
2023-03-27,377.25,367.25,379.25,366,490,0.0237
2023-03-24,368.5,360,369.5,359.75,310,0.0194
2023-03-23,361.5,357.5,368.75,356.75,560,-0.0028
2023-03-22,362.5,356.5,367,355.5,380,0.0097
2023-03-21,359,356.5,362.5,356.5,430,0.0091
2023-03-20,355.75,345.75,361.75,345.25,430,0.0223
2023-03-17,348,347.25,349,346,80,0.0043
2023-03-16,346.5,347.25,349.25,343.25,170,-0.0029
2023-03-15,347.5,349,352,343.25,200,0.0213
2023-03-14,340.25,348.3,350.9,345.9,0,-0.0159
2023-03-13,345.75,349.75,349.75,349.75,10,0.008
2023-03-10,343,343,349.25,342,30,-0.0051
2023-03-09,344.75,348.25,352,347,60,-0.0014
2023-03-08,345.25,343.5,350,342.5,110,0.0222
2023-03-07,337.75,327,343.75,323.5,50,0.0514
2023-03-06,321.25,332.75,332.75,326.75,60,-0.0453
2023-03-03,336.5,338,338,331.5,,-0.0052
2023-03-02,338.25,340,340,335.75,30,-0.0418
2023-03-01,353,339,339,339,0,0.0444
2023-02-28,338,345.5,345.5,339,120,-0.0167
2023-02-27,343.75,345.5,346,344.25,80,-0.093
2023-02-24,379,372.75,389,370.75,160,0.0209
2023-02-23,371.25,365,372.75,360.5,310,0.0192
2023-02-22,364.25,362,367.5,356.5,240,0
2023-02-21,364.25,363.75,369.25,360.25,320,0.0014
2023-02-17,363.75,364.5,375.25,361,200,0.0021
2023-02-16,363,356.5,364.5,348.25,360,0.0168
2023-02-15,357,368.5,368.5,355,300,-0.0239
2023-02-14,365.75,370,371,364.25,380,-0.0201
2023-02-13,373.25,376.5,376.5,370,150,-0.0093
2023-02-10,376.75,382.5,382.5,368,320,-0.0112
2023-02-09,381,383,388.5,378.25,360,-0.0142
2023-02-08,386.5,382.75,389,381,170,0.0045
2023-02-07,384.75,386,392.5,382,180,0.0026
2023-02-06,383.75,384,388,380.5,210,0.0007
2023-02-03,383.5,392.25,392.75,378.75,240,-0.0148
2023-02-02,389.25,393.25,394.75,385.5,270,-0.0095
2023-02-01,393,393.25,398.75,385,540,-0.0025
2023-01-31,394,392.25,396.25,391.75,610,0.0064
2023-01-30,391.5,387.75,396,387.75,410,0.0084
2023-01-27,388.25,387.25,390.25,384.75,380,0.0052
2023-01-26,386.25,377,386.75,367.75,340,0.0218
2023-01-25,378,375.25,386,373,480,0.008
2023-01-24,375,370.25,375.75,368.5,360,0.0115
2023-01-23,370.75,369.75,372,360.75,230,-0.0007
2023-01-20,371,365.5,372,365.25,150,0.0075
2023-01-19,368.25,368,373,362,190,-0.0061
2023-01-18,370.5,369,374.75,365.5,430,-0.0027
2023-01-17,371.5,362,372.25,361.5,350,0.0206
2023-01-13,364,358.75,367.75,358,320,0.0076
2023-01-12,361.25,350,362.25,350,280,0.0344
2023-01-11,349.25,343.25,351.25,340,190,0.0242
2023-01-10,341,340.5,345.75,334.5,270,0.0059
2023-01-09,339,345,348.75,336.25,320,-0.0153
2023-01-06,344.25,349,353.75,340,310,-0.0043
2023-01-05,345.75,357.5,361.25,345,370,-0.0335
2023-01-04,357.75,364,364.75,354.25,510,-0.0158
2023-01-03,363.5,366,367.5,360,360,-0.0102
2022-12-30,367.25,369.5,372.5,365.25,170,-0.0074
2022-12-29,370,375,375,362.75,340,-0.0173
2022-12-28,376.5,368.25,377.25,368.25,350,0.0162
2022-12-27,370.5,364.5,377.5,364.5,560,0.0193
2022-12-23,363.5,354.25,367,351,380,0.0254
2022-12-22,354.5,345.75,355.75,343.5,360,0.0238
