Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,17.795,17.75,18.095,17.635,,0.0031
2023-06-15,17.74,17.6,18.065,17.59,560,0.0065
2023-06-14,17.625,18.32,18.32,17.5,720,-0.0455
2023-06-13,18.465,19.55,19.67,18.465,660,-0.061
2023-06-12,19.665,18.705,19.92,18.705,780,0.0336
2023-06-09,19.025,18.77,19.425,18.57,750,0.013
2023-06-08,18.78,18.3,18.795,18.28,830,0.0257
2023-06-07,18.31,18.165,18.335,17.93,540,0.0102
2023-06-06,18.125,17.925,18.165,17.925,580,0.0106
2023-06-05,17.935,17.69,18.075,17.63,640,0.0138
2023-06-02,17.69,17.48,17.78,17.33,450,0.012
2023-06-01,17.48,17.17,17.645,17.16,410,0.011
2023-05-31,17.29,17.045,17.315,16.84,590,0.0153
2023-05-30,17.03,17.07,17.425,16.935,450,-0.0023
2023-05-26,17.07,16.68,17.21,16.6,450,0.0283
2023-05-25,16.6,16.63,16.805,16.595,620,-0.0009
2023-05-24,16.615,16.69,16.805,16.6,750,-0.0045
2023-05-23,16.69,16.865,16.87,16.66,680,-0.0086
2023-05-22,16.835,17.095,17.265,16.705,810,-0.0135
2023-05-19,17.065,17.325,17.4,17.06,490,-0.0156
2023-05-18,17.335,17.53,17.61,17.33,330,-0.01
2023-05-17,17.51,17.43,17.58,17.305,490,0.0057
2023-05-16,17.41,17.855,17.965,17.36,600,-0.0249
2023-05-15,17.855,18.42,18.59,17.8,790,-0.023
2023-05-12,18.275,18.27,18.5,18.24,,0.0099
2023-05-11,18.095,18.265,18.395,18.16,10,-0.0028
2023-05-10,18.145,18,18,18,10,0.0078
2023-05-09,18.005,18.365,18.365,17.985,770,-0.008
2023-05-08,18.15,18.1,18.1,18.1,10,0.0044
2023-05-05,18.07,18,18.05,18,20,0.0163
2023-05-04,17.78,17.77,17.79,17.77,10,0.0028
2023-05-03,17.73,17.765,17.78,17.765,10,0.0048
2023-05-02,17.645,17.685,17.685,17.685,10,0.0083
2023-05-01,17.5,17.465,17.465,17.465,20,0.0066
2023-04-28,17.385,17.305,17.305,17.28,60,0.0311
2023-04-27,16.86,16.855,16.99,16.765,300,-0.0041
2023-04-26,16.93,16.97,17.04,16.86,160,0.0018
2023-04-25,16.9,16.94,17.125,16.7,240,-0.0024
2023-04-24,16.94,17.045,17.075,16.87,440,0.0015
2023-04-21,16.915,16.86,17.075,16.86,380,0.008
2023-04-20,16.78,17.14,17.22,16.765,390,-0.0199
2023-04-19,17.12,17.37,17.37,17.09,640,-0.0127
2023-04-18,17.34,17.345,17.465,17.25,390,0.0006
2023-04-17,17.33,17.33,17.415,17.005,700,-0.0032
2023-04-14,17.385,17.61,17.745,17.26,830,-0.0091
2023-04-13,17.545,17.515,17.86,17.39,1070,-0.0003
2023-04-12,17.55,17.04,17.6,17.025,1050,0.0351
2023-04-11,16.955,16.42,17.155,16.31,750,0.0332
2023-04-10,16.41,16.65,16.75,16.255,770,-0.0135
2023-04-07,16.635,16.635,16.635,16.635,,0
2023-04-06,16.635,16.865,16.89,16.54,740,-0.0116
2023-04-05,16.83,16.765,16.9,16.71,440,0.0024
2023-04-04,16.79,17.15,17.15,16.69,660,-0.017
2023-04-03,17.08,17.425,17.6,17.01,500,-0.0192
2023-03-31,17.415,17.715,17.78,17.39,490,-0.0105
2023-03-30,17.6,17.705,17.74,17.57,250,-0.0059
2023-03-29,17.705,17.715,17.885,17.6,370,-0.0023
2023-03-28,17.745,17.785,17.97,17.715,450,-0.005
2023-03-27,17.835,17.875,18,17.695,880,-0.0025
2023-03-24,17.88,17.525,17.945,17.505,1450,0.0182
2023-03-23,17.56,17.19,17.57,17.15,550,0.0177
2023-03-22,17.255,17.29,17.34,17.12,330,-0.0006
2023-03-21,17.265,17.34,17.44,17.225,280,-0.0023
2023-03-20,17.305,17.065,17.34,17,230,0.0061
2023-03-17,17.2,17.29,17.35,17.13,250,-0.0052
2023-03-16,17.29,17.27,17.47,17.21,480,0.0012
2023-03-15,17.27,17.15,17.49,17.15,1050,0.0323
2023-03-14,16.73,16.69,17.19,16.69,700,0.0232
2023-03-13,16.35,16.4,16.735,16.275,,0.0196
2023-03-10,16.035,16.37,16.56,16.28,,0.0016
2023-03-09,16.01,16.33,16.51,16.25,10,0.0019
2023-03-08,15.98,16.65,16.65,16.25,40,-0.0211
2023-03-07,16.325,16.94,16.975,16.515,40,-0.0163
2023-03-06,16.595,17.36,17.43,16.91,420,-0.0235
2023-03-03,16.995,17.525,17.59,17.33,,-0.0142
2023-03-02,17.24,17.15,17.225,17.15,40,0.0044
2023-03-01,17.165,16.84,17.21,16.84,80,0.0115
2023-02-28,16.97,16.92,17.005,16.92,190,-0.0012
2023-02-27,16.99,16.65,16.98,16.65,1180,0.0113
2023-02-24,16.8,16.78,16.86,16.71,440,-0.0006
2023-02-23,16.81,16.99,17.05,16.73,400,-0.0126
2023-02-22,17.025,17.285,17.285,16.9,510,-0.0142
2023-02-21,17.27,17.55,17.55,17.125,770,-0.014
2023-02-17,17.515,17.62,17.635,17.47,630,-0.0023
2023-02-16,17.555,17.51,17.64,17.475,590,0.0003
2023-02-15,17.55,17.66,17.675,17.47,920,-0.009
2023-02-14,17.71,17.86,17.895,17.63,660,-0.0112
2023-02-13,17.91,18.09,18.155,17.845,650,-0.0097
2023-02-10,18.085,18.05,18.18,18.005,670,-0.0017
2023-02-09,18.115,17.965,18.195,17.855,800,0.012
2023-02-08,17.9,17.48,18,17.455,730,0.0243
2023-02-07,17.475,17.555,17.62,17.47,920,-0.004
2023-02-06,17.545,17.72,17.765,17.54,750,-0.011
2023-02-03,17.74,17.775,17.79,17.71,500,-0.0022
2023-02-02,17.78,17.84,17.935,17.77,480,-0.0036
2023-02-01,17.845,17.825,17.955,17.77,480,0.0011
2023-01-31,17.825,18.06,18.14,17.815,600,-0.0163
2023-01-30,18.12,18.25,18.335,18,410,-0.0104
2023-01-27,18.31,18.27,18.34,18.245,400,0
2023-01-26,18.31,18.155,18.36,18.155,410,0.0083
2023-01-25,18.16,18.15,18.27,18.14,200,-0.0036
2023-01-24,18.225,18.165,18.33,18.11,490,0
2023-01-23,18.225,18.085,18.25,18.01,510,0.0064
2023-01-20,18.11,17.915,18.135,17.9,430,0.0112
2023-01-19,17.91,17.915,18.09,17.86,250,-0.0033
2023-01-18,17.97,17.93,18.015,17.77,450,0.002
2023-01-17,17.935,18.055,18.06,17.76,390,0.0036
2023-01-13,17.87,18.075,18.375,18.05,10,0.0051
2023-01-12,17.78,17.795,18.07,17.6,20,0.0177
2023-01-11,17.47,17.99,18.05,17.6,,-0.0136
2023-01-10,17.71,17.87,18.035,17.835,,0.004
2023-01-09,17.64,17.45,17.55,17.45,30,0.0083
2023-01-06,17.495,17.3,17.3,17.25,10,0.0069
2023-01-05,17.375,17.49,17.495,17,40,-0.0071
2023-01-04,17.5,17.55,17.55,17.5,20,-0.0318
2023-01-03,18.075,17.915,17.97,17.915,10,0.0014
2022-12-30,18.05,17.96,18.03,17.96,20,0.0087
2022-12-29,17.895,17.64,17.935,17.635,140,0.0093
2022-12-28,17.73,17.61,17.92,17.57,370,-0.0114
2022-12-27,17.935,18,18.135,17.875,330,-0.0044
2022-12-23,18.015,17.95,18.025,17.89,510,0.0033
2022-12-22,17.955,17.8,17.97,17.775,490,0.0064
2022-12-21,17.84,17.755,17.99,17.715,580,0.0034
2022-12-20,17.78,17.135,17.85,17.035,720,0.0386
2022-12-19,17.12,16.74,17.24,16.74,650,0.0261
2022-12-16,16.685,16.66,16.74,16.645,700,0.003
2022-12-15,16.635,16.735,16.735,16.63,890,-0.0072
2022-12-14,16.755,16.8,16.8,16.69,660,-0.0006
2022-12-13,16.765,16.705,16.835,16.705,550,0.0036
2022-12-12,16.705,16.78,16.87,16.655,840,-0.0006
2022-12-09,16.715,16.74,16.85,16.7,430,-0.0024
2022-12-08,16.755,16.74,16.785,16.625,1190,0.0027
2022-12-07,16.71,16.82,16.875,16.65,1290,-0.008
2022-12-06,16.845,17.02,17.225,16.705,1640,-0.0112
2022-12-05,17.035,17.68,17.735,17.02,1410,-0.034
2022-12-02,17.635,17.79,17.805,17.625,310,-0.009
2022-12-01,17.795,17.78,17.9,17.745,360,-0.0008
2022-11-30,17.81,17.96,17.96,17.785,370,-0.0047
2022-11-29,17.895,17.89,17.975,17.845,300,-0.002
2022-11-28,17.93,18.03,18.125,17.6,900,-0.0105
2022-11-25,18.12,18.015,18.2,18.01,790,0.0061
2022-11-23,18.01,17.91,18.04,17.85,530,0.0036
2022-11-22,17.945,17.775,17.945,17.76,310,0.0076
2022-11-21,17.81,17.765,17.875,17.76,250,0.0008
2022-11-18,17.795,17.73,17.97,17.67,400,0.0037
2022-11-17,17.73,17.655,17.955,17.62,690,-0.0006
2022-11-16,17.74,17.8,17.81,17.515,420,-0.0022
2022-11-15,17.78,17.93,17.94,17.765,450,0.0085
2022-11-14,17.63,17.955,18.015,17.805,100,0.0006
2022-11-11,17.62,17.98,18.04,17.895,80,-0.0031
2022-11-10,17.675,17.915,18.045,17.87,30,0.0014
2022-11-09,17.65,17.91,18,17.855,20,0.0043
2022-11-08,17.575,17.49,17.49,17.49,100,0.0089
2022-11-07,17.42,17.695,17.81,17.69,20,0.0064
2022-11-04,17.31,17.5,17.765,17.49,10,0.0073
2022-11-03,17.185,17.51,17.705,17.28,,0
2022-11-02,17.185,17.59,17.73,17.45,280,-0.0023
2022-11-01,17.225,16.525,17.155,16.525,270,0.0402
2022-10-31,16.56,16.155,16.485,16.155,330,0.027
2022-10-28,16.125,16.01,16.13,15.97,550,0.0072
2022-10-27,16.01,16.025,16.115,15.965,500,-0.0012
2022-10-26,16.03,16.205,16.21,16.005,650,-0.0096
2022-10-25,16.185,16.2,16.27,16.19,600,-0.0031
2022-10-24,16.235,16.385,16.46,16.225,1050,-0.0076
2022-10-21,16.36,16.45,16.5,16.25,810,-0.0055
2022-10-20,16.45,16.5,16.525,16.435,1140,-0.0021
2022-10-19,16.485,16.55,16.555,16.475,370,-0.0033
2022-10-18,16.54,16.655,16.67,16.5,1120,-0.0078
2022-10-17,16.67,16.73,16.765,16.655,490,-0.0039
2022-10-14,16.735,16.76,16.805,16.72,490,-0.0015
2022-10-13,16.76,16.81,16.83,16.72,430,-0.003
2022-10-12,16.81,16.73,16.88,16.695,860,0.0054
2022-10-11,16.72,16.73,16.76,16.685,1370,0.0003
2022-10-10,16.715,16.825,16.915,16.705,1150,-0.0065
2022-10-07,16.825,16.915,16.915,16.81,650,-0.0038
2022-10-06,16.89,16.985,16.995,16.87,670,-0.0047
2022-10-05,16.97,16.96,17.045,16.905,610,0.0003
2022-10-04,16.965,16.93,17.025,16.91,720,0.0018
2022-10-03,16.935,17.155,17.25,16.92,1100,-0.0137
2022-09-30,17.17,17.325,17.42,17.16,550,-0.0104
2022-09-29,17.35,17.395,17.47,17.315,370,-0.0006
2022-09-28,17.36,17.305,17.38,17.27,260,0.0026
2022-09-27,17.315,17.35,17.55,17.265,310,-0.002
2022-09-26,17.35,17.375,17.39,17.19,550,-0.0017
