Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,640.25,623,641,622.25,,0.0273
2023-06-15,623.25,608,626.5,607.25,194030,0.0255
2023-06-14,607.75,610.25,618.75,601.5,187540,-0.0078
2023-06-13,612.5,617,625,610.75,202990,-0.0077
2023-06-12,617.25,609,623.75,608.75,208160,0.0215
2023-06-09,604.25,608.25,609,597.5,174690,-0.0098
2023-06-08,610.25,600,613.25,595.25,178770,0.0099
2023-06-07,604.25,605,612.5,601.75,174300,-0.0062
2023-06-06,608,599.75,610.75,599.75,185930,0.0176
2023-06-05,597.5,609,614,595,168380,-0.0189
2023-06-02,609,592.5,610.5,581.25,199860,0.0278
2023-06-01,592.5,594,606,591.75,153590,-0.0025
2023-05-31,594,594.25,594.75,577.5,170160,0
2023-05-30,594,603.75,605,591.5,176210,-0.0166
2023-05-26,604,590.25,606.75,588.25,178640,0.0224
2023-05-25,590.75,587.5,593,583.5,145550,0.006
2023-05-24,587.25,577,589.75,574,152820,0.0169
2023-05-23,577.5,570.25,580.75,564,133380,0.0114
2023-05-22,571,554.75,575.5,553.25,148540,0.0298
2023-05-19,554.5,555,571.75,551.5,183020,-0.0014
2023-05-18,555.25,561.25,561.75,547,181020,-0.0111
2023-05-17,561.5,581.75,582.75,554.25,265000,-0.034
2023-05-16,581.25,592,593,578.25,133850,-0.019
2023-05-15,592.5,581.5,598.75,581.5,164170,-0.0644
2023-05-12,633.25,634.75,638.75,623.5,240,0.0012
2023-05-11,632.5,641.75,648,632,990,-0.0201
2023-05-10,645.5,642,649.75,637.25,1070,0.0051
2023-05-09,642.25,654.75,654.75,639.5,1590,-0.0217
2023-05-08,656.5,652.75,658.5,651.5,680,0.005
2023-05-05,653.25,644,656.25,644,1220,0.0104
2023-05-04,646.5,642.25,649.5,637.5,2270,0.0019
2023-05-03,645.25,636.5,646,626.5,2080,0.0114
2023-05-02,638,641.75,652,635.5,5510,-0.0023
2023-05-01,639.5,632.5,641,628,2750,0.0055
2023-04-28,636,628.25,639,622,13720,0.0144
2023-04-27,627,642,644.25,621.75,59710,-0.0226
2023-04-26,641.5,648,652.25,641,65290,-0.0077
2023-04-25,646.5,651.25,653,641.5,100630,-0.0073
2023-04-24,651.25,663.25,667.5,648.5,134980,-0.0181
2023-04-21,663.25,664.25,665.5,656.5,127470,-0.0008
2023-04-20,663.75,672,674,661.5,120920,-0.0126
2023-04-19,672.25,675.75,680,671,114510,-0.0077
2023-04-18,677.5,676,682.5,669.75,130890,0.0015
2023-04-17,676.5,666,677,662.25,146900,0.0154
2023-04-14,666.25,653.75,668,651,154000,0.0215
2023-04-13,652.25,656,661.75,651.5,147150,-0.0057
2023-04-12,656,651,658.5,648.75,150110,0.0077
2023-04-11,651,653.5,657.75,646.75,200260,-0.0046
2023-04-10,654,644.5,655,640.25,150100,0.0163
2023-04-07,643.5,643.5,643.5,643.5,,0
2023-04-06,643.5,652.25,652.5,641.75,132980,-0.0142
2023-04-05,652.75,653.75,660,646.5,143560,-0.0015
2023-04-04,653.75,657,657.5,648.5,140100,-0.0061
2023-04-03,657.75,659.5,668.5,656,153870,-0.0042
2023-03-31,660.5,648.75,664.5,647.25,201890,0.0169
2023-03-30,649.5,649.75,654.75,648,119490,-0.0015
2023-03-29,650.5,646.25,655.5,645.75,156690,0.005
2023-03-28,647.25,646.75,651.25,644.5,135240,-0.0015
2023-03-27,648.25,643,648.75,637,145570,0.0082
2023-03-24,643,631,645,627.5,191260,0.0178
2023-03-23,631.75,633,644,627.25,186440,-0.0028
2023-03-22,633.5,631.25,636,623.25,154750,0.0056
2023-03-21,630,632.75,638.25,628.75,133310,-0.0047
2023-03-20,633,633,634,625,115790,-0.002
2023-03-17,634.25,633.25,638.75,630.25,141480,0.0024
2023-03-16,632.75,626,635,624.75,167310,0.01
2023-03-15,626.5,623.75,629,619.25,156410,-0.0016
2023-03-14,627.5,624,627.5,624,120,0.0048
2023-03-13,624.5,622.25,629,622.25,540,0.0004
2023-03-10,624.25,620,626.75,618.5,540,0.0209
2023-03-09,611.5,625.5,629.75,610.25,223650,-0.0224
2023-03-08,625.5,635,637.5,624.5,161080,-0.0138
2023-03-07,634.25,637.5,638.75,633.25,101170,-0.0043
2023-03-06,637,639,640.25,634,110480,-0.0128
2023-03-03,645.25,639.75,648.25,638.25,1040,0.0118
2023-03-02,637.75,641,647.25,636,1870,-0.0043
2023-03-01,640.5,630,641.5,623.5,5430,0.0175
2023-02-28,629.5,642,644.75,629.25,15550,-0.0206
2023-02-27,642.75,650.75,654,642.25,105660,-0.01
2023-02-24,649.25,660,662,649,265190,-0.0152
2023-02-23,659.25,674.75,676,657.5,267750,-0.0222
2023-02-22,674.25,679.75,681,674,125720,-0.0092
2023-02-21,680.5,678.5,683,675.5,156080,0.0041
2023-02-17,677.75,676,679,675,144080,0.0026
2023-02-16,676,676.5,677.25,673.25,134970,-0.0004
2023-02-15,676.25,682,682.5,675.5,116550,-0.0088
2023-02-14,682.25,684,688.25,681.75,137230,-0.004
2023-02-13,685,680,686.5,676.75,193010,0.0066
2023-02-10,680.5,670.75,682.75,669.25,226650,0.0145
2023-02-09,670.75,678.25,681,670.25,214280,-0.0114
2023-02-08,678.5,673.75,679.5,672.75,223790,0.0067
2023-02-07,674,677,678.5,673.5,149450,-0.0074
2023-02-06,679,677.25,679.25,672.25,123610,0.0022
2023-02-03,677.5,674.25,680,671.5,124850,0.0033
2023-02-02,675.25,681,686,674.25,149910,-0.0084
2023-02-01,681,679.25,682,672.75,144370,0.0018
2023-01-31,679.75,683.5,688.5,678,161230,-0.0059
2023-01-30,683.75,685,687.25,678.5,127940,0.0011
2023-01-27,683,681.75,686,678.25,141240,0.0007
2023-01-26,682.5,674,685.5,673,146550,0.0115
2023-01-25,674.75,676.75,681,673.75,126030,-0.0033
2023-01-24,677,667,677.5,666.25,165290,0.0161
2023-01-23,666.25,674,674.75,661.25,184770,-0.0148
2023-01-20,676.25,675.5,678,672.5,134980,-0.0015
2023-01-19,677.25,680,685.25,676,149960,-0.0059
2023-01-18,681.25,684.25,688.75,678,175370,-0.0058
2023-01-17,685.25,671.5,687,668.75,179920,0.0152
2023-01-13,675,670.75,676.75,669.75,158820,0.006
2023-01-12,671,656,673.5,649.25,242530,0.0229
2023-01-11,656,654.5,659,652.75,110880,0.0015
2023-01-10,655,651.75,664,648.25,181160,0.0034
2023-01-09,652.75,655.5,657,650.75,112240,-0.0019
2023-01-06,654,653.75,659.5,651.75,114160,0.0019
2023-01-05,652.75,654.5,657.75,648.5,138830,-0.0015
2023-01-04,653.75,670.75,671.75,652.5,175760,-0.025
2023-01-03,670.5,677.25,681.25,668,155540,-0.0118
2022-12-30,678.5,679.5,685,676.5,90320,-0.0015
2022-12-29,679.5,681.75,682.25,677.25,104940,-0.0048
2022-12-28,682.75,673.25,683.5,672.75,122190,0.0119
2022-12-27,674.75,669,675.75,667.25,123170,0.0128
2022-12-23,666.25,659.5,667.75,659.25,94500,0.0087
2022-12-22,660.5,662,664.75,658.75,79920,-0.0026
2022-12-21,662.25,651.5,663,651,125590,0.0157
2022-12-20,652,647.75,654.25,646.75,91460,0.0073
2022-12-19,647.25,650.5,650.75,644,83170,-0.0088
2022-12-16,653,653.5,655.75,650,66400,-0.0008
2022-12-15,653.5,650.25,654.25,647.75,93740,0.0227
2022-12-14,639,644.25,644.25,639,40,-0.0074
2022-12-13,643.75,642.5,650.5,639.25,180,0.0039
2022-12-12,641.25,634.5,644.5,634.5,260,0.0102
2022-12-09,634.75,631.5,639.75,631.5,450,0.0044
2022-12-08,632,628,632.5,626,430,0.0068
2022-12-07,627.75,626.5,632.5,624,660,0.0036
2022-12-06,625.5,630.75,635.5,623,510,-0.0052
2022-12-05,628.75,635.5,638.25,625.5,760,-0.0098
2022-12-02,635,650.25,650.25,629,5680,-0.0231
2022-12-01,650,661.75,663.75,647,8570,-0.0181
2022-11-30,662,665.75,667,660,18200,-0.0056
