Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,416.4,393.7,417,392.4,,0.0563
2023-06-15,394.2,390.9,394.5,386.5,64740,0.0115
2023-06-14,389.7,398,398.8,388.7,68210,-0.0196
2023-06-13,397.5,397.4,404,396,69070,0.0003
2023-06-12,397.4,398.2,403.9,395.6,67490,0.0005
2023-06-09,397.2,403.6,407.1,396.8,73680,-0.0168
2023-06-08,404,404.7,408.4,401,78540,-0.003
2023-06-07,405.2,396.7,405.8,396.1,87730,0.0214
2023-06-06,396.7,401.5,405.9,395.8,57450,-0.0112
2023-06-05,401.2,398.5,402.3,397.2,51500,0.0085
2023-06-02,397.8,401.1,404.2,396.7,58170,-0.009
2023-06-01,401.4,393.3,404.4,392.8,74500,0.0203
2023-05-31,393.4,393.5,394.5,386.3,70650,0.002
2023-05-30,392.6,402.2,402.9,391.7,63790,-0.0239
2023-05-26,402.2,398.4,407,397,70210,0.0126
2023-05-25,397.2,402.2,405.5,395.6,72300,-0.0124
2023-05-24,402.2,406.4,410.6,400.7,65060,-0.0103
2023-05-23,406.4,412.2,413.3,405.9,65240,-0.0141
2023-05-22,412.2,409.1,416.9,407.5,62800,0.0076
2023-05-19,409.1,414,417.5,408.6,62530,-0.0121
2023-05-18,414.1,424.8,425.3,413.7,71990,-0.0263
2023-05-17,425.3,426.9,429.9,423.9,67720,-0.0037
2023-05-16,426.9,430.7,430.9,424.5,61710,-0.0093
2023-05-15,430.9,433.4,442.3,430.5,69570,-0.0046
2023-05-12,432.9,431.4,436.5,428.6,71060,0.0035
2023-05-11,431.4,419.5,432.6,416.3,89850,0.0284
2023-05-10,419.5,419.5,423.7,416.1,55640,0.0012
2023-05-09,419,426.9,426.9,418.8,59840,-0.0185
2023-05-08,426.9,424.5,430.1,423.3,47040,0.0019
2023-05-05,426.1,424.6,428,423.8,50580,0.0035
2023-05-04,424.6,424,426.3,418,58020,-0.0007
2023-05-03,424.9,428,428.7,420.9,61850,-0.007
2023-05-02,427.9,433.7,437.6,427.2,53860,-0.0131
2023-05-01,433.6,432.5,433.9,429.5,32910,0.0028
2023-04-28,432.4,428.1,434.2,422.4,80100,0.0117
2023-04-27,427.4,428,428.2,422,71940,0
2023-04-26,427.4,435,437.8,426.6,84630,-0.0175
2023-04-25,435,436.9,439.1,432.9,96350,-0.0055
2023-04-24,437.4,444.1,446.9,437.1,76710,-0.014
2023-04-21,443.6,448.8,449.4,442,56630,-0.0114
2023-04-20,448.7,452,452.5,445.5,53260,-0.0073
2023-04-19,452,458,459.4,451.1,54580,-0.0144
2023-04-18,458.6,462.7,468.2,456.1,67980,-0.0152
2023-04-17,465.7,459.7,466.2,457.3,40250,0.0131
2023-04-14,459.7,463.4,465.7,459,54700,-0.0084
2023-04-13,463.6,460.2,470.2,459.6,63900,0.0074
2023-04-12,460.2,458.1,463.2,455.3,66270,0.0052
2023-04-11,457.8,451.6,459.7,451.3,73230,0.0158
2023-04-10,450.7,454.3,457.9,449.1,52910,-0.0079
2023-04-06,454.3,450.6,455.4,445.4,60190,0.0082
2023-04-05,450.6,457.4,458.1,450.1,47440,-0.0149
2023-04-04,457.4,464,464,454.3,44010,-0.0146
2023-04-03,464.2,463.9,467.5,459.4,47850,-0.0039
2023-03-31,466,458.5,469,453.1,63240,0.0133
2023-03-30,459.9,458,465,456.7,45860,0.0037
2023-03-29,458.2,457.3,461.9,455.4,51710,0.0007
2023-03-28,457.9,445,458.7,444.8,61930,0.0267
2023-03-27,446,445.3,447.5,439.6,58380,0.002
2023-03-24,445.1,439.8,446.6,435,70450,0.0155
2023-03-23,438.3,453.1,455.3,437.4,84900,-0.0295
2023-03-22,451.6,460.7,462.3,451,66860,-0.0195
2023-03-21,460.6,462,468.4,459.7,56850,-0.0045
2023-03-20,462.7,465,468,457.5,65360,-0.0071
2023-03-17,466,474.8,475.9,463.8,80920,-0.0169
2023-03-16,474,479.2,481.5,472.4,61540,-0.0092
2023-03-15,478.4,481.4,485.3,474.5,49680,-0.028
2023-03-14,492.2,487.5,492.2,487.5,20,0.0269
2023-03-13,479.3,487.5,490,478.9,63690,-0.0136
2023-03-10,485.9,487,487.4,480.4,51890,-0.0021
2023-03-09,486.9,486.7,492.5,482.7,56050,0.0025
2023-03-08,485.7,488.7,495.3,485,61470,-0.0043
2023-03-07,487.8,493.3,498,487.1,62440,-0.0113
2023-03-06,493.4,482.7,494.7,480.1,78730,0.0251
2023-03-03,481.3,472.8,482.8,471,56800,0.0191
2023-03-02,472.3,471,476.3,469.7,55670,0.0043
2023-03-01,470.3,467.5,472.2,465.8,60590,-0.0355
2023-02-28,487.6,499.8,499.8,485.7,5600,-0.0223
2023-02-27,498.7,497.6,501.6,495.4,23810,0.039
2023-02-24,480,478.5,483.9,473.8,64870,0.0042
2023-02-23,478,477.5,479.6,475.3,58330,0.001
2023-02-22,477.5,481.2,482.9,476.1,54080,-0.0406
2023-02-21,497.7,496.1,501.5,492.7,43110,0.0131
2023-02-20,491.25,492.9,492.9,491.25,,-0.0032
2023-02-19,492.85,492.8,492.85,492.8,,0.0036
2023-02-17,491.1,491.9,497.9,488.9,50450,-0.0006
2023-02-16,491.4,492.2,492.6,487.8,40270,0.0006
2023-02-15,491.1,501,501.8,490.5,58070,-0.0198
2023-02-14,501,503,506.1,499.4,46530,-0.006
2023-02-13,504,500.8,508.2,500.3,67220,0.0092
2023-02-10,499.4,495,501,490.5,77360,0.0079
2023-02-09,495.5,481.6,497.5,479.7,94620,0.0282
2023-02-08,481.9,481.5,487.9,477.8,79940,0.001
