Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,59.69,58.43,60.24,58.4,,0.0216
2023-06-15,58.43,55.96,58.9,55.8,78940,0.0441
2023-06-14,55.96,55.62,56.67,54.63,59810,0.0096
2023-06-13,55.43,54.15,55.59,53.98,65630,0.0269
2023-06-12,53.98,54.59,54.85,53.7,65180,-0.0112
2023-06-09,54.59,52.26,54.92,52.2,102350,0.0398
2023-06-08,52.5,50.54,52.75,50.35,91760,0.0402
2023-06-07,50.47,50.92,51.57,50.17,93670,-0.0088
2023-06-06,50.92,49.26,51.02,48.68,82040,0.0337
2023-06-05,49.26,49.61,49.89,48.63,62010,-0.0048
2023-06-02,49.5,47.86,49.56,47.69,69400,0.0343
2023-06-01,47.86,46.33,48.02,46.16,80240,0.0359
2023-05-31,46.2,46.2,46.59,44.53,86350,0
2023-05-30,46.2,48.88,49.06,45.94,76110,-0.0542
2023-05-29,48.85,48.85,48.85,48.85,,0
2023-05-28,48.85,48.84,48.85,48.84,,0.0006
2023-05-26,48.82,48.61,49.66,48.46,57000,0.0062
2023-05-25,48.52,48.07,49.06,47.89,59930,0.0108
2023-05-24,48,47.76,48.89,47.51,55460,0.005
2023-05-23,47.76,48.77,48.88,47.34,64240,-0.0207
2023-05-22,48.77,47.35,49.08,46.65,64380,0.0317
2023-05-19,47.27,47.5,48.98,46.91,73090,-0.0004
2023-05-18,47.29,46.55,47.66,45.93,84200,0.019
2023-05-17,46.41,47.67,47.99,45.75,128540,-0.0219
2023-05-16,47.45,49.69,49.77,47.02,99980,-0.0451
2023-05-15,49.69,49.21,50.39,48.81,74860,0.0034
2023-05-12,49.52,51.21,51.5,49,87320,-0.0319
2023-05-11,51.15,52.05,52.24,51.08,82220,-0.0173
2023-05-10,52.05,53.04,53.2,51.95,64610,-0.0187
2023-05-09,53.04,53.65,53.97,52.79,65880,-0.0114
2023-05-08,53.65,54.36,55.12,53.46,66760,-0.0125
2023-05-05,54.33,52.48,54.57,52.37,83410,0.0353
2023-05-04,52.48,52.4,53.29,52.18,62150,-0.003
2023-05-03,52.64,51.87,52.76,50.93,74670,0.0164
2023-05-02,51.79,51.81,52.6,51.67,61900,-0.0004
2023-05-01,51.81,51.62,52.09,51,44790,0.0027
2023-04-28,51.67,50.9,51.84,50.57,81630,0.0165
2023-04-27,50.83,52.55,52.61,50.57,86210,-0.0318
2023-04-26,52.5,52.14,52.85,51.85,73690,0.0069
2023-04-25,52.14,52.77,52.97,51.92,90540,-0.0118
2023-04-24,52.76,53.57,53.78,52.64,77890,-0.0151
2023-04-21,53.57,54.66,55.03,53.38,68550,-0.019
