Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,1466.5,1426,1468.25,1426,,0.0268
2023-06-15,1428.25,1389.75,1432,1387.5,,0.0288
2023-06-14,1388.25,1398.75,1399,1380,124160,-0.0079
2023-06-13,1399.25,1373.25,1415.5,1371.75,161570,0.0193
2023-06-12,1372.75,1390,1392.75,1368.5,122300,-0.0099
2023-06-09,1386.5,1360.5,1388,1356.25,142160,0.0171
2023-06-08,1363.25,1358,1371.75,1352,152590,0.0018
2023-06-07,1360.75,1353.25,1370.75,1350,143480,0.0055
2023-06-06,1353.25,1352,1364,1340.25,129810,0.0024
2023-06-05,1350,1353.25,1361.5,1343.5,98180,-0.0018
2023-06-02,1352.5,1329,1355.25,1322,120300,0.0173
2023-06-01,1329.5,1299.75,1335.25,1299.25,132080,0.0229
2023-05-31,1299.75,1298,1302.75,1270.75,137390,0.0025
2023-05-30,1296.5,1337.25,1337.25,1294.25,128260,-0.0295
2023-05-28,1335.88,1335.88,1335.88,1335.88,,-0.001
2023-05-26,1337.25,1323.75,1343.5,1322,104200,0.01
2023-05-25,1324,1324.25,1333.5,1305,131880,-0.0004
2023-05-24,1324.5,1322.5,1337.75,1316,95310,0.0015
2023-05-23,1322.5,1341,1341.25,1315.5,111360,-0.014
2023-05-22,1341.25,1308.25,1344.25,1304.75,143210,0.026
2023-05-19,1307.25,1333.25,1345,1304.75,135860,-0.0195
2023-05-18,1333.25,1336.5,1348,1323.25,124330,-0.0028
2023-05-17,1337,1365,1365.75,1332.75,145520,-0.0198
2023-05-16,1364,1400,1401.75,1358.75,149240,-0.0262
2023-05-15,1400.75,1388.75,1411.5,1386.25,111850,-0.0239
2023-05-12,1435,1435,1435,1435,,-0.0057
2023-05-11,1443.25,1437.75,1446,1420,140,0.0047
2023-05-10,1436.5,1459.75,1459.75,1436,110,0.0157
2023-05-09,1414.25,1432.25,1432.5,1410.5,102280,-0.0136
2023-05-08,1433.75,1436.5,1446.75,1430,,-0.0019
2023-05-05,1436.5,1417,1438.75,1416,,0.0138
2023-05-04,1417,1415.12,1423.38,1405,,-0.0004
2023-05-03,1417.5,1411,1418.75,1392.25,,0.0048
2023-05-02,1410.75,1427,1440,1408,,-0.0117
2023-05-01,1427.5,1419.25,1429.25,1413,,0.0058
2023-04-28,1419.25,1406.5,1423.5,1396.5,,0.011
2023-04-27,1403.75,1414.75,1417.25,1401.75,,-0.0078
2023-04-26,1414.75,1417.75,1428.25,1412,,-0.0019
2023-04-25,1417.5,1434.5,1439.75,1411.25,,-0.0129
2023-04-24,1436,1450.25,1462.25,1434,,-0.032
2023-04-21,1483.5,1497,1500,1480,89800,-0.0093
2023-04-20,1497.5,1505,1506,1488.25,95690,-0.006
2023-04-19,1506.5,1517.25,1521.5,1506,95850,-0.0084
2023-04-18,1519.25,1515.75,1531.5,1511,99160,0.0015
2023-04-17,1517,1500.5,1519,1496.25,85450,0.011
2023-04-14,1500.5,1502,1503.75,1490,118380,-0.0003
2023-04-13,1501,1504.25,1522.25,1500.5,132340,-0.0022
2023-04-12,1504.25,1497.5,1510.5,1491,132900,0.0047
2023-04-11,1497.25,1487.75,1507.5,1486.25,156750,0.0067
2023-04-10,1487.25,1493.25,1499.75,1482.5,105040,-0.0035
2023-04-07,1492.5,1492.5,1492.5,1492.5,,0
2023-04-06,1492.5,1510,1510.25,1483.25,115780,-0.0122
2023-04-05,1511,1517.5,1527,1506.5,124120,-0.0043
2023-04-04,1517.5,1520,1523.75,1505.5,112290,-0.003
2023-04-03,1522,1510,1527.75,1509.75,121610,0.011
2023-03-31,1505.5,1473.25,1513.75,1468,167860,0.021
2023-03-30,1474.5,1476.5,1483.5,1471,110080,-0.0019
2023-03-29,1477.25,1466,1479.75,1462.5,106000,0.0065
2023-03-28,1467.75,1441.5,1469.75,1439.75,122630,0.0177
2023-03-27,1442.25,1428.75,1445.5,1423.25,98100,0.0098
2023-03-24,1428.25,1419.5,1432,1405,143040,0.0062
2023-03-23,1419.5,1450,1454.25,1415.25,157570,-0.02
2023-03-22,1448.5,1467.75,1472,1443.25,141740,-0.0126
2023-03-21,1467,1483.75,1497,1465,101490,-0.0128
2023-03-20,1486,1473,1487.75,1462,122780,0.0064
2023-03-17,1476.5,1492.5,1498,1470,119470,-0.0101
2023-03-16,1491.5,1489.25,1498,1478,107040,0.0015
2023-03-15,1489.25,1494,1500,1480,115250,-0.007
2023-03-14,1499.75,1501,1502.5,1499.75,40,-0.0002
2023-03-13,1500,1521.75,1524.75,1500.5,140,-0.0086
2023-03-10,1513,1515,1521.75,1511,470,0.0015
2023-03-09,1510.75,1517.5,1528.75,1505.5,,-0.0049
2023-03-08,1518.25,1514.5,1533.5,1511,,0.0013
2023-03-07,1516.25,1528.5,1531,1513,,-0.008
2023-03-06,1528.5,1520,1538.5,1510.75,,0.0064
2023-03-03,1518.75,1509.25,1525,1507.25,,0.0063
2023-03-02,1509.25,1494.5,1514.75,1489.5,,0.01
2023-03-01,1494.25,1481.5,1498.25,1480.25,,0.0103
2023-02-28,1479,1512.5,1513.25,1477.75,162740,-0.0223
2023-02-27,1512.75,1519.5,1524.62,1508.38,,-0.0106
2023-02-24,1529,1536.25,1544.25,1526,60070,-0.0034
2023-02-23,1534.25,1539.75,1545.25,1532.75,85550,-0.0034
2023-02-22,1539.5,1546.75,1554,1538,90520,-0.006
2023-02-21,1548.75,1536.5,1549,1535,115700,0.0156
2023-02-19,1525,1526,1526,1525,,-0.0015
2023-02-17,1527.25,1526,1533.25,1524.25,93640,0.0005
2023-02-16,1526.5,1525.25,1532.25,1520.5,115380,0.0005
2023-02-15,1525.75,1536.5,1537,1516.5,132120,-0.0076
2023-02-14,1537.5,1542,1544.75,1532.75,115530,-0.0034
2023-02-13,1542.75,1542,1555.5,1537,162410,0.0002
2023-02-10,1542.5,1518,1543.25,1515.5,173800,0.0153
2023-02-09,1519.25,1518.5,1533.75,1512,189470,-0.0003
2023-02-08,1519.75,1516,1527.75,1505.75,177790,0.003
2023-02-07,1515.25,1521,1530.5,1511,164240,-0.0039
2023-02-06,1521.25,1532,1535.5,1516.75,131710,-0.007
2023-02-03,1532,1533.5,1539.75,1524.75,101440,-0.0015
2023-02-02,1534.25,1522.75,1537.75,1522.5,99740,0.0092
2023-02-01,1520.25,1537.5,1542.75,1510.75,129980,-0.0115
2023-01-31,1538,1533.5,1543.75,1524.5,126430,0.0018
2023-01-30,1535.25,1516.25,1538,1516.25,123620,0.0171
2023-01-27,1509.5,1521.75,1527,1506.5,101760,-0.0092
2023-01-26,1523.5,1506.5,1526.25,1500,123250,0.014
2023-01-25,1502.5,1488.25,1504.75,1478.25,119100,0.0094
2023-01-24,1488.5,1491.5,1506.5,1487,129460,-0.0012
2023-01-23,1490.25,1500,1503,1479.75,134890,-0.0108
2023-01-20,1506.5,1514.25,1521.75,1504,98920,-0.0054
2023-01-19,1514.75,1523.5,1528.5,1509,124400,-0.0064
2023-01-18,1524.5,1537,1548.5,1511.25,133370,-0.0099
2023-01-17,1539.75,1518.75,1541,1512.5,118310,0.001
2023-01-13,1538.25,1525,1536,1525,300,0.0057
2023-01-12,1529.5,1511.5,1541.75,1511.5,490,0.0096
2023-01-11,1515,1515.25,1520.5,1510,620,0.0033
2023-01-10,1510,1501.5,1518.5,1501.5,350,0.0043
2023-01-09,1503.5,1506,1513,1502,450,0.0013
2023-01-06,1501.5,1471.75,1503.25,1471.75,2020,0.0237
2023-01-05,1466.75,1481.25,1481.25,1462,1170,-0.0078
2023-01-04,1478.25,1491.75,1496.25,1477.25,2200,-0.0061
2023-01-03,1487.25,1519.25,1523.25,1485,2950,-0.0241
2022-12-30,1524,1515.5,1537.5,1514.25,,0.0051
2022-12-29,1516.25,1513,1524.25,1509,,0.0013
2022-12-28,1514.25,1490.25,1517.5,1489.5,,0.017
2022-12-27,1489,1495.75,1522.75,1485,,0.0068
2022-12-23,1479,1468.75,1484,1466.25,52840,0.0077
2022-12-22,1467.75,1480,1484,1463.5,75910,-0.0089
2022-12-21,1481,1477,1489,1475.25,84790,0.0017
2022-12-20,1478.5,1461.75,1486.75,1460.25,111700,0.0122
2022-12-19,1460.75,1470,1476,1460,101720,-0.013
2022-12-16,1480,1473.5,1486,1465.5,69330,0.0044
2022-12-15,1473.5,1481,1486,1468,97510,-0.0059
2022-12-14,1482.25,1479.5,1487,1468,112120,0.0017
2022-12-13,1479.75,1461.25,1487.75,1460.75,145780,0.0132
2022-12-12,1460.5,1483.5,1483.5,1457.75,125860,-0.0157
2022-12-09,1483.75,1484.25,1492.75,1477.75,96090,-0.0017
2022-12-08,1486.25,1471,1492.25,1468,141920,0.0097
2022-12-07,1472,1456,1478,1455.75,145110,0.0117
2022-12-06,1455,1437.5,1472.5,1437,126970,0.012
2022-12-05,1437.75,1440.5,1451,1435.25,82710,-0.0005
2022-12-02,1438.5,1432,1443,1425.5,91650,0.0061
2022-12-01,1429.75,1466,1469.75,1425.25,134070,-0.0271
2022-11-30,1469.5,1457.25,1478.5,1457.25,93200,0.0069
2022-11-29,1459.5,1454.75,1468.5,1449,91120,0.0015
2022-11-28,1457.25,1428.25,1461.75,1424,102360,0.0146
2022-11-25,1436.25,1436.75,1448,1431,41570,0.0002
2022-11-23,1436,1431.5,1441,1422.25,67120,0.0044
2022-11-22,1429.75,1436,1443.5,1428.25,69270,-0.0045
2022-11-21,1436.25,1426.38,1437.88,1417.25,,0.0056
2022-11-18,1428.25,1419,1430.75,1412.25,,0.0079
2022-11-17,1417,1430,1431.75,1406.75,88310,-0.0086
2022-11-16,1429.25,1454.75,1455,1423.25,,-0.0192
2022-11-15,1457.25,1440,1464.75,1432.5,,0.0116
2022-11-14,1440.5,1449.25,1455.25,1434.25,,-0.0078
2022-11-11,1451.88,1424.62,1458.62,1424.62,,0.0209
2022-11-10,1422.12,1453.88,1458.88,1421,,-0.0202
2022-11-09,1451.5,1445.12,1457.38,1434.88,,0.0031
2022-11-08,1447,1451.62,1453.75,1440.5,,-0.0022
2022-11-07,1450.25,1455,1469,1447,,-0.0082
2022-11-04,1462.25,1436.25,1465.5,1431.5,,0.0176
2022-11-03,1437,1453,1453.5,1428,,-0.0117
2022-11-02,1454,1446,1457.75,1431,,0.0043
2022-11-01,1447.75,1417,1449,1414.25,,0.0199
2022-10-31,1419.5,1415,1424,1397.75,,0.0229
2022-10-28,1387.75,1382,1390.75,1370,,0.004
2022-10-27,1382.25,1381.25,1394.75,1378.25,,0.0004
2022-10-26,1381.75,1381.5,1397.75,1378.75,,-0.0002
2022-10-25,1382,1372,1386.5,1366,98750,0.0073
2022-10-24,1372,1393,1393,1368.25,,-0.0168
2022-10-21,1395.5,1390.25,1398.5,1375.5,,0.0043
2022-10-20,1389.5,1370.62,1396.38,1370.25,,0.0124
2022-10-19,1372.5,1371.75,1378.5,1357,,0.0004
2022-10-18,1372,1383,1390,1364.25,143270,-0.0096
2022-10-17,1385.25,1381.5,1395,1376.25,,0.0011
2022-10-14,1383.75,1394,1410,1382.75,,-0.0086
2022-10-13,1395.75,1394.5,1405,1378.75,,0.0002
2022-10-12,1395.5,1371.88,1410,1367.5,,0.014
2022-10-11,1376.25,1373.25,1385.25,1365.25,,0.0016
2022-10-10,1374,1367,1398.75,1366.5,,0.0051
2022-10-07,1367,1358,1373.5,1350.75,,0.0066
2022-10-06,1358,1369.5,1376.75,1350,,-0.0086
2022-10-05,1369.75,1382.75,1385.25,1362.5,,-0.0099
2022-10-04,1383.5,1373.75,1395,1371.75,,0.0076
2022-10-03,1373.12,1362.38,1376.38,1361.25,,0.0061
2022-09-30,1364.75,1410.5,1425.75,1363.25,,-0.0326
2022-09-29,1410.75,1408.75,1423.75,1403.25,157470,0.0014
2022-09-28,1408.75,1409,1412.5,1390.75,,0.0005
2022-09-27,1408,1411.25,1437.25,1407,,-0.0019
2022-09-26,1410.75,1423.88,1433.62,1408.25,,-0.01
2022-09-25,1425,1425,1425,1425,,-0.0005
2022-09-23,1425.75,1452.75,1455.88,1420.5,,-0.0188
2022-09-22,1453,1456,1475.88,1449,,-0.0056
2022-09-21,1461.25,1476.5,1488.75,1459.5,,-0.0118
2022-09-20,1478.75,1461.75,1485.5,1450.75,,0.012
2022-09-19,1461.25,1446,1465.75,1438.25,,0.0088
2022-09-16,1448.5,1449,1455,1433.75,,-0.0021
2022-09-15,1451.5,1456,1468.5,1444,,-0.0024
2022-09-14,1455,1475,1489.5,1453.5,,-0.0161
2022-09-13,1478.75,1486.5,1508.75,1475.75,,-0.0064
2022-09-12,1488.25,1409,1490.25,1402.25,,0.0538
2022-09-09,1412.25,1388.25,1415.75,1387.25,,0.0189
2022-09-08,1386,1384,1397.25,1373,,0.0018
2022-09-07,1383.5,1398.5,1432.25,1380.75,,-0.0109
2022-09-06,1398.75,1415,1423,1392.25,,-0.0131
2022-09-05,1417.25,1426.25,1426.25,1417.25,,-0.0023
2022-09-02,1420.5,1395,1422,1391.75,66350,0.0201
2022-09-01,1392.5,1421.62,1432.5,1390,,-0.0211
2022-08-31,1422.5,1432,1442.5,1416,,-0.007
2022-08-30,1432.5,1437.75,1440,1408.25,,-0.0037
2022-08-29,1437.75,1458,1460.75,1432,,-0.0161
2022-08-26,1461.25,1430,1464.75,1426.5,,0.021
2022-08-25,1431.25,1456.75,1467,1428.5,,-0.0177
2022-08-24,1457,1461.5,1484.5,1447.5,,-0.0021
2022-08-23,1460.12,1433.75,1474.62,1431.25,,0.0173
2022-08-22,1435.25,1398,1438.5,1393,,0.0223
2022-08-19,1404,1405.75,1410,1386.25,,-0.0009
2022-08-18,1405.25,1390,1413,1376.5,,0.011
2022-08-17,1390,1382.5,1400,1379,71050,0.0062
2022-08-16,1381.38,1408,1413.75,1376,,-0.0219
2022-08-15,1412.25,1441.75,1443.75,1386,,-0.0289
2022-08-12,1454.25,1448,1464.75,1415.25,,0.004
2022-08-11,1448.5,1425.5,1453.75,1418.25,83430,0.0145
2022-08-10,1427.75,1428.5,1454.75,1422,100440,-0.0007
2022-08-09,1428.75,1410,1438.5,1408.75,90770,0.0205
2022-08-08,1400,1398.5,1421,1391.25,73160,-0.0062
2022-08-05,1408.75,1416,1428.75,1392.75,98780,-0.0063
2022-08-04,1417.75,1368.75,1424,1359.5,105460,0.035
2022-08-03,1369.75,1375.75,1406.25,1356,95640,-0.0121
2022-08-02,1386.5,1396.75,1408,1377.25,109060,-0.0139
2022-08-01,1406,1477.5,1481,1395.5,125020,-0.0426
2022-07-29,1468.5,1440.5,1489,1435.5,121320,0.0194
2022-07-28,1440.5,1413.25,1446.75,1412.5,100200,0.0216
2022-07-27,1410,1383,1416.5,1371.75,108140,0.019
2022-07-26,1383.75,1359.75,1387.5,1358.25,99870,0.028
2022-07-25,1346,1335,1349.25,1314.5,86710,0.023
2022-07-22,1315.75,1303.5,1333,1288.5,93410,0.0109
2022-07-21,1301.5,1334,1341.75,1294.75,89380,-0.0231
2022-07-20,1332.25,1354,1356.25,1327.75,83220,-0.0191
2022-07-19,1358.25,1382.25,1383.5,1339,91910,-0.0159
2022-07-18,1380.25,1355.75,1393,1340.75,81210,0.0283
2022-07-15,1342.25,1348.75,1358.5,1330.5,68190,-0.0129
2022-07-14,1359.75,1373.25,1387,1340.25,11080,-0.0077
2022-07-13,1370.25,1362.25,1382.75,1336.25,9290,0.0057
2022-07-12,1362.5,1425.25,1436.25,1360,9410,-0.0429
2022-07-11,1423.5,1437,1455,1419.75,6150,-0.0593
2022-07-08,1513.25,1489,1516.5,1473.75,,0.0189
2022-07-07,1485.25,1450,1496.75,1448.75,,0.0268
2022-07-06,1446.5,1447,1461.5,1424.25,,0.005
2022-07-05,1439.25,1494,1495,1431.75,,-0.0467
2022-07-01,1509.75,1563.75,1573.25,1505.25,31170,-0.0325
2022-06-30,1560.5,1571.5,1601.25,1552.75,,-0.007
2022-06-29,1571.5,1554,1573.75,1546.75,,0.0096
2022-06-28,1556.5,1534.75,1564.25,1531.75,,0.0177
2022-06-27,1529.5,1510.75,1536.25,1504,,-0.0504
2022-06-24,1610.75,1588.25,1620.5,1583,,0.011
2022-06-23,1593.25,1654,1655.5,1590,,-0.036
2022-06-22,1652.75,1684.25,1685,1647.5,,-0.0168
2022-06-21,1681,1695,1702,1675.75,,-0.0091
2022-06-20,1696.38,1696.88,1696.88,1696.38,,-0.0003
2022-06-19,1696.88,1696.88,1696.88,1696.88,,-0.003
2022-06-17,1702,1712.5,1724.5,1700.5,84650,-0.0044
2022-06-16,1709.5,1696.75,1715.5,1690.5,,0.0093
2022-06-15,1693.75,1698,1705,1682.25,,-0.0028
2022-06-14,1698.5,1707.5,1728.25,1697,,-0.0053
2022-06-13,1707.5,1751.5,1757,1702,,-0.0218
2022-06-10,1745.5,1770.5,1775.5,1742.75,,-0.0133
2022-06-09,1769,1741,1784,1728.5,,0.0167
2022-06-08,1740,1729.25,1758,1726.5,138390,0.0068
2022-06-07,1728.25,1699.25,1732.75,1692.25,,0.0171
2022-06-06,1699.25,1709,1717.75,1690,82280,0.0009
2022-06-03,1697.75,1728.75,1730.5,1694,,-0.0182
2022-06-02,1729.25,1690.25,1740.75,1681.25,,0.0231
2022-06-01,1690.25,1687.25,1706.5,1675.25,,0.0042
2022-05-31,1683.25,1737.75,1749.25,1673.75,147010,-0.0312
2022-05-30,1737.5,1737.5,1737.5,1737.5,,0.003
2022-05-27,1732.25,1725.75,1744.25,1718.75,93350,0.0033
2022-05-26,1726.5,1675.25,1737,1667.25,144070,0.0271
2022-05-25,1681,1694.25,1697.75,1665.5,,-0.0071
2022-05-24,1693,1687.75,1696.75,1673.5,,0.0036
2022-05-23,1687,1706,1720,1685,,-0.0107
2022-05-20,1705.25,1691,1710.75,1683.25,,0.0087
2022-05-19,1690.5,1663.75,1697,1660.75,102890,0.0167
2022-05-18,1662.75,1678,1686.75,1657,,-0.0091
2022-05-17,1678,1655,1684.25,1645.25,,0.013
2022-05-16,1656.5,1657.5,1668,1650.25,,0.0061
2022-05-13,1646.5,1614.75,1651.5,1614,,0.0203
2022-05-12,1613.75,1607.5,1627.25,1590.25,,0.0044
2022-05-11,1606.75,1593.5,1615,1587.5,,0.0091
2022-05-10,1592.25,1589,1605,1580.5,,0.0044
2022-05-09,1585.25,1623.75,1626,1578,96280,-0.0227
2022-05-06,1622,1649.5,1650,1618,74870,-0.0152
2022-05-05,1647,1643,1667,1640,81210,0.0005
2022-05-04,1646.12,1633.5,1646.12,1622,,0.0096
2022-05-03,1630.5,1649.5,1662.75,1629,,-0.009
2022-05-02,1645.25,1684.5,1688.75,1635,98830,-0.0238
2022-04-29,1685.38,1686.25,1704.38,1679.25,,0.0004
2022-04-28,1684.75,1694.25,1700,1681.25,,-0.0047
2022-04-27,1692.75,1673.25,1698,1665.5,119530,0.0122
2022-04-26,1672.38,1675.62,1696.38,1662.25,,-0.0017
2022-04-25,1675.25,1687,1695.5,1656.5,,-0.0237
2022-04-22,1716,1747.5,1757.5,1704.25,,-0.0184
2022-04-21,1748.25,1747.5,1752.75,1728.25,,0.0009
2022-04-20,1746.75,1718,1750,1714.5,,0.0176
2022-04-19,1716.5,1712,1730,1705.25,,0.001
2022-04-18,1714.75,1688.75,1720.5,1688.5,,0.0201
2022-04-15,1681,1681,1681,1681,,-0.0007
2022-04-14,1682.25,1678.5,1692.5,1670,78740,0.0037
2022-04-13,1676,1672.25,1681.25,1652,,0.0034
2022-04-12,1670.25,1658.75,1682.75,1657,,0.0091
2022-04-11,1655.25,1691,1697.5,1651.5,,-0.02
2022-04-08,1689,1647.75,1689.75,1645.5,,0.0264
2022-04-07,1645.5,1620,1652.75,1614.75,,0.0165
2022-04-06,1618.75,1622.5,1642.88,1615,,-0.0075
2022-04-05,1631,1605,1635.25,1604.25,,0.0179
2022-04-04,1602.25,1584,1606,1576.75,,0.0123
2022-04-01,1582.75,1620.75,1628.5,1580.75,,-0.0219
2022-03-31,1618.25,1666.75,1680,1613.5,,-0.0275
2022-03-30,1664,1644,1683.75,1638.75,,0.0128
2022-03-29,1643,1662.5,1673,1622,,-0.0128
2022-03-28,1664.25,1703,1710,1661,,-0.0269
2022-03-25,1710.25,1702,1714.25,1684.75,,0.0056
2022-03-24,1700.75,1722.25,1730,1697.5,,-0.0105
2022-03-23,1718.75,1695.5,1736.5,1691,,0.0131
2022-03-22,1696.5,1692.75,1720.75,1686,,0.0033
2022-03-21,1691,1673,1710,1666.75,,0.0138
2022-03-18,1668,1669.75,1689,1651.5,,-0.0003
2022-03-17,1668.5,1649.25,1677.5,1647.25,,0.0117
2022-03-16,1649.25,1661,1681.25,1645.25,,-0.0057
2022-03-15,1658.75,1674,1674,1638,,-0.0169
2022-03-14,1687.25,1708,1710,1705,,-0.0021
2022-03-11,1690.75,1706.5,1707.25,1680.75,,-0.0054
2022-03-10,1700,1687.75,1716.25,1681.25,,0.008
2022-03-09,1686.5,1727.75,1745.25,1684.5,,-0.0106
2022-03-08,1704.5,1674.5,1708,1674.25,,0.0181
2022-03-07,1674.25,1696.5,1706.25,1675,,-0.0012
2022-03-04,1676.25,1684,1700.25,1659.25,,-0.0024
