Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,688,659.75,697,656,,0.0401
2023-06-15,661.5,629,665.25,628.25,,0.0496
2023-06-14,630.25,638,639,625,70760,-0.0094
2023-06-13,636.25,634.5,649.25,626.75,106160,0.0039
2023-06-12,633.75,629.75,638.75,622.25,91970,0.0056
2023-06-09,630.25,624.5,632.25,618.5,113040,0.0064
2023-06-08,626.25,616,629,611.25,98910,0.0154
2023-06-07,616.75,626.5,635.5,613.25,89270,-0.0175
2023-06-06,627.75,624.25,648,621.25,113880,0.006
2023-06-05,624,621.5,631.5,615.5,69490,0.0081
2023-06-02,619,610.25,622.5,602.25,69360,0.0135
2023-06-01,610.75,594.25,617.5,593,80030,0.0278
2023-05-31,594.25,591.5,595,573.25,73770,0.0055
2023-05-30,591,616.75,616.75,588.75,74480,-0.042
2023-05-28,616.88,616.88,616.88,616.88,,0.0014
2023-05-26,616,606,618.5,602.5,48350,0.0194
2023-05-25,604.25,607,616.5,599,53310,-0.0033
2023-05-24,606.25,621,624.5,602.25,61470,-0.0257
2023-05-23,622.25,607.5,624.75,594.25,57430,0.0264
2023-05-22,606.25,607.75,613.75,596.25,60940,0.0021
2023-05-19,605,611,620.75,602,62740,-0.011
2023-05-18,611.75,626.25,626.5,605.5,59510,-0.022
2023-05-17,625.5,646.75,654.25,616,98460,-0.034
2023-05-16,647.5,661.75,664.25,640,62560,-0.0201
2023-05-15,660.75,635,663.75,632.5,67500,0.058
2023-05-12,624.5,628,654,626,70,0.0167
2023-05-11,614.25,617.5,617.5,617.5,20,-0.0223
2023-05-10,628.25,643.75,647.75,629.75,40,-0.0237
2023-05-09,643.5,653.25,653.75,633,59770,-0.0161
2023-05-08,654,662,669,652.25,62820,-0.0095
2023-05-05,660.25,646,663.5,643.75,70360,0.0236
2023-05-04,645,642,650.75,629.25,72440,0.0082
2023-05-03,639.75,609.25,642.25,603.75,98280,0.0501
2023-05-02,609.25,620,626.5,607.5,64270,-0.0146
2023-05-01,618.25,633.5,635.25,613.75,62950,-0.0245
2023-04-28,633.75,630.5,639,624.25,61850,0.0072
2023-04-27,629.25,643.75,645.5,625.5,88180,-0.0199
2023-04-26,642,653.75,657.75,641,63260,-0.0168
2023-04-25,653,657,660.5,642.5,85290,-0.0061
2023-04-24,657,679,682,656.75,74610,-0.0238
2023-04-21,673,681.25,685.75,669,61310,-0.0103
2023-04-20,680,695,696,678.25,56700,-0.0184
2023-04-19,692.75,709.25,710,692,52040,-0.0236
2023-04-18,709.5,704.25,717.25,700.5,60100,0.0187
2023-04-17,696.5,686.25,697,674.5,71090,0.0205
2023-04-14,682.5,668.75,685.25,661.25,81450,0.0232
2023-04-13,667,680.75,680.75,664.5,91660,-0.0184
2023-04-12,679.5,673,683.75,673,111540,0.0082
2023-04-11,674,680.25,686,666.25,114950,-0.0066
2023-04-10,678.5,684.5,687.5,668.25,67550,0.0044
2023-04-07,675.5,675.5,675.5,675.5,,0
2023-04-06,675.5,682.25,685,671.25,55620,-0.0095
2023-04-05,682,693,693.25,675,56290,-0.0137
2023-04-04,691.5,697,701.5,688,44900,-0.0029
2023-04-03,693.5,697,710,691.5,51070,0.0018
2023-03-31,692.25,692.5,701.25,681,58010,0
2023-03-30,692.25,705.25,710,690.25,45510,-0.0177
2023-03-29,704.75,698.25,724,696.5,77190,0.0071
2023-03-28,699.75,698.5,704.75,691.5,51080,0.0025
2023-03-27,698,691,706.5,680.25,58960,0.0138
2023-03-24,688.5,660.25,700.5,656.25,114500,0.04
2023-03-23,662,663,675.5,657.25,56070,-0.0023
2023-03-22,663.5,682.5,684,654,89220,-0.0289
2023-03-21,683.25,700,705.5,680.25,68060,-0.025
2023-03-20,700.75,708.5,708.5,695.25,61280,-0.0137
2023-03-17,710.5,697.25,712.5,697.25,58010,0.0165
2023-03-16,699,704,704,691.5,43890,-0.0053
2023-03-15,702.75,697.25,706,692.75,50730,0.0237
2023-03-14,686.5,683,699.75,677.5,40,0.0212
2023-03-13,672.25,660.5,660.75,660.5,30,0.0082
2023-03-10,666.75,662.25,662.25,662.25,40,0.0015
2023-03-09,665.75,689,691.5,664.25,79760,-0.0316
2023-03-08,687.5,698,699.5,684.25,58630,-0.015
2023-03-07,698,696.5,703.5,689.5,46820,0.004
2023-03-06,695.25,711,711,693.75,48630,-0.019
2023-03-03,708.75,714.75,715.5,706.25,41610,-0.0056
2023-03-02,712.75,713,721.75,708.5,50800,0.0039
2023-03-01,710,708,714.5,701.75,55840,0.0064
2023-02-28,705.5,710,715,702.5,57460,-0.0063
2023-02-27,710,721.75,724,705.75,81170,-0.0163
2023-02-24,721.75,752.25,753.5,717,81940,-0.0383
2023-02-23,750.5,748.5,758.75,747.25,65540,0.0007
2023-02-22,750,763.5,766.75,746.75,68500,-0.0007
2023-02-21,750.5,765.75,773.25,749.5,49780,-0.0186
2023-02-20,764.75,764.75,764.75,764.75,,0
2023-02-19,764.75,764.75,764.75,764.75,,-0.001
2023-02-17,765.5,765,771.5,759.5,32060,0.0007
2023-02-16,765,767.5,771.5,762.25,34050,-0.0055
2023-02-15,769.25,786,787.25,766.75,55480,-0.0213
2023-02-14,786,790,797.5,783.5,64640,-0.0076
2023-02-13,792,789,796,776,88270,0.0076
2023-02-10,786,755,790,755,109950,0.038
2023-02-09,757.25,764.75,770.5,754.75,75200,-0.0098
2023-02-08,764.75,750,766,747.75,90200,0.02
2023-02-07,749.75,750,757,744.25,70660,-0.0007
2023-02-06,750.25,758,766.5,745.5,56430,-0.0086
2023-02-03,756.75,759.75,776.5,750.75,72370,-0.0056
2023-02-02,761,757.5,770.75,750.5,59110,0.0016
2023-02-01,759.75,760.75,762.5,744.5,60030,-0.002
2023-01-31,761.25,752.5,766.75,742,59640,0.0116
2023-01-30,752.5,753,762.5,743.5,43810,0.0033
