Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,92.85,92.1,93.72,92.1,15490,0.0101
2023-06-15,91.92,92.5,94.3,91.17,20460,0.0541
2023-06-14,87.2,87.33,87.45,87.05,1650,0.0009
2023-06-13,87.12,87.1,87.42,86.8,3220,-0.0006
2023-06-12,87.17,87.5,87.9,87.1,4740,-0.0081
2023-06-09,87.88,87.35,88,87.2,4740,0.0024
2023-06-08,87.67,87.25,87.88,86.7,5960,-0.0003
2023-06-07,87.7,87.5,88.3,87.12,6710,-0.0068
2023-06-06,88.3,86.08,88.53,86.08,11330,0.0348
2023-06-05,85.33,85.5,86.05,84.83,7850,-0.016
2023-06-02,86.72,84,87,83.85,12730,0.0379
2023-06-01,83.55,83.03,84.03,82.15,10320,0.0117
2023-05-31,82.58,81.33,82.92,81.33,10930,0.0217
2023-05-30,80.83,76.58,80.83,76.55,11730,0.0601
2023-05-28,76.25,76.25,76.25,76.25,,0.0022
2023-05-26,76.08,77.25,77.72,75.45,9850,-0.0202
2023-05-25,77.65,79.15,79.25,77.03,14020,-0.0269
2023-05-24,79.8,80.67,81.47,79.4,11690,-0.0108
2023-05-23,80.67,81.83,82.17,79.78,16560,-0.0142
2023-05-22,81.83,83.45,83.83,81.67,15220,-0.0145
2023-05-19,83.03,84.53,84.92,82.83,19510,-0.0266
2023-05-18,85.3,84.88,85.75,83.35,22040,0.0049
2023-05-17,84.88,87.6,87.83,84.33,29130,-0.0266
2023-05-16,87.2,86.1,87.35,86.08,23200,0.0122
2023-05-15,86.15,84.05,86.95,83.83,22550,0.1244
2023-05-12,76.62,76.62,77.12,76.62,290,0.0003
2023-05-11,76.6,76.67,76.95,76.55,820,0.0003
2023-05-10,76.58,76.5,76.97,76.42,460,0.0039
2023-05-09,76.28,75.65,76.45,75.65,580,0.0087
2023-05-08,75.62,75.67,76,75.55,530,0.0012
2023-05-05,75.53,76.7,76.7,75.3,1500,-0.0201
2023-05-04,77.08,77.75,77.83,77,580,-0.0137
2023-05-03,78.15,78.8,78.9,78.08,1000,-0.0003
2023-05-02,78.17,78.83,79.1,78.1,640,-0.0142
2023-05-01,79.3,79.4,79.55,78.8,440,-0.0044
2023-04-28,79.65,78.17,79.8,78.17,780,0.0196
2023-04-27,78.12,78.4,78.58,77.35,350,-0.002
2023-04-26,78.28,77,78.4,76.53,850,0.0182
2023-04-25,76.88,77.17,77.5,76.83,530,-0.0106
2023-04-24,77.7,77.17,78.15,77.05,460,0.0087
2023-04-21,77.03,77.25,77.5,76.58,750,0.0026
2023-04-20,76.83,78.25,78.25,76.75,730,-0.0248
2023-04-19,78.78,78.72,79.42,77.9,570,-0.0006
2023-04-18,78.83,80.85,81.1,78.5,780,0.0967
2023-04-17,71.88,71.85,71.92,71.75,2060,0.0018
2023-04-14,71.75,71.9,71.92,71.58,2380,0.0021
2023-04-13,71.6,72,72.17,71.5,3980,-0.0097
2023-04-12,72.3,72.97,73.15,72.03,4090,-0.0103
2023-04-11,73.05,73,73.3,72.85,3730,-0.0045
2023-04-10,73.38,73.5,73.9,73.3,5020,-0.0104
2023-04-06,74.15,73.4,74.25,73.38,6840,0.0102
2023-04-05,73.4,71.97,74.3,71.97,11110,0.0163
2023-04-04,72.22,74.53,75.25,72.1,8990,-0.031
2023-04-03,74.53,74.7,75.25,74.12,6900,-0.0096
2023-03-31,75.25,76,76.4,75,7190,-0.0157
2023-03-30,76.45,76.78,77.3,76.35,4850,-0.0043
2023-03-29,76.78,77.15,77.6,76.65,5740,-0.0125
2023-03-28,77.75,78,78.25,77.4,6350,-0.0111
2023-03-27,78.62,77.22,79.95,77.17,10160,0.0188
2023-03-24,77.17,75.75,77.53,75.62,9240,0.0187
2023-03-23,75.75,76.08,76.45,75.12,9490,-0.0043
2023-03-22,76.08,77.1,77.5,75.95,11590,-0.0126
2023-03-21,77.05,77.58,78.1,77,12830,-0.0094
2023-03-20,77.78,78.7,79.03,77.42,21240,-0.0263
2023-03-17,79.88,79.85,80.75,78.3,28650,0.0054
2023-03-16,79.45,83.5,83.75,79.1,43360,-0.0513
2023-03-15,83.75,85.2,85.4,83.58,30110,-0.0193
2023-03-14,85.4,86.22,86.33,85.03,22380,-0.0095
2023-03-13,86.22,86.72,87.42,85.75,29560,-0.0141
2023-03-10,87.45,85,87.5,85,37280,0.0279
2023-03-09,85.08,85.2,86.33,84.17,33920,-0.0078
2023-03-08,85.75,84.47,86.17,84.22,34600,0.0112
2023-03-07,84.8,83.83,84.88,83.2,33180,0.0159
2023-03-06,83.47,84.1,84.97,83.3,22300,-0.0128
2023-03-03,84.55,83.78,85.08,83.53,19570,0.0083
2023-03-02,83.85,85.5,85.88,83.62,24280,-0.0129
2023-03-01,84.95,84.83,85.35,84.08,26640,-0.0026
2023-02-28,85.17,85.03,85.67,84.22,20180,0.0053
2023-02-27,84.72,85.95,86.88,84.47,23100,-0.0152
2023-02-24,86.03,87.1,87.3,85.67,17990,-0.002
2023-02-23,86.2,86.45,86.65,85.38,20950,-0.004
2023-02-22,86.55,88.12,88.33,86.17,30020,-0.0286
