Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,234.93,233,236.4,232.7,,0.0034
2023-06-15,234.13,234.63,234.63,232.27,10230,-0.0075
2023-06-14,235.9,240.98,241.9,235.55,8060,-0.0189
2023-06-13,240.45,238.68,240.93,237.55,4950,0.0059
2023-06-12,239.05,238.25,239.65,237.55,4940,0.0002
2023-06-09,239,239.25,240.9,236.82,6910,0.0015
2023-06-08,238.65,239.13,240.82,238.1,6910,-0.0019
2023-06-07,239.1,244.1,245.18,238.55,11500,-0.0171
2023-06-06,243.25,242.5,244.48,241.27,7000,0.0027
2023-06-05,242.6,241.9,243.07,241.02,6650,0.0029
2023-06-02,241.9,242.9,243.8,240.7,7180,0.001
2023-06-01,241.65,238.18,242.05,236.57,10420,0.0103
2023-05-31,239.18,237.98,239.85,237.3,6950,0.0059
2023-05-30,237.77,234.32,238.55,234.32,8320,0.0165
2023-05-26,233.93,234,235,233.48,4380,0.1194
2023-05-25,208.98,208.85,209.2,208.68,680,0
2023-05-24,208.98,208.2,209.05,207.82,970,0.0057
2023-05-23,207.8,207.45,207.93,207.23,1220,0.0059
2023-05-22,206.57,206.43,206.82,205.85,970,0.0015
2023-05-19,206.27,205.9,206.7,205.6,1670,0.0008
2023-05-18,206.1,205.4,206.2,204.65,1390,0.0076
2023-05-17,204.55,205.9,205.98,204.43,1100,-0.0056
2023-05-16,205.7,206.65,206.8,205.35,830,-0.0039
2023-05-15,206.5,205.6,206.55,205.15,1100,-0.0982
2023-05-12,228.98,226.32,229.2,225.45,7890,0.0128
2023-05-11,226.07,225.07,227.45,224.98,6170,0.0041
2023-05-10,225.15,226.2,226.38,224.3,7060,-0.0043
2023-05-09,226.13,224.05,226.5,223.13,7010,0.0136
2023-05-08,223.1,221.5,223.38,221.15,5750,0.0076
2023-05-05,221.43,223.27,224.65,221.3,8010,-0.0077
2023-05-04,223.15,223.63,224.48,222.63,5100,-0.0017
2023-05-03,223.52,225.8,225.93,222.75,9050,-0.0117
2023-05-02,226.18,229.85,229.88,226.05,7760,-0.0171
2023-05-01,230.1,230.52,231.45,229.63,5650,-0.0027
2023-04-28,230.73,231.3,232.23,230.23,7120,0.0908
2023-04-27,211.52,210.7,211.93,210.38,2710,0.0059
2023-04-26,210.27,209.07,210.93,207.7,4210,0.0041
2023-04-25,209.43,210.82,211.13,209.1,4250,-0.0063
2023-04-24,210.75,211.05,211.2,209.75,4840,0.0342
2023-04-21,203.77,204.77,205.15,203.55,1240,-0.0061
2023-04-20,205.02,204.1,205.23,202.73,1230,0.0017
2023-04-19,204.68,205.63,206.5,204.05,1840,-0.0061
2023-04-18,205.93,205.85,206.1,204.68,860,-0.0229
2023-04-17,210.75,208.1,210.85,208,10230,0.0137
2023-04-14,207.9,207.8,208.5,206.82,8510,0.0005
2023-04-13,207.8,209.8,210.15,207.55,9760,-0.0037
2023-04-12,208.57,207.68,209.4,207.68,9390,0.0036
2023-04-11,207.82,205.63,207.95,205.25,8900,0.0107
2023-04-10,205.63,205.48,205.95,203.75,6600,0.0011
2023-04-06,205.4,204.6,206.57,204.23,8970,0.0163
2023-04-05,202.1,202.5,203.3,201.82,5180,-0.0009
2023-04-04,202.27,203.73,205.25,202.05,6960,-0.0043
2023-04-03,203.15,204.6,205.23,202.27,8750,-0.0102
2023-03-31,205.25,204.68,206.85,204.52,7970,0.0268
2023-03-30,199.9,198.27,199.95,197.82,2510,0.0086
2023-03-29,198.2,196.82,198.32,196.6,2690,0.0049
2023-03-28,197.23,197.1,197.65,196.9,2300,-0.002
2023-03-27,197.63,195.13,197.98,195.13,4660,0.0145
2023-03-24,194.8,194.52,195,193.48,4480,-0.001
2023-03-23,195,194.2,195.02,193.77,4740,0.0359
2023-03-22,188.25,188.8,189.02,188,880,-0.0028
2023-03-21,188.77,188.5,189.15,187.8,590,0.0031
2023-03-20,188.2,189.55,189.75,188.18,740,-0.0034
2023-03-17,188.85,189.27,189.27,188.15,980,-0.0034
2023-03-16,189.5,188.35,189.93,188,1090,0.0069
