Date,Price,Open,High,Low,Vol.,Change %
6/16/2023,178.35,177.57,178.9,177,1.28K,0.44%
6/15/2023,177.57,177.45,178.18,176.3,1.18K,0.07%
6/14/2023,177.45,179.55,179.6,177.25,1.92K,-1.10%
6/13/2023,179.43,179.07,179.6,178.5,1.10K,0.20%
6/12/2023,179.07,178.8,179.2,178.15,1.46K,0.48%
6/9/2023,178.22,179.18,180.18,177.28,3.77K,-0.31%
6/8/2023,178.78,179.68,180.32,178.5,3.47K,-0.12%
6/7/2023,179,181,182.88,177.62,6.93K,-0.46%
6/6/2023,179.82,177.75,180.25,177.03,5.33K,1.51%
6/5/2023,177.15,177.5,178.18,176.53,3.73K,0.41%
6/2/2023,176.43,175.03,176.88,175,13.37K,0.87%
6/1/2023,174.9,169.35,175,169,20.61K,3.42%
5/31/2023,169.12,168.65,169.28,168.03,14.08K,0.14%
5/30/2023,168.88,167.7,169,167.5,12.20K,0.96%
5/28/2023,167.27,167.27,167.27,167.27,10.70K,-0.04%
5/26/2023,167.35,167.47,168.4,167.1,10.91K,0.03%
5/25/2023,167.3,166.6,167.45,166,12.93K,0.72%
5/24/2023,166.1,164.28,166.5,163.65,15.42K,1.11%
5/23/2023,164.28,165.65,165.82,164.12,8.13K,-0.47%
5/22/2023,165.05,165.65,165.65,164.5,8.10K,-0.40%
5/19/2023,165.72,165.53,166.22,164.82,12.57K,0.11%
5/18/2023,165.53,164.88,165.72,164.32,12.91K,0.43%
5/17/2023,164.82,164.07,164.93,162.93,19.28K,0.57%
5/16/2023,163.88,164.32,164.55,163.65,13.16K,-0.27%
5/15/2023,164.32,164.62,164.72,163.57,23.87K,-0.05%
5/12/2023,164.4,163.15,164.62,162.9,29.11K,0.89%
5/11/2023,162.95,162.97,163.45,162.3,34.08K,-0.03%
5/10/2023,163,163.72,164.55,162.68,41.58K,-0.57%
5/9/2023,163.93,162.6,164.15,161.88,45.24K,0.92%
5/8/2023,162.43,161.93,162.82,161.78,28.21K,0.31%
5/5/2023,161.93,162.1,163.12,161.8,38.90K,0.22%
5/4/2023,161.57,161.72,162.35,161.35,26.94K,-0.05%
5/3/2023,161.65,162.8,162.8,161.2,36.75K,-0.77%
5/2/2023,162.9,164.8,164.8,162.55,32.68K,-1.20%
5/1/2023,164.88,165.2,165.78,164.47,24.37K,-5.88%
4/28/2023,175.18,175.9,177.1,174.5,0.32K,-0.15%
4/27/2023,175.45,174.85,175.5,174.45,0.60K,0.53%
4/26/2023,174.53,174.3,174.65,174.18,1.06K,0.13%
4/25/2023,174.3,174.25,174.4,173.9,0.71K,0.00%
4/24/2023,174.3,173.3,174.45,173.3,0.72K,0.19%
4/21/2023,173.97,174.12,174.88,172.7,1.56K,-0.07%
4/20/2023,174.1,175.43,175.43,173.53,1.90K,-0.76%
4/19/2023,175.43,176.68,177,174.6,2.52K,-0.59%
4/18/2023,176.47,175.9,176.62,175.28,1.83K,0.41%
4/17/2023,175.75,174.85,175.93,174.7,1.10K,0.57%
4/14/2023,174.75,175.18,175.45,174.68,1.57K,-0.43%
4/13/2023,175.5,175.78,177.7,175.18,5.05K,0.70%
4/12/2023,174.28,172.32,174.32,172.3,2.95K,1.15%
4/11/2023,172.3,171.82,172.47,171.45,2.74K,0.54%
4/10/2023,171.38,171.6,171.78,170.88,4.14K,0.18%
4/6/2023,171.07,170.4,171.43,169.93,14.59K,1.59%
4/5/2023,168.4,167.75,168.78,167.53,8.71K,0.48%
4/4/2023,167.6,168.3,168.7,167.45,7.82K,-0.31%
4/3/2023,168.12,168.4,169.43,167.72,9.38K,-0.14%
3/31/2023,168.35,167.82,168.53,167.55,9.36K,0.48%
3/30/2023,167.55,165.75,167.65,165.75,11.94K,1.04%
3/29/2023,165.82,165.05,165.88,164.93,7.49K,0.53%
3/28/2023,164.95,164.8,165.03,164.55,5.85K,0.03%
3/27/2023,164.9,163.3,164.95,163.25,10.02K,1.17%
3/24/2023,163,162.05,163.3,161.75,8.14K,0.52%
3/23/2023,162.15,162.47,162.5,161.82,7.14K,-0.09%
3/22/2023,162.3,162.45,162.65,160.62,15.07K,-0.08%
3/21/2023,162.43,162.28,162.88,161.7,15.88K,0.25%
3/20/2023,162.03,163.1,163.1,161.93,11.67K,-0.18%
3/17/2023,162.32,162.43,162.65,161.55,21.54K,-0.02%
3/16/2023,162.35,161.8,162.8,161.43,24.72K,0.50%
3/15/2023,161.55,162.78,162.9,161.1,32.88K,-0.92%
3/14/2023,163.05,163.8,163.9,162.88,29.86K,-0.31%
3/13/2023,163.55,163.65,164,162.53,43.21K,-0.44%
3/10/2023,164.28,164.8,165.25,164.22,31.03K,-0.32%
3/9/2023,164.8,165.4,165.68,164.5,32.08K,-0.39%
3/8/2023,165.45,165.9,165.93,164.78,39.22K,-0.31%
3/7/2023,165.97,166.1,166.55,165.47,27.48K,-0.08%
3/6/2023,166.1,165.45,166.68,165.07,26.30K,0.41%
3/3/2023,165.43,164.12,165.85,164.07,28.52K,0.81%
3/2/2023,164.1,165.12,165.15,163.85,23.39K,-0.62%
3/1/2023,165.12,165.32,166.1,164.5,27.36K,-1.42%
2/28/2023,167.5,164.82,167.5,164.82,0.15K,1.52%
2/27/2023,165,165.2,165.38,164.85,0.68K,-0.12%
2/24/2023,165.2,165.38,165.68,164.5,1.32K,0.03%
2/23/2023,165.15,165.4,165.65,164.75,1.72K,0.15%
2/22/2023,164.9,164.8,165.05,164.28,0.84K,0.09%
2/21/2023,164.75,163.7,164.97,163.53,2.36K,0.83%
2/19/2023,163.4,163.4,163.4,163.4,,-0.10%
2/17/2023,163.57,162.85,164.07,162.53,2.75K,0.49%
2/16/2023,162.78,162.62,162.82,162.25,1.70K,0.14%
2/15/2023,162.55,162.3,162.8,161.9,3.17K,0.25%
2/14/2023,162.15,162.07,162.35,161.6,1.85K,-0.08%
2/13/2023,162.28,161.82,162.28,161.7,2.65K,0.67%
2/10/2023,161.2,160.93,161.32,160.7,4.12K,0.24%
2/9/2023,160.82,160.88,161.43,160.65,2.23K,0.01%
2/8/2023,160.8,160.75,161.5,160.3,3.07K,0.14%
2/7/2023,160.57,160.93,161.2,160.47,4.05K,-0.16%
2/6/2023,160.82,160.5,161,160.25,7.70K,0.34%
2/3/2023,160.28,159.75,160.47,159.5,10.46K,0.33%
2/2/2023,159.75,158.55,159.9,158.55,10.42K,0.83%
2/1/2023,158.43,159.07,159.15,158.35,13.72K,-0.26%
1/31/2023,158.85,158.57,159.07,158.55,9.91K,0.06%
1/30/2023,158.75,157.05,158.88,157.05,20.58K,1.30%
1/27/2023,156.72,156.72,157,156.5,12.54K,0.00%
1/26/2023,156.72,157.35,157.6,156.68,12.61K,-0.56%
1/25/2023,157.6,157.65,157.85,157.15,13.10K,-0.16%
1/24/2023,157.85,157.22,157.97,157,10.59K,0.24%
1/23/2023,157.47,156.6,157.6,156.2,11.29K,0.54%
1/20/2023,156.62,155.95,156.8,155.7,8.82K,0.43%
1/19/2023,155.95,156.72,156.72,155.38,19.59K,-0.54%
1/18/2023,156.8,157.18,157.57,156.72,14.51K,-0.13%
1/17/2023,157,157.65,157.65,156.32,32.50K,-0.54%
1/15/2023,157.85,157.85,157.85,157.85,,0.08%
1/13/2023,157.72,157.68,158.15,156.9,35.70K,0.11%
1/12/2023,157.55,157.8,158,156.95,32.30K,-0.13%
1/11/2023,157.75,157.85,157.95,157.05,43.40K,0.00%
1/10/2023,157.75,157.6,158.82,157.55,43.79K,0.00%
1/9/2023,157.75,156.7,158.18,156.53,44.40K,0.62%
1/6/2023,156.78,157.35,157.47,156.6,22.69K,-0.36%
1/5/2023,157.35,157.18,157.6,156.78,23.52K,0.04%
1/4/2023,157.28,157.03,157.85,156.93,24.29K,0.27%
1/3/2023,156.85,158.15,158.15,156.65,28.39K,-0.68%
1/1/2023,157.93,157.93,157.93,157.93,,2.01%
12/30/2022,154.82,158.5,158.5,154.82,0.06K,-2.32%
12/29/2022,158.5,157.53,158.68,157.2,0.31K,0.67%
12/28/2022,157.45,156.9,157.5,156.6,0.41K,0.40%
12/27/2022,156.82,156.85,157.15,156.55,0.49K,0.27%
