Date,Price,Open,High,Low,Vol.,Change %
6/16/2023,720.25,713,726.75,708.25,96.53K,2.71%
6/15/2023,701.25,679,713.5,675,106.77K,1.04%
6/14/2023,694,697,710.5,685.75,118.24K,-0.61%
6/13/2023,698.25,673.5,702.75,671.75,110.72K,-1.38%
6/12/2023,708,695,696.25,687,3.27K,0.00%
6/9/2023,708,702,711.5,696.5,22.53K,0.57%
6/8/2023,704,710.25,717,684,35.85K,-0.91%
6/7/2023,710.5,697,714.25,689.75,38.26K,1.39%
6/6/2023,700.75,701.5,702.75,685,36.56K,-0.88%
6/5/2023,707,698.25,720.25,697.25,30.10K,1.69%
6/2/2023,695.25,681.5,701,680.25,29.51K,2.02%
6/1/2023,681.5,658.25,687.75,656.5,44.23K,2.83%
5/31/2023,662.75,666.75,669.75,651.75,45.20K,-1.41%
5/30/2023,672.25,691.5,694.75,663,39.49K,-2.47%
5/29/2023,689.25,692.75,695.75,682.5,9.36K,-0.47%
5/26/2023,692.5,678.5,694.25,676.5,39.63K,1.95%
5/25/2023,679.25,699.75,701,671.25,39.05K,-2.69%
5/24/2023,698,690,702,688,39.71K,1.31%
5/23/2023,689,687.75,697.25,681.75,42.29K,0.88%
5/22/2023,683,682.5,688.25,672,58.98K,-0.91%
5/19/2023,689.25,695.25,707.5,680.5,86.78K,-0.54%
5/18/2023,693,702.25,704.25,687.5,71.08K,-0.14%
5/17/2023,694,679.25,705,676,105.57K,2.06%
5/16/2023,680,687.5,691.25,675.75,68.98K,0.07%
5/15/2023,679.5,663.75,690,655.75,75.83K,1.57%
5/12/2023,669,678.75,679,662.25,79.13K,-3.71%
5/11/2023,694.75,698,704.75,697.5,2.15K,0.00%
5/10/2023,694.75,695,698,684,24.66K,2.89%
5/9/2023,675.25,689.75,694,673,27.08K,-2.21%
5/8/2023,690.5,675.5,693.75,672.25,19.75K,2.94%
5/5/2023,670.75,647.75,677.75,645.25,31.69K,3.43%
5/4/2023,648.5,631,656.5,631,48.76K,1.85%
5/3/2023,636.75,663.5,665,633.75,35.23K,-3.67%
5/2/2023,661,692.25,699.75,658.5,28.85K,-4.34%
5/1/2023,691,691.25,695.75,678.5,9.86K,-0.58%
4/28/2023,695,684,697.25,676,23.47K,1.09%
4/27/2023,687.5,691,696.75,679.75,27.47K,-2.45%
4/26/2023,704.75,716.25,722,689.25,34.81K,-1.61%
4/25/2023,716.25,735.5,742,713,35.22K,-2.35%
4/24/2023,733.5,723.5,739.75,712.5,31.54K,1.31%
4/21/2023,724,720,731,715.5,28.87K,0.73%
4/20/2023,718.75,738.5,739.25,714.5,60.69K,-3.46%
4/19/2023,744.5,754.5,756.75,736.5,50.89K,-1.91%
4/18/2023,759,759.5,763,748.5,49.70K,0.23%
4/17/2023,757.25,767.75,773.5,751.75,75.24K,-1.91%
4/14/2023,772,775.5,778.5,765.5,57.37K,-1.31%
4/13/2023,782.25,782.5,790,773.5,89.96K,1.46%
4/12/2023,771,777,783.75,777,1.62K,0.00%
4/11/2023,771,778.5,784.5,762.5,24.40K,-1.22%
4/10/2023,780.5,779.5,786,769,11.30K,0.03%
4/6/2023,780.25,793,796.75,774,29.48K,-1.11%
4/5/2023,789,788.5,795.25,776.5,35.84K,2.40%
4/4/2023,770.5,786.25,798.5,766.75,33.45K,-2.41%
4/3/2023,789.5,790.5,817.75,780.25,35.38K,3.51%
3/31/2023,762.75,757.25,770,752,24.01K,0.86%
3/30/2023,756.25,751.5,765,744.5,33.30K,-0.85%
3/29/2023,762.75,776.25,783,750,48.32K,-2.56%
