Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,2271,2270,2269.5,2270,,0.96%
2023-06-15,2249.5,2237,2236.5,2237,53.92K,-0.18%
2023-06-14,2253.5,2244,2243,2243,47.12K,0.96%
2023-06-13,2232,2235,2235,2234,38.41K,0.18%
2023-06-12,2228,2237,2233,2234,39.15K,-1.76%
2023-06-09,2268,2266,2265.5,2266,46.04K,0.60%
2023-06-08,2254.5,2230,2227,2227,48.07K,1.60%
2023-06-07,2219,2215,2213,2215,48.79K,0.41%
2023-06-06,2210,2220,2218.5,2219,62.46K,-1.52%
2023-06-05,2244,2255,2254.5,2253,56.06K,-0.86%
2023-06-02,2263.5,2288,2289,2288,69.55K,-0.83%
2023-06-01,2282.5,2260,2252.5,2253,59.20K,1.63%
2023-05-31,2246,2229,2221,2221.5,57.58K,0.99%
2023-05-30,2224,2225,2224,2225,48.90K,-0.60%
2023-05-26,2237.5,2245,2237,2228,47.64K,0.29%
2023-05-25,2231,2230,2226,2226,59.56K,1.18%
2023-05-24,2205,2229,2228,2229,79.56K,-0.99%
2023-05-23,2227,2227,2225,2227,59.38K,-1.61%
2023-05-22,2263.5,2260,2260,2260,49.01K,-0.88%
2023-05-19,2283.5,2297,2295,2297,37.97K,0.00%
2023-05-18,2283.5,2304,2302,2304,49.96K,-0.57%
2023-05-17,2296.5,2277,2273,2273,58.17K,1.64%
2023-05-16,2259.5,2248,2242,2242.5,65.24K,0.00%
2023-05-15,2259.5,2273,2270,2268,54.32K,1.25%
2023-05-12,2231.5,2237,2236.5,2237,66.67K,0.93%
2023-05-11,2211,2245,2240,2236,96.50K,-2.51%
2023-05-10,2268,2285,2280,2280.5,51.23K,-2.24%
2023-05-09,2320,2327,2326,2327,54.98K,0.06%
2023-05-05,2318.5,2292,2290,2292,44.97K,1.38%
2023-05-04,2287,2310,2306,2308,50.09K,-1.46%
2023-05-03,2321,2348,2342,2343,39.43K,-1.92%
2023-05-02,2366.5,2360,2353,2355,55.32K,0.45%
2023-04-28,2356,2358,2342,2340,49.68K,1.60%
2023-04-27,2319,2310,2309.5,2310,50.30K,-0.34%
2023-04-26,2327,2356,2355,2356,44.97K,-0.36%
2023-04-25,2335.5,2335,2332,2332,55.64K,-1.91%
2023-04-24,2381,2375,2373,2373,34.04K,-0.65%
2023-04-21,2396.5,2400,2398,2398,38.98K,-1.01%
2023-04-20,2421,2430,2430,2429,55.30K,-0.98%
2023-04-19,2445,2409,2401,2402,69.60K,0.33%
2023-04-18,2437,2425,2423,2423,65.88K,2.46%
2023-04-17,2378.5,2371,2370,2371,41.56K,-0.29%
2023-04-14,2385.5,2388,2387,2388,47.40K,0.78%
2023-04-13,2367,2370,2365,2334,54.90K,1.81%
2023-04-12,2325,2305,2301.5,2302,51.15K,0.98%
2023-04-11,2302.5,2310,2307,2306,52.18K,-1.33%
2023-04-06,2333.5,2345,2340.5,2340.5,35.59K,0.00%
2023-04-05,2333.5,2350,2353,2350,41.76K,-1.56%
2023-04-04,2370.5,2393,2393,2393,47.94K,-1.13%
2023-04-03,2397.5,2430,2429,2430,62.87K,-0.64%
2023-03-31,2413,2380,2375,2375.5,39.51K,1.13%
2023-03-30,2386,2388,2386,2388,33.56K,0.25%
2023-03-29,2380,2410,2410,2410,49.14K,-0.38%
2023-03-28,2389,2362,2360,2361,37.35K,1.08%
2023-03-27,2363.5,2342,2340,2340.5,33.15K,1.13%
2023-03-24,2337,2320,2312,2313,48.87K,0.47%
2023-03-23,2326,2313.5,2313,2313.5,46.76K,1.73%
2023-03-22,2286.5,2285,2282,2282.5,39.55K,0.88%
2023-03-21,2266.5,2289,2284,2286,55.05K,-0.35%
2023-03-20,2274.5,2287,2282.5,2282.5,38.19K,0.02%
2023-03-17,2274,2288,2280,2280,50.17K,0.29%
2023-03-16,2267.5,2295,2286,2287,50.62K,-0.42%
2023-03-15,2277,2300,2295,2295.5,74.19K,-3.21%
2023-03-14,2352.5,2329,2320,2321,43.54K,0.81%
2023-03-13,2333.5,2290,2286,2287,74.01K,0.89%
2023-03-10,2313,2300,2297,2297.5,67.68K,-0.64%
2023-03-09,2328,2342,2335,2335,31.34K,-1.10%
2023-03-08,2354,2340,2335,2336,51.93K,0.17%
2023-03-07,2350,2361,2361,2360,38.46K,-1.34%
2023-03-06,2382,2370,2367,2367,39.03K,-0.96%
2023-03-03,2405,2410,2403,2404,34.22K,0.23%
2023-03-02,2399.5,2412,2410,2411,43.51K,-1.32%
2023-03-01,2431.5,2415,2405.5,2406,49.09K,2.47%
2023-02-28,2373,2350,2345,2345,38.40K,0.42%
2023-02-27,2363,2360,2358,2360,39.58K,1.18%
2023-02-24,2335.5,2356,2355,2356,,-2.53%
2023-02-23,2396,2408,2408,2408,37.98K,-0.91%
2023-02-22,2418,2432,2428,2428,41.89K,-2.01%
2023-02-21,2467.5,2473,2470,2472,43.76K,0.41%
2023-02-20,2457.5,2430,2428,2428,31.17K,2.93%
2023-02-17,2387.5,2375,2372,2373,44.83K,-0.27%
2023-02-16,2394,2388,2381,2382,46.94K,0.40%
2023-02-15,2384.5,2398,2393,2390.5,47.14K,-0.98%
2023-02-14,2408,2420,2419,2420,43.63K,-0.19%
2023-02-13,2412.5,2430,2424,2424,54.61K,-1.15%
2023-02-10,2440.5,2468,2465,2465,44.19K,-2.34%
2023-02-09,2499,2465,2465,2465,49.81K,0.73%
2023-02-08,2481,2508,2507,2508,64.18K,-1.72%
2023-02-07,2524.5,2512,2513,2512,40.65K,-0.36%
2023-02-06,2533.5,2530,2525,2527,50.90K,-1.40%
2023-02-03,2569.5,2595,2593,2593,39.84K,-1.82%
2023-02-02,2617,2610,2607,2609,55.12K,-0.55%
2023-02-01,2631.5,2645,2642,2644,43.50K,-0.47%
2023-01-31,2644,2580,2573.5,2573.5,55.09K,2.10%
2023-01-30,2589.5,2615,2615,2615,39.44K,-1.43%
2023-01-27,2627,2641,2637,2637,29.45K,-0.45%
2023-01-26,2639,2642,2640,2642,30.47K,-0.73%
2023-01-25,2658.5,2637,2638,2637,29.94K,0.30%
2023-01-24,2650.5,2630,2626,2627,29.73K,0.53%
2023-01-23,2636.5,2625,2620,2619,24.39K,1.00%
2023-01-20,2610.5,2620,2618,2614,33.43K,0.89%
2023-01-19,2587.5,2574,2571,2570.5,53.22K,-1.91%
2023-01-18,2638,2660,2662,2659,69.66K,0.74%
2023-01-17,2618.5,2595,2586,2587,44.74K,-0.10%
2023-01-16,2621,2629,2624,2624,58.20K,1.00%
2023-01-13,2595,2546,2545,2546,73.01K,1.82%
2023-01-12,2548.5,2482,2475.5,2476,56.55K,1.53%
2023-01-11,2510,2487,2486,2485,54.33K,1.89%
2023-01-10,2463.5,2432,2430,2432,61.28K,1.03%
2023-01-09,2438.5,2370,2368,2370,71.02K,6.23%
2023-01-06,2295.5,2275,2274,2273,51.62K,1.77%
2023-01-05,2255.5,2310,2303,2304,45.60K,-0.49%
2023-01-04,2266.5,2287,2286,2287,50.90K,-1.93%
2023-01-03,2311,2369,2368,2369,54.93K,-2.82%
2022-12-30,2378,2397,2391,2392,29.18K,-1.12%
2022-12-29,2405,2400,2399,2399,23.86K,1.01%
2022-12-28,2381,2378,2376,2378,31.08K,-0.36%
2022-12-23,2389.5,2378,2371,2373,24.64K,-0.69%
2022-12-22,2406,2398,2395,2397,25.55K,0.61%
2022-12-21,2391.5,2395,2392,2392,30.10K,0.80%
2022-12-20,2372.5,2371,2370,2371,40.10K,0.49%
2022-12-19,2361,2378,2363.5,2364,30.52K,-0.59%
2022-12-16,2375,2398,2396,2398,39.58K,-0.38%
2022-12-15,2384,2435,2428,2428,49.86K,-2.45%
2022-12-14,2444,2428,2427,2428,25.66K,-0.69%
2022-12-13,2461,2430,2427,2427,40.43K,1.95%
2022-12-12,2414,2440,2428,2430,37.30K,-2.68%
2022-12-09,2480.5,2485,2487.5,2485,27.20K,-0.90%
2022-12-08,2503,2500,2497,2498,31.52K,0.70%
2022-12-07,2485.5,2485,2476.5,2476.5,35.77K,-0.92%
2022-12-06,2508.5,2497,2490,2490,42.06K,-0.56%
2022-12-05,2522.5,2520,2515,2517,44.15K,-0.90%
2022-12-02,2545.5,2485,2477,2479,52.48K,2.43%
2022-12-01,2485,2465,2460,2460.5,58.01K,0.30%
2022-11-30,2477.5,2425,2420,2419,54.78K,4.12%
2022-11-29,2379.5,2384,2382,2382,30.25K,0.72%
2022-11-28,2362.5,2353.5,2353,2353.5,25.18K,0.00%
2022-11-25,2362.5,2381,2380,2381,25.80K,-0.21%
2022-11-24,2367.5,2382,2375,2375,18.46K,-1.23%
