Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,3.889,3.8905,3.927,3.878,,-0.0031
2023-06-15,3.901,3.859,3.904,3.8115,,0.008
2023-06-14,3.87,3.8285,3.874,3.798,89720,0.0102
2023-06-13,3.831,3.753,3.864,3.745,115300,0.0211
2023-06-12,3.752,3.7715,3.778,3.735,78650,-0.0098
2023-06-09,3.789,3.7875,3.8335,3.7695,84550,-0.0016
2023-06-08,3.795,3.7535,3.797,3.7345,87850,0.0104
2023-06-07,3.756,3.7665,3.8115,3.741,95210,-0.0033
2023-06-06,3.7685,3.7625,3.78,3.718,62020,0.0001
2023-06-05,3.768,3.728,3.7845,3.686,80760,0.0109
2023-06-02,3.7275,3.7125,3.789,3.6925,82610,0.0044
2023-06-01,3.711,3.667,3.7315,3.645,85920,0.0203
2023-05-31,3.637,3.662,3.6715,3.622,66580,-0.0071
2023-05-30,3.663,3.682,3.711,3.627,88100,-0.0024
2023-05-29,3.6717,3.6742,3.7105,3.6582,,-0.0009
2023-05-28,3.675,3.6715,3.6875,3.6715,,-0.0001
2023-05-26,3.6755,3.589,3.675,3.583,660,0.026
2023-05-25,3.5825,3.557,3.607,3.5405,930,0.0059
2023-05-24,3.5615,3.6405,3.6475,3.545,102900,-0.0254
2023-05-23,3.6545,3.6805,3.705,3.622,69190,-0.0083
2023-05-22,3.685,3.7275,3.7375,3.6675,55950,-0.0126
2023-05-19,3.732,3.6975,3.7675,3.6765,59320,0.0115
2023-05-18,3.6895,3.746,3.7645,3.6805,60350,-0.0173
2023-05-17,3.7545,3.662,3.774,3.6525,82450,0.0239
2023-05-16,3.667,3.743,3.7545,3.657,74940,-0.0224
2023-05-15,3.751,3.7235,3.779,3.7005,59890,0.006
2023-05-12,3.7285,3.701,3.7515,3.677,,0.005
2023-05-11,3.71,3.852,3.8555,3.684,,-0.0341
2023-05-10,3.841,3.9035,3.9185,3.8285,,-0.0155
2023-05-09,3.9015,3.924,3.924,3.881,46220,-0.0071
2023-05-08,3.9295,3.8925,3.9595,3.8765,40070,0.012
2023-05-05,3.883,3.861,3.906,3.825,59640,0.0052
2023-05-04,3.863,3.855,3.9075,3.826,68250,0.0047
2023-05-03,3.845,3.8685,3.872,3.83,51300,-0.0045
2023-05-02,3.8625,3.9355,3.953,3.857,57600,-0.0182
2023-05-01,3.934,3.895,4.005,3.8705,59060,0.0112
2023-04-28,3.8905,3.891,3.9185,3.857,58930,0.0017
2023-04-27,3.884,3.857,3.9,3.8165,81380,0.0058
2023-04-26,3.8615,3.866,3.9095,3.85,73080,-0.0009
2023-04-25,3.865,3.9735,3.985,3.8515,83030,-0.0251
2023-04-24,3.9645,3.99,4.0055,3.96,45580,-0.0055
2023-04-21,3.9865,4.0275,4.0395,3.9825,38860,-0.0114
2023-04-20,4.0325,4.076,4.083,4.016,31530,-0.0119
2023-04-19,4.081,4.0935,4.0975,4.031,28540,-0.0038
2023-04-18,4.0965,4.0785,4.109,4.065,24780,0.0075
2023-04-17,4.066,4.112,4.133,4.058,62390,-0.0099
2023-04-14,4.1065,4.1285,4.1955,4.095,101540,-0.0042
2023-04-13,4.124,4.07,4.143,4.0535,92480,0.0105
2023-04-12,4.081,4.0295,4.088,3.984,93030,0.0153
2023-04-11,4.0195,3.987,4.054,3.978,85660,0.0108
2023-04-10,3.9765,4.018,4.0395,3.963,56660,-0.0097
2023-04-06,4.0155,3.9825,4.0315,3.971,87260,0.0073
2023-04-05,3.9865,3.974,3.996,3.926,68500,0.0039
2023-04-04,3.971,4.053,4.0715,3.9445,82160,-0.0184
2023-04-03,4.0455,4.091,4.0975,4.0345,64130,-0.012
2023-03-31,4.0945,4.112,4.1175,4.0215,75930,0.0007
2023-03-30,4.0915,4.0815,4.1345,4.0585,69860,0.0012
2023-03-29,4.0865,4.0765,4.1335,4.0495,74240,0.0002
2023-03-28,4.0855,4.097,4.113,4.059,77250,0.0017
2023-03-27,4.0785,4.075,4.102,4.0235,67620,0.0009
2023-03-24,4.075,4.1015,4.1485,4.0505,85510,-0.0118
2023-03-23,4.1235,4.043,4.1265,4.0225,79530,0.0195
2023-03-22,4.0445,4.0015,4.1075,3.9715,78060,0.0126
2023-03-21,3.994,3.9555,4.0345,3.9285,69310,0.0108
2023-03-20,3.9515,3.9085,3.97,3.855,73790,0.0152
2023-03-17,3.8925,3.8765,3.9525,3.87,72130,0.0072
2023-03-16,3.8645,3.8835,3.903,3.822,85380,0.0056
2023-03-15,3.843,4.005,4.0275,3.84,131410,-0.04
2023-03-14,4.003,4.042,4.0525,3.982,71160,-0.0125
2023-03-13,4.0535,4.0075,4.0775,3.9215,133480,0.0057
2023-03-10,4.0305,4.007,4.0635,3.967,84980,-0.0021
2023-03-09,4.039,4.027,4.055,3.9955,54530,0.003
2023-03-08,4.027,3.9675,4.0725,3.961,79040,0.0131
2023-03-07,3.975,4.075,4.095,3.963,77400,-0.0278
2023-03-06,4.0885,4.065,4.093,4.0085,63750,0.0053
2023-03-03,4.067,4.0745,4.1175,4.0605,,-0.0022
2023-03-02,4.076,4.1685,4.174,4.047,,-0.0202
2023-03-01,4.16,4.0745,4.1745,4.065,87330,0.0172
