Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,1971.2,1970.3,1980.4,1965.4,,0.0003
2023-06-15,1970.7,1955.7,1972.8,1936.1,,0.0009
2023-06-14,1968.9,1957.2,1973.9,1952.5,199710,0.0053
2023-06-13,1958.6,1971.4,1985.9,1953,198400,-0.0056
2023-06-12,1969.7,1975.6,1981.4,1963.1,122540,-0.0038
2023-06-09,1977.2,1980.5,1987.8,1971,130410,-0.0007
2023-06-08,1978.6,1956.2,1985.7,1955.2,191840,0.0103
2023-06-07,1958.4,1980,1986.5,1955.4,189530,-0.0117
2023-06-06,1981.5,1978,1982.9,1970.3,136000,0.0036
2023-06-05,1974.3,1962.3,1980.4,1953.8,179990,0.0024
2023-06-02,1969.6,1994.6,2000.5,1963.7,209690,-0.013
2023-06-01,1995.5,1981.3,2000.7,1970.1,176910,0.0068
2023-05-31,1982.1,1977.5,1993.1,1971.8,207750,0.0025
2023-05-30,1977.1,1961.3,1981.9,1949.6,264370,0.0089
2023-05-29,1959.75,1961.45,1968.15,1958.1,,-0.0009
2023-05-28,1961.5,1964.55,1964.55,1960.05,,-0.0008
2023-05-26,1963.1,1961.8,1975.7,1954.7,130070,0.0103
2023-05-25,1943.1,1959.5,1965.4,1939,,-0.01
2023-05-24,1962.8,1975.4,1975.4,1969.2,190,-0.0049
2023-05-23,1972.4,1973.9,1980,1955.8,,-0.0012
2023-05-22,1974.8,1980.5,1980.5,1980.5,10,-0.002
2023-05-19,1978.7,1960,1976.7,1960,110,0.0113
2023-05-18,1956.5,1956.8,1956.8,1956.8,20,-0.0122
2023-05-17,1980.7,1983.6,1983.6,1983.6,10,-0.0039
2023-05-16,1988.4,2021.3,2022.7,1989.1,50,-0.0147
2023-05-15,2018,2013.8,2017.1,2013.8,,-0.0009
2023-05-12,2019.8,2020.5,2027.8,2005.7,220500,-0.0003
2023-05-11,2020.5,2036.8,2047.6,2016.7,296980,-0.0081
2023-05-10,2037.1,2041.6,2056,2028.3,260810,-0.0028
2023-05-09,2042.9,2028.4,2045.1,2026.4,199700,0.0048
2023-05-08,2033.2,2024.6,2037.1,2022,182210,0.0041
2023-05-05,2024.8,2058,2061.3,2007,283300,-0.015
2023-05-04,2055.7,2054.7,2085.4,2038.5,311000,0.0092
2023-05-03,2037,2026.4,2050,2016,229670,0.0068
2023-05-02,2023.3,1990.5,2028.8,1986.9,245640,0.0156
2023-05-01,1992.2,2000.2,2015.4,1985.7,173020,-0.0035
2023-04-28,1999.1,1997.2,2004.1,1984.4,172450,0.0001
2023-04-27,1999,1999.8,2013.3,1982,203900,0.0061
2023-04-26,1986.9,2000,2009.8,1986.6,620,-0.0041
2023-04-25,1995.1,1995.4,2005,1979.3,850,0.0023
2023-04-24,1990.6,1983.2,1991,1975.3,540,0.0047
2023-04-21,1981.3,2005.1,2007,1973,620,-0.0142
2023-04-20,2009.8,1996.5,2014.5,1994.2,420,0.0059
2023-04-19,1998,2008.5,2009.7,1971.9,920,-0.0061
2023-04-18,2010.3,1997.1,2013.4,1994.5,220,0.0081
2023-04-17,1994.2,2002.7,2007.6,1983.2,550,-0.004
2023-04-14,2002.2,2041,2047.8,1995,720,-0.0192
2023-04-13,2041.3,2015.6,2048.6,2015.6,1040,0.0151
2023-04-12,2010.9,2005.2,2025.7,2005.2,170,0.003
2023-04-11,2004.8,1991.4,2006.5,1991.4,70,0.0079
2023-04-10,1989.1,2000,2006.6,1984,650,-0.0113
2023-04-06,2011.9,2022.2,2023.3,2005,490,-0.0045
2023-04-05,2020.9,2022.1,2033.8,2013.6,530,-0.0006
2023-04-04,2022.2,1984.6,2027.1,1979,810,0.0193
2023-04-03,1983.9,1968.1,1991.7,1950,740,0.0076
2023-03-31,1969,1981.3,1986.8,1968,960,-0.0057
2023-03-30,1980.3,1965.9,1984.4,1954.9,10120,0.0068
2023-03-29,1966.9,1975.4,1976,1959.5,88560,-0.0033
2023-03-28,1973.5,1957.8,1977.1,1949.9,183580,0.001
