Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,2141,2135,2132,2132,0,0.0049
2023-06-15,2130.5,2135,2133,2133,27130,0.0061
2023-06-14,2117.5,2115,2106,2107,26050,0.0178
2023-06-13,2080.5,2080,2076,2076,13060,0.0036
2023-06-12,2073,2075,2072.5,2073,16210,0.0083
2023-06-09,2056,2050,2047,2048,13080,0.0091
2023-06-08,2037.5,2020.5,2019.5,2020.5,9460,-0.0034
2023-06-07,2044.5,2042,2038,2039,10690,0.0091
2023-06-06,2026,2032,2028,2029,10650,-0.001
2023-06-05,2028,2040,2028,2028.5,10080,-0.0017
2023-06-02,2031.5,2012,2005,2005,16620,0.0163
2023-06-01,1999,1992,1990,1991,26550,-0.0067
2023-05-31,2012.5,2032,2030,2030,19530,-0.025
2023-05-30,2064,2073,2071,2073,8500,-0.007
2023-05-26,2078.5,2066,2062,2063,11030,0.0022
2023-05-25,2074,2035,2031,2031.5,22610,0.0122
2023-05-24,2049,2062,2058,2058,13560,-0.0116
2023-05-23,2073,2075,2070,2070,13170,-0.0069
2023-05-22,2087.5,2085,2084,2085,9690,-0.0029
2023-05-19,2093.5,2090,2086,2086,16360,0.0185
2023-05-18,2055.5,2060,2054,2054,11660,0
2023-05-17,2055.5,2060,2059,2060,17210,0.0049
2023-05-16,2045.5,2075,2072,2074,19850,-0.013
2023-05-15,2072.5,2090,2076,2076,14740,-0.0017
2023-05-12,2076,2100,2094,2095,26240,-0.0149
2023-05-11,2107.5,2126,2125,2126,16040,-0.0136
2023-05-10,2136.5,2135,2137,2135,14890,-0.0002
2023-05-09,2137,2134,2122,2121,13440,0.0092
2023-05-05,2117.5,2120,2118,2118,11410,0.0076
2023-05-04,2101.5,2130,2130,2130,15570,-0.0138
2023-05-03,2131,2150,2146,2146.5,13310,-0.0191
2023-05-02,2172.5,2160,2157,2158,16450,0.0114
2023-04-28,2148,2135,2131,2131,13470,0.0231
2023-04-27,2099.5,2110,2105,2106,9350,-0.0026
2023-04-26,2105,2110,2107,2105.5,13720,-0.0007
2023-04-25,2106.5,2135,2134,2134.5,11710,-0.017
2023-04-24,2143,2133,2132,2133,10630,-0.0083
2023-04-21,2161,2165,2163,2165,13690,0.0037
2023-04-20,2153,2165,2162,2163,14230,-0.0014
2023-04-19,2156,2138,2136,2133,19850,0.0051
2023-04-18,2145,2135,2133,2133,12160,0.0151
2023-04-17,2113,2110,2108,2107,22150,-0.0263
2023-04-14,2170,2165,2163,2164,20610,0.0109
2023-04-13,2146.5,2140,2131,2131,19540,0.0082
2023-04-12,2129,2110,2106.5,2106.5,15300,0.0201
2023-04-11,2087,2100,2097.5,2098,13420,-0.0041
2023-04-06,2095.5,2120,2119.5,2120,12320,-0.0071
2023-04-05,2110.5,2120,2118,2120,9640,-0.0031
2023-04-04,2117,2119,2117,2119,9750,0.0007
2023-04-03,2115.5,2130,2124,2124,12480,0.004
2023-03-31,2107,2128,2128,2128,14040,-0.0147
2023-03-30,2138.5,2150,2146,2147,14100,0
2023-03-29,2138.5,2152,2151,2152,17180,0.0016
2023-03-28,2135,2140,2140,2140,12920,0.0009
2023-03-27,2133,2113,2111,2113,7220,0.0035
2023-03-24,2125.5,2117,2115,2116,8050,-0.0002
2023-03-23,2126,2134,2134,2134,12490,0.0047
2023-03-22,2116,2125,2122,2123,10370,0.0103
2023-03-21,2094.5,2110,2110,2110,20740,-0.0111
2023-03-20,2118,2096,2096,2096,13050,0.0136
2023-03-17,2089.5,2070,2068,2069,15660,0.0111
2023-03-16,2066.5,2070,2062,2062,12960,-0.0012
2023-03-15,2069,2090,2085,2084,15860,-0.0079
2023-03-14,2085.5,2100,2099,2100,10560,0.0017
2023-03-13,2082,2069,2068,2069,15320,0.0024
2023-03-10,2077,2075,2074,2074,10580,-0.0034
2023-03-09,2084,2082,2080.5,2081,5500,-0.0038
2023-03-08,2092,2093,2090,2090,7020,0.0022
2023-03-07,2087.5,2095,2091,2091,13420,-0.0165
2023-03-06,2122.5,2130,2122,2123,10590,0.0014
2023-03-03,2119.5,2140,2137,2138,11970,-0.0028
2023-03-02,2125.5,2115,2112,2110,11550,-0.0075
2023-03-01,2141.5,2135,2133,2135,13950,0.0178
2023-02-28,2104,2084,2081,2083,9670,-0.0036
2023-02-27,2111.5,2102,2101,2101,11320,0.0196
2023-02-24,2071,2068,2068,2068,0,0.0073
2023-02-23,2056,2095,2090,2090,15370,-0.0226
2023-02-22,2103.5,2147,2144,2144,13560,-0.0177
2023-02-21,2141.5,2165,2159,2160,15370,-0.006
2023-02-20,2154.5,2100,2095,2096,14130,0.0433
2023-02-17,2065,2060,2050,2044,17930,0.0175
2023-02-16,2029.5,2050,2045,2047,19200,-0.0112
2023-02-15,2052.5,2072,2067,2067,19200,-0.0203
2023-02-14,2095,2111,2109,2111,9140,-0.001
2023-02-13,2097,2100,2092,2092,10340,0.0089
2023-02-10,2078.5,2100,2095,2097,15210,-0.0223
2023-02-09,2126,2125,2125,2125,12820,0.0026
2023-02-08,2120.5,2120,2120,2118,12600,0.0107
2023-02-07,2098,2090,2081,2081,11190,-0.001
2023-02-06,2100,2120,2115,2114,10520,0.0002
2023-02-03,2099.5,2130,2126,2126,11600,-0.0157
2023-02-02,2133,2140,2139,2140,11570,-0.0026
2023-02-01,2138.5,2160,2153,2153,12140,0.0009
2023-01-31,2136.5,2150,2149,2150,10810,-0.0107
2023-01-30,2159.5,2170,2166,2168,9850,-0.0108
2023-01-27,2183,2200,2198.5,2198,10310,-0.0098
2023-01-26,2204.5,2195,2190,2188,13970,0.0204
2023-01-25,2160.5,2145,2145,2145,21280,0.0162
2023-01-24,2126,2075,2069,2068,13940,0.0345
2023-01-23,2055,2105,2104,2105,14270,-0.0163
2023-01-20,2089,2144,2144,2144,19580,-0.025
2023-01-19,2142.5,2159,2153,2153,23320,-0.0186
2023-01-18,2183,2210,2209,2209,15950,-0.0187
2023-01-17,2224.5,2230,2222,2222,10970,0.0029
2023-01-16,2218,2250,2246,2245,12780,-0.0147
2023-01-13,2251,2195,2193,2195,24060,0.0241
2023-01-12,2198,2142,2141,2142,26490,0.0027
2023-01-11,2192,2185,2182,2183,21380,-0.0036
2023-01-10,2200,2195,2193,2193,29590,-0.0229
2023-01-09,2251.5,2290,2285,2287,33100,0.0232
2023-01-06,2200.5,2196,2195,2196,16370,-0.0077
2023-01-05,2217.5,2250,2242,2243,19530,-0.0223
2023-01-04,2268,2270,2266,2265,15760,-0.0053
2023-01-03,2280,2268,2266,2268,17270,-0.0057
2022-12-30,2293,2285,2282,2281,13250,0.009
2022-12-29,2272.5,2270,2269,2270,13710,0.0246
2022-12-28,2218,2270,2266,2268,22020,-0.0244
2022-12-23,2273.5,2248,2236,2237,12530,0.0257
2022-12-22,2216.5,2236,2235,2236,15380,0.0018
2022-12-21,2212.5,2190,2186.5,2187,13070,0.0149
2022-12-20,2180,2170,2165,2167,8920,0.0093
2022-12-19,2160,2170,2167.5,2168.5,11820,0.004
2022-12-16,2151.5,2162,2160,2162,7720,-0.0007
2022-12-15,2153,2144,2142,2144,20980,-0.0128
2022-12-14,2181,2157,2152,2152,8890,-0.0111
2022-12-13,2205.5,2210,2208,2210,11170,0.0115
2022-12-12,2180.5,2195,2194,2195,10580,-0.0086
2022-12-09,2199.5,2222,2220,2220,7860,-0.0057
2022-12-08,2212,2220,2216,2218,6660,0
2022-12-07,2212,2225,2222,2224,8630,-0.0038
2022-12-06,2220.5,2228,2226,2228,10820,-0.008
2022-12-05,2238.5,2214,2212,2214,8340,0.0163
2022-12-02,2202.5,2187,2183,2185,9820,0.0133
2022-12-01,2173.5,2172,2169,2170,9910,-0.0089
2022-11-30,2193,2170,2169,2170,13480,0.0274
2022-11-29,2134.5,2142,2135,2137,6830,0.0099
2022-11-28,2113.5,2115,2115,2115,6760,-0.0017
2022-11-25,2117,2140,2138,2140,6690,-0.0061
2022-11-24,2130,2140,2139,2140,5400,0.0107
2022-11-23,2107.5,2100,2096,2096,6440,0.0067
2022-11-22,2093.5,2111,2113,2111,8910,-0.0036
2022-11-21,2101,2130,2125,2127,7730,-0.0246
2022-11-18,2154,2184,2183,2184,12790,0.0016
2022-11-17,2150.5,2160,2158,2160,12660,-0.0092
2022-11-16,2170.5,2205,2198,2200,18690,-0.0214
2022-11-15,2218,2220,2218,2219,18330,0.0128
2022-11-14,2190,2170,2168,2169,17620,0.0132
2022-11-11,2161.5,2175,2156,2156,25250,0.0303
2022-11-10,2098,2058,2057,2058,13040,0.0101
2022-11-09,2077,2052,2052,2052,21820,0.0112
2022-11-08,2054,2040,2034,2034,10610,0.0086
2022-11-07,2036.5,2010,2008,2010,15070,0.02
2022-11-04,1996.5,2020,2013,2015,13730,0.0005
2022-11-03,1995.5,1980,1978,1980,9540,0.0035
2022-11-02,1988.5,1965,1963,1965,9980,0.004
2022-11-01,1980.5,1995,1995,1995,11960,0.0038
2022-10-31,1973,1959,1957,1959,21390,-0.0068
2022-10-28,1986.5,1930,1929,1929,26550,0.0651
2022-10-27,1865,1880,1878,1879,9070,-0.013
2022-10-26,1889.5,1890,1888,1889,11350,0.0104
2022-10-25,1870,1880,1875,1875.5,9470,-0.0095
2022-10-24,1888,1915,1913,1915,10450,-0.0029
2022-10-21,1893.5,1910,1908,1910,16070,-0.0425
2022-10-20,1977.5,1956,1954,1956,12330,-0.0035
2022-10-19,1984.5,1975,1971,1971,11500,-0.0144
2022-10-18,2013.5,2018,2011,2011,18320,-0.0062
2022-10-17,2026,2040,2030,2031,14270,-0.0071
2022-10-14,2040.5,2025,2020,2021,8360,-0.0015
2022-10-13,2043.5,2027,2027,2023,11420,0.0064
2022-10-12,2030.5,2025,2024,2024,12080,0.0074
2022-10-11,2015.5,1990,1990,1990,13430,0.0131
2022-10-10,1989.5,2055,2051,2053,23440,-0.0391
2022-10-07,2070.5,2055,2048,2050,14580,0.0058
2022-10-06,2058.5,2035,2021,2021,23180,0.0108
2022-10-05,2036.5,1955,1945,1947,24790,0.0516
2022-10-04,1936.5,1878,1876,1876,15240,0.0403
2022-10-03,1861.5,1870,1868,1868,13050,-0.0244
2022-09-30,1908,1890,1886,1887,11920,0.0171
2022-09-29,1876,1867,1865,1867,16940,0.0215
2022-09-28,1836.5,1780,1775,1776,22600,0.0503
2022-09-27,1748.5,1770,1767,1767,12940,-0.0034
2022-09-26,1754.5,1790,1788,1790,17500,-0.0274
2022-09-23,1804,1825,1824.5,1825,12310,-0.0257
2022-09-22,1851.5,1890,1887,1889,11590,0.0079
2022-09-21,1837,1870,1869,1870,14320,-0.0231
2022-09-20,1880.5,1900,1897,1898,8480,-0.0021
2022-09-19,1884.5,1897,1893,1895,6630,-0.0024
2022-09-16,1889,1900,1899,1900,6630,-0.0143
2022-09-15,1916.5,1945,1940,1942,6210,-0.0234
2022-09-14,1962.5,1940,1935,1937,7920,0.0051
2022-09-13,1952.5,1965,1963,1965,10470,0.0018
2022-09-12,1949,1940,1933,1933,7470,0.0167
2022-09-09,1917,1925,1924,1924,8990,0.0079
2022-09-07,1902,1892,1890,1891,7880,0.0048
2022-09-06,1893,1897,1896.5,1897,9730,0.0093
2022-09-05,1875.5,1886,1885,1886,6050,-0.0069
2022-09-02,1888.5,1890,1885,1885,11700,-0.0066
2022-09-01,1901,1922,1916,1916,12300,-0.0251
2022-08-31,1950,1953,1948,1950,13580,-0.0189
2022-08-30,1987.5,1985,1980,1980,9000,0.001
2022-08-26,1985.5,1997,1996,1997,12620,0.0048
2022-08-25,1976,1999,1997,1999,10070,0.0015
2022-08-24,1973,1965,1959,1960,14270,-0.0015
2022-08-23,1976,2005,2005,2005,14190,-0.0186
2022-08-22,2013.5,2038,2038,2026,10250,-0.014
2022-08-19,2042,2069,2067,2069,9860,-0.0147
2022-08-18,2072.5,2140,2136,2136,9490,-0.0213
2022-08-17,2117.5,2154,2153,2154,7620,-0.0213
2022-08-16,2163.5,2194,2192,2194,15860,-0.0067
2022-08-15,2178,2164,2162,2164,10710,-0.0027
2022-08-12,2184,2169,2167,2169,8680,-0.0068
2022-08-11,2199,2185,2178.5,2178,11430,0.0117
2022-08-10,2173.5,2160,2159,2158.5,9200,0.0037
2022-08-09,2165.5,2165,2161,2163,14390,0.0012
2022-08-08,2163,2122,2120,2122,21420,0.0449
2022-08-05,2070,2074.5,2075,2074.5,10820,0.012
2022-08-04,2045.5,2019.5,2018.5,2019.5,7150,0.0101
2022-08-03,2025,2025,2024,2024.5,7560,-0.0122
2022-08-02,2050,2050,2043,2045,7680,-0.0019
2022-08-01,2054,2055,2059.5,2055,9940,0.0096
2022-07-29,2034.5,2022,2022,2022,10770,0.0188
2022-07-28,1997,2014,2005.5,2006,11300,-0.0079
2022-07-27,2013,2013,2014,2013,6860,-0.0049
2022-07-26,2023,2012,2009,2010,8260,0.0095
2022-07-25,2004,2020,2019.5,2015.5,4940,-0.0067
2022-07-22,2017.5,2001,1999,2001,6420,0.0027
2022-07-21,2012,1994,1992,1994,8770,-0.0101
2022-07-20,2032.5,2012,2010,2012,11130,0.0232
2022-07-19,1986.5,1970,1960,1961,13440,-0.006
2022-07-18,1998.5,1971,1968,1970,9840,0.028
2022-07-15,1944,1900,1897,1895,15930,0.0603
2022-07-14,1833.5,1875,1874,1873.5,21960,-0.0617
2022-07-13,1954,1950,1950,1950,9670,0.008
2022-07-12,1938.5,1930,1925,1925,9580,-0.0018
2022-07-11,1942,1925,1924,1924,7910,0.0128
2022-07-08,1917.5,1955,1955,1955,11390,-0.0271
2022-07-07,1971,2000,1999,2000,13400,0.001
2022-07-06,1969,1976,1975,1976,13640,0.0155
2022-07-05,1939,1940,1929,1929.5,10720,-0.0095
2022-07-04,1957.5,1940,1949,1940,7800,0.0119
2022-07-01,1934.5,1910.5,1910,1910.5,13190,0.0142
2022-06-30,1907.5,1920,1917,1918,15400,-0.0129
2022-06-29,1932.5,1963,1958,1960,14070,-0.0195
2022-06-28,1971,1995,1994.5,1994.5,8620,-0.0162
2022-06-27,2003.5,1988,1981,1982,13510,0.0462
2022-06-24,1915,1915,1900,1901,13120,-0.0167
2022-06-23,1947.5,1992,1990,1992,14730,-0.0361
2022-06-22,2020.5,2038,2037,2038,11310,-0.0218
2022-06-21,2065.5,2080,2074,2074,16520,-0.0015
2022-06-20,2068.5,2058,2058,2057,9510,0.0034
2022-06-17,2061.5,2085,2084,2083,10150,-0.0188
2022-06-16,2101,2082,2080,2082,8850,0.0116
2022-06-15,2077,2095,2093,2095,8380,0.0007
2022-06-14,2075.5,2094,2092,2094,9700,-0.0107
2022-06-13,2098,2110,2110,2107,8650,-0.0233
2022-06-10,2148,2164,2156,2155,6550,-0.0219
2022-06-09,2196,2205,2195,2195.5,8810,-0.0163
2022-06-08,2232.5,2240,2234,2234,11600,0.004
2022-06-07,2223.5,2185,2172,2172,10200,0.0041
2022-06-06,2214.5,2195,2188,2185,11750,0.021
2022-06-01,2169,2160,2149,2151,8180,-0.006
2022-05-31,2182,2180,2177,2178,7460,0.0032
2022-05-30,2175,2185,2184,2184.5,4760,0.0074
2022-05-27,2159,2110,2103,2105,7990,0.0148
2022-05-26,2127.5,2110,2109,2109.5,10020,0.0114
2022-05-25,2103.5,2140,2133,2134,9970,-0.03
2022-05-24,2168.5,2180,2172,2173,6330,-0.0107
2022-05-23,2192,2165,2163,2165,9360,0.0148
2022-05-20,2160,2145,2142,2142,14400,0.047
2022-05-19,2063,2050,2043,2045,9970,0.0044
2022-05-18,2054,2090,2088,2089,10900,-0.0226
2022-05-17,2101.5,2120,2119,2120,13400,0.0031
2022-05-16,2095,2106,2104,2106,8250,0.0175
2022-05-13,2059,2074,2073,2074,8890,-0.0158
2022-05-12,2092,2085,2078,2078,11900,-0.0123
2022-05-11,2118,2117,2115,2117,9840,0.0019
2022-05-10,2114,2123,2126,2123,14510,-0.0183
2022-05-09,2153.5,2140,2137.5,2138,16890,-0.0347
2022-05-06,2231,2241,2239,2241,11820,-0.0202
2022-05-05,2277,2307,2307,2307,8960,-0.002
2022-05-04,2281.5,2272,2270,2270,9070,0.0135
2022-05-03,2251,2262,2260,2262,11100,-0.0042
2022-04-29,2260.5,2280,2278.5,2274,10010,0.0024
2022-04-28,2255,2280,2277,2277,11600,-0.0116
2022-04-27,2281.5,2320,2316,2318,13610,-0.0166
2022-04-26,2320,2360,2354,2356,9660,-0.003
2022-04-25,2327,2365,2363,2365,8810,-0.0257
2022-04-22,2388.5,2400,2399,2400,4130,-0.0054
2022-04-21,2401.5,2414,2412,2414,5100,-0.0093
2022-04-20,2424,2420,2419.5,2420,10560,-0.0096
2022-04-19,2447.5,2440,2425,2425,10430,0.0051
2022-04-14,2435,2445,2443,2443,9150,0.001
2022-04-13,2432.5,2430,2428,2430,10400,0.0159
2022-04-12,2394.5,2405,2400,2401,7570,0.0052
2022-04-11,2382,2412,2410,2411,7100,-0.0052
2022-04-08,2394.5,2425,2420,2422,5680,0.0042
2022-04-07,2384.5,2415,2412,2414,6860,-0.012
2022-04-06,2413.5,2402,2400,2400,6100,-0.006
2022-04-05,2428,2415,2406,2408,5900,0.0062
2022-04-04,2413,2426,2425,2426,7340,-0.0149
2022-04-01,2449.5,2440,2435,2437,9610,0.0139
2022-03-31,2416,2432,2426,2426,9300,-0.0006
2022-03-30,2417.5,2398,2392,2394,6860,0.016
2022-03-29,2379.5,2385,2382,2382,6540,0.0044
2022-03-28,2369,2355,2354,2355,8350,0.0079
2022-03-25,2350.5,2340,2341,2340,5400,0.0182
2022-03-24,2308.5,2350,2343.5,2344,12000,-0.0259
2022-03-23,2370,2335,2325,2324,11260,0.0415
2022-03-22,2275.5,2280,2278,2280,8980,0.0078
2022-03-21,2258,2261,2260,2261,8590,0.0024
2022-03-18,2252.5,2269,2267,2269,9310,0.0007
2022-03-17,2251,2240,2252,2240,9250,-0.0002
2022-03-16,2251.5,2260,2264.5,2260,11870,0.0042
2022-03-15,2242,2250,2245,2246,14700,-0.0115
2022-03-14,2268,2290,2288,2290,12840,-0.0247
2022-03-11,2325.5,2373,2371,2373,7900,-0.0129
2022-03-10,2356,2412,2406,2408,11260,-0.0206
2022-03-09,2405.5,2444,2442,2444,13650,-0.0366
2022-03-08,2497,2535,2533,2535,22140,0.0198
2022-03-07,2448.5,2515,2514,2515,19540,-0.0043
2022-03-04,2459,2442,2441.5,2442,16490,0.0212
2022-03-03,2408,2424,2422,2424,12620,0.0031
2022-03-02,2400.5,2434,2433,2434,16070,-0.0035
2022-03-01,2409,2408,2406,2408,13110,0.0092
2022-02-28,2387,2395,2392,2393,15280,0.0078
2022-02-25,2368.5,2363,2357,2358,12470,0.0107
2022-02-24,2343.5,2370,2364,2366,14860,0.0034
2022-02-23,2335.5,2345,2341,2341,7110,-0.0026
2022-02-22,2341.5,2326,2324.5,2325.5,7870,0.0032
2022-02-21,2334,2340,2336,2338,10230,-0.0062
2022-02-18,2348.5,2350,2344,2345,12880,0.0011
2022-02-17,2346,2341,2339,2341,13170,0.0034
2022-02-16,2338,2329,2327,2329,12580,0.0128
2022-02-15,2308.5,2298,2296,2298,16470,0.0092
2022-02-14,2287.5,2282,2281,2282,10560,0.0037
2022-02-11,2279,2280,2278,2280,10190,0
2022-02-10,2279,2285,2283,2285,14290,0.0158
2022-02-09,2243.5,2223,2222,2223,11250,0.0175
2022-02-08,2205,2192,2190,2192,12320,0.0043
2022-02-07,2195.5,2195,2193,2193,14610,0.0037
2022-02-04,2187.5,2220,2219,2219,14480,-0.0018
2022-02-03,2191.5,2218,2218,2218,14900,-0.0221
2022-02-02,2241,2241,2240,2241,13760,0.0029
2022-02-01,2234.5,2245,2240,2241,8420,-0.0045
2022-01-31,2244.5,2275,2273,2275,15510,-0.0091
2022-01-28,2265,2290,2283,2285,12560,-0.0205
2022-01-27,2312.5,2328,2325,2325,9780,-0.0041
2022-01-26,2322,2347,2345,2347,7860,-0.0054
2022-01-25,2334.5,2350,2348,2350,8720,-0.01
2022-01-24,2358,2360,2358,2360,7740,-0.0055
2022-01-21,2371,2383,2381,2383,7700,0.0092
2022-01-20,2349.5,2365,2365,2365,11780,-0.0057
2022-01-19,2363,2350,2345,2346,8160,0.0172
2022-01-18,2323,2358,2352,2354,10190,-0.0142
2022-01-17,2356.5,2360,2355,2353,5400,0.0004
2022-01-14,2355.5,2373,2371,2369,10450,-0.0011
2022-01-13,2358,2350,2348,2350,13060,0.0051
2022-01-12,2346,2330,2326,2327,15490,0.02
2022-01-11,2300,2290,2290,2290,7640,0.0099
2022-01-10,2277.5,2289,2287,2289,330,-0.0002
2022-01-07,2278,2320,2310,2310,12300,-0.0126
2022-01-06,2307,2290,2280,2281,10490,0.0085
2022-01-05,2287.5,2315,2307,2309,10600,-0.0046
2022-01-04,2298,2295,2294.5,2295,8950,-0.0026
2021-12-31,2304,2289,2287,2289,4610,0.003
2021-12-30,2297,2285,2283,2285,4610,0.0046
2021-12-29,2286.5,2270,2268,2265.5,6750,0.0037
2021-12-24,2278,2278,2271,2273,1970,0.0024
2021-12-23,2272.5,2300,2295,2290,8800,-0.0203
2021-12-22,2319.5,2309,2305,2305.5,7070,0.0105
2021-12-21,2295.5,2306,2304,2295,6850,0.0009
2021-12-20,2293.5,2310,2305,2307,8140,-0.0061
2021-12-17,2307.5,2315,2312,2312.5,10470,-0.0002
2021-12-16,2308,2322,2320,2318,17240,0.0105
2021-12-15,2284,2279,2277,2279,7260,-0.0002
2021-12-14,2284.5,2307,2305,2306,8340,-0.0059
2021-12-13,2298,2310,2309.5,2310,7000,0.0061
2021-12-10,2284,2265,2265,2265,10810,-0.0002
2021-12-09,2284.5,2285,2282,2282,12250,0.0002
2021-12-08,2284,2230,2225,2225.5,20330,0.0448
2021-12-07,2186,2220,2214,2214.5,11330,-0.0046
2021-12-06,2196,2225,2216,2217,8140,-0.0066
2021-12-03,2210.5,2235,2230,2232,15300,-0.0204
2021-12-02,2256.5,2295,2290,2290,9230,-0.0196
2021-12-01,2301.5,2295,2287,2288,7920,0.0114
2021-11-30,2275.5,2304,2302,2303,11570,0.0022
2021-11-29,2270.5,2315,2313,2315,13880,0.0007
2021-11-26,2269,2255,2258.5,2255,10400,-0.0007
2021-11-25,2270.5,2280,2278,2280,5000,0.0031
2021-11-24,2263.5,2269,2267,2269,8940,0.0047
2021-11-23,2253,2255.5,2255,2255.5,7000,-0.0029
2021-11-22,2259.5,2229,2228,2229,13950,0.0199
2021-11-19,2215.5,2225,2221,2221,12030,0.0002
2021-11-18,2215,2239,2238,2239,11970,-0.0173
2021-11-17,2254,2282,2280,2282,11860,-0.023
2021-11-16,2307,2325,2323,2325,12420,-0.0084
2021-11-15,2326.5,2356,2355,2356,6300,-0.0144
2021-11-12,2360.5,2355,2353,2354,7470,-0.0023
2021-11-11,2366,2365,2354.5,2355.5,9760,0.0118
2021-11-10,2338.5,2325,2323,2325,7440,-0.0004
2021-11-09,2339.5,2372,2370,2372,6700,-0.0108
2021-11-08,2365,2360,2355,2355.5,6920,0.0057
2021-11-05,2351.5,2361,2360.5,2361,4640,0.0015
2021-11-04,2348,2380,2376,2378,9860,-0.0112
2021-11-03,2374.5,2390,2388,2390,8180,0.0049
2021-11-02,2363,2385,2383,2385,9060,-0.0067
2021-11-01,2379,2390,2388,2388.5,8680,-0.0021
2021-10-29,2384,2407,2401,2401,14100,-0.0157
2021-10-28,2422,2404,2402,2404,9510,0.0157
2021-10-27,2384.5,2390,2380.5,2381,16560,-0.0157
2021-10-26,2422.5,2430,2421,2423,10080,-0.0066
2021-10-25,2438.5,2440,2434,2435,11610,0.0064
2021-10-22,2423,2403,2395,2395,12170,0.0096
2021-10-21,2400,2382,2378,2380,15010,-0.0072
2021-10-20,2417.5,2360,2358,2358,13070,0.0175
2021-10-19,2376,2390,2386,2388,22290,-0.0008
2021-10-18,2378,2373,2371,2373,18170,0.0173
2021-10-15,2337.5,2342,2338,2340,18150,0.0163
2021-10-14,2300,2265,2261,2260,14740,0.0243
2021-10-13,2245.5,2245,2244,2245,13100,0.0154
2021-10-12,2211.5,2237,2237,2237,12260,-0.0072
2021-10-11,2227.5,2237,2235,2237,10210,0.0029
2021-10-08,2221,2205,2196,2198,10050,0.0219
2021-10-07,2173.5,2160,2153,2154,7590,0.0105
2021-10-06,2151,2154,2146,2147,5940,-0.0005
2021-10-05,2152,2155,2152,2154,4750,0.0019
2021-10-04,2148,2157,2153,2153,8160,0.0035
2021-10-01,2140.5,2127,2128,2126,9940,0.0229
2021-09-30,2092.5,2087,2087,2078,16970,-0.0222
2021-09-29,2140,2158,2160,2158,7540,-0.0134
2021-09-28,2169,2184,2184,2184,11200,0.003
2021-09-27,2162.5,2162,2164,2162,9560,0.0042
2021-09-24,2153.5,2142,2140,2142,12110,0.0156
2021-09-23,2120.5,2129,2128,2128.5,26920,0.0033
2021-09-22,2113.5,2123,2122,2123,14460,-0.0096
2021-09-21,2134,2170,2168,2170,11050,-0.0102
2021-09-20,2156,2167,2166,2167,12800,-0.0115
2021-09-17,2181,2217,2217,2206,12610,-0.0125
2021-09-16,2208.5,2248,2247,2248,10770,-0.0119
2021-09-15,2235,2225,2225,2225,22920,-0.0165
2021-09-14,2272.5,2267,2265,2267,8260,-0.0089
2021-09-13,2293,2285,2285,2280,9410,-0.0108
2021-09-10,2318,2325,2323,2325,11800,0.0085
2021-09-09,2298.5,2280,2278,2280,12260,0.0088
2021-09-08,2278.5,2286,2284,2280,10670,0.002
2021-09-07,2274,2285,2273.5,2274.5,9640,-0.0004
2021-09-06,2275,2270,2272.5,2270,7760,-0.0154
2021-09-03,2310.5,2314.5,2314.75,2286.25,7860,-0.0009
2021-09-02,2312.5,2275,2314.5,2271.5,13920,0.0172
2021-09-01,2273.5,2259.25,2285.25,2256.5,12420,0.0078
2021-08-31,2256,2291,2295.25,2249.5,14850,-0.0172
2021-08-27,2295.5,2290.75,2310.75,2283.75,7060,0.0013
2021-08-26,2292.5,2313.5,2324.25,2268.25,10040,-0.011
2021-08-25,2318,2290,2329.25,2284,10710,0.0107
2021-08-24,2293.5,2287,2299.25,2270.25,7400,0.0037
2021-08-23,2285,2256.75,2297.75,2256.75,9210,0.0151
2021-08-20,2251,2254.25,2280.25,2250.25,7930,-0.004
2021-08-19,2260,2296,2311.75,2241.75,16890,-0.0129
2021-08-18,2289.5,2288.5,2310.75,2281.5,9070,-0.0144
2021-08-17,2323,2315.75,2328.5,2292,19540,0.005
2021-08-16,2311.5,2327.25,2329.25,2298.75,8360,-0.0096
2021-08-13,2334,2310,2339.5,2304.5,7820,0.0117
2021-08-12,2307,2314.75,2341.75,2300.5,8280,-0.005
2021-08-11,2318.5,2298.5,2323,2283.75,7310,0.0131
2021-08-10,2288.5,2264.75,2302.5,2263.75,10140,0.0133
2021-08-09,2258.5,2277.25,2292.5,2251.25,14600,-0.007
2021-08-06,2274.5,2346.25,2359.75,2270,19620,-0.037
2021-08-05,2362,2374.75,2389.25,2343.5,9580,-0.0076
2021-08-04,2380,2391.5,2402,2370.75,10400,-0.0075
2021-08-03,2398,2398.25,2403.5,2366,14340,-0.0017
2021-08-02,2402,2383.25,2412.25,2378.5,15360,0.0084
2021-07-30,2382,2373.75,2394.5,2351,13850,0.007
