Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,23034,23300,23240,23225,,0.0018
2023-06-15,22993,22850,22900,22850,10090,0.012
2023-06-14,22720,22300,22300,22300,10810,0.035
2023-06-13,21952,21400,21300,21350,10450,0.0577
2023-06-12,20755,21250,21250,21250,7590,-0.0196
2023-06-09,21170,21600,21540,21550,6030,0.0018
2023-06-08,21132,21350,21250,21300,6990,-0.0133
2023-06-07,21417,21200,21150,21110,7650,0.0214
2023-06-06,20968,21200,21125,21175,5680,0.0033
2023-06-05,20898,20800,20700,20705,5650,-0.0148
2023-06-02,21211,21600,21565,21585,7850,-0.005
2023-06-01,21318,21100,20900,20950,9910,0.0355
2023-05-31,20588,20580,20500,20540,11760,-0.0209
2023-05-30,21027,21500,21495,21500,7930,-0.0064
2023-05-26,21162,21700,21595,21595,6770,-0.0031
2023-05-25,21228,21400,21390,21395,10960,0.0239
2023-05-24,20732,21050,21100,21050,8950,-0.015
2023-05-23,21047,21050,20975,20985,8860,-0.0171
2023-05-22,21413,21480,21400,21425,6070,0.0063
2023-05-19,21278,21750,21675,21685,7970,0.0164
2023-05-18,20934,21390,21310,21350,6870,-0.0187
2023-05-17,21334,21500,21400,21400,8340,0.01
2023-05-16,21122,21550,21545,21550,13060,-0.0231
2023-05-15,21622,22400,22150,22200,8770,-0.0268
2023-05-12,22217,22450,22300,22280,7600,0.0201
2023-05-11,21780,22350,22250,22250,11450,-0.0333
2023-05-10,22531,23050,23025,23050,12660,-0.0415
2023-05-09,23507,24050,24000,24050,8290,-0.0417
2023-05-05,24531,23850,23800,23850,5300,0.0223
2023-05-04,23997,25200,25150,25050,7430,-0.0301
2023-05-03,24743,25100,25095,25075,6160,-0.0089
2023-05-02,24965,24350,24290,24295,6310,0.0308
2023-04-28,24219,24100,24025,24050,6550,0.005
2023-04-27,24099,23790,23780,23790,6260,0.0192
2023-04-26,23646,23700,23635,23675,7260,0.0131
2023-04-25,23341,24000,24000,24000,8410,-0.0505
2023-04-24,24582,24200,24150,24200,6520,0.0043
2023-04-21,24477,24500,24490,24495,6960,-0.0233
2023-04-20,25061,25750,25725,25750,7040,-0.0192
2023-04-19,25551,24700,24650,24700,13910,-0.0032
2023-04-18,25633,25150,25150,25150,9640,0.0377
2023-04-17,24701,24700,24500,24500,8630,0.0236
2023-04-14,24132,24450,24300,24305,10120,0.0183
2023-04-13,23698,23550,23450,23500,3840,0.005
2023-04-12,23579,23250,23180,23180,4960,0.0046
2023-04-11,23472,23250,23195,23200,5900,0.0295
2023-04-06,22800,22750,22660,22610,6400,0.0041
2023-04-05,22706,23100,23050,23100,5230,-0.0181
2023-04-04,23124,23400,23260,23300,4400,-0.0106
2023-04-03,23372,23950,23840,23890,6980,-0.0195
2023-03-31,23838,23400,23300,23300,6960,0.0275
2023-03-30,23199,23450,23360,23360,5120,-0.0229
2023-03-29,23743,24500,24400,24450,6320,-0.0137
2023-03-28,24074,23900,23875,23885,8020,0.0097
2023-03-27,23843,23900,24100,23900,9160,0.016
2023-03-24,23468,23100,23095,23100,6340,0.0422
2023-03-23,22517,22350,22300,22100,5900,0.0025
2023-03-22,22461,22800,22700,22725,5790,-0.0024
2023-03-21,22514,22800,22725,22750,8740,-0.0124
2023-03-20,22797,23100,22950,22900,5890,-0.0243
2023-03-17,23364,23550,23545,23550,5450,0.0055
2023-03-16,23236,22900,22870,22865,9590,0.0101
2023-03-15,23003,23100,22950,22960,8070,-0.0016
2023-03-14,23040,23600,23575,23600,5780,-0.0036
2023-03-13,23123,22950,22925,22950,7510,0.0194
2023-03-10,22684,22990,22900,22950,8810,-0.0251
2023-03-09,23269,23470,23425,23450,5860,-0.0294
2023-03-08,23974,23750,23650,23675,5370,-0.0071
2023-03-07,24145,24250,24075,24100,6680,-0.0117
2023-03-06,24430,24640,24600,24640,5530,-0.0068
2023-03-03,24597,24690,24625,24650,7400,0.0083
2023-03-02,24395,24450,24330,24380,4790,-0.0199
2023-03-01,24890,25300,25250,25225,5190,0.0039
2023-02-28,24794,25150,25100,25100,8860,-0.0279
2023-02-27,25505,24900,24850,24900,5810,0.0387
2023-02-24,24554,25200,25200,25200,,-0.0328
2023-02-23,25387,25800,25800,25800,6260,-0.0395
2023-02-22,26431,26500,26450,26500,3040,-0.0249
2023-02-21,27105,27000,26930,26940,2760,0.0064
2023-02-20,26932,26400,26350,26400,3810,0.0442
2023-02-17,25793,25900,25800,25805,5430,-0.0263
2023-02-16,26489,26100,25950,26000,4200,0.0132
2023-02-15,26143,26200,26055,26060,4580,-0.0119
2023-02-14,26459,26800,26850,26800,4760,-0.0063
2023-02-13,26627,27200,27000,27000,6650,-0.042
2023-02-10,27794,28100,28050,28050,4950,-0.0463
2023-02-09,29142,27350,27275,27300,5090,0.064
2023-02-08,27390,27600,27500,27550,3740,0.0052
2023-02-07,27248,27150,27100,27105,6430,-0.0004
2023-02-06,27258,27950,27700,27600,5810,-0.0473
2023-02-03,28612,29400,29390,29400,4100,-0.0395
2023-02-02,29790,29000,28950,29000,5220,0.0169
2023-02-01,29296,30500,30300,30350,5960,-0.0345
2023-01-31,30344,29700,29650,29670,4600,0.0385
2023-01-30,29219,29845,29840,29845,4930,0.011
2023-01-27,28902,29550,29500,29550,2450,-0.0178
2023-01-26,29427,29100,29050,29075,2180,0.0084
2023-01-25,29182,29150,29100,29050,3000,0.0139
2023-01-24,28782,28590,28500,28525,3940,0.0239
2023-01-23,28110,28000,27950,27950,3140,-0.023
2023-01-20,28771,29000,28800,28825,2680,-0.0196
2023-01-19,29346,28380,28380,28380,10030,0.0539
2023-01-18,27844,27800,27750,27800,5200,0.0432
2023-01-17,26690,27000,26900,26950,3910,-0.0194
2023-01-16,27217,27350,27150,27155,3720,0.0157
2023-01-13,26795,27400,27350,27400,6560,-0.0081
2023-01-12,27013,26750,26700,26750,8690,-0.001
2023-01-11,27039,27900,27850,27880,8940,-0.0155
2023-01-10,27466,28000,27900,27950,7280,0.0012
2023-01-09,27434,27750,27700,27750,10490,-0.023
2023-01-06,28079,27800,27625,27650,9300,0.0119
2023-01-05,27748,29000,28850,28850,7440,-0.0679
2023-01-04,29768,29950,29950,29950,6070,-0.0434
2023-01-03,31118,31500,31300,31350,5360,0.0356
2022-12-30,30048,30700,30500,30550,3350,-0.007
2022-12-29,30259,30300,30030,30050,3290,-0.0057
2022-12-28,30431,31000,30900,30900,3750,0.0299
2022-12-23,29547,29800,29450,29500,3760,0.0105
2022-12-22,29240,28750,28700,28750,3650,-0.0119
2022-12-21,29591,28450,28250,28275,4090,0.0444
2022-12-20,28334,28800,28575,28625,4310,0.0411
2022-12-19,27215,27800,27750,27775,3720,-0.0374
2022-12-16,28273,29250,29075,29100,3360,-0.0013
2022-12-15,28311,28850,28800,28850,7240,-0.0019
2022-12-14,28365,28300,28195,28200,4800,0.0028
2022-12-13,28287,29200,29100,29150,5190,-0.0417
2022-12-12,29518,29475,29450,29475,3630,0.0029
2022-12-09,29433,30050,30000,30050,3650,-0.0098
2022-12-08,29725,31850,31500,31300,6470,-0.0546
2022-12-07,31441,28925,28900,28925,6910,0.0741
2022-12-06,29271,28500,28300,28350,4940,0.0206
2022-12-05,28680,28610,28600,28605,3930,-0.0063
2022-12-02,28862,27500,27400,27425,5450,0.0457
2022-12-01,27601,27050,27050,26950,5360,0.0228
2022-11-30,26987,26800,26500,26505,5970,0.0047
2022-11-29,26861,26450,26300,26350,4540,0.0477
2022-11-28,25639,25500,25300,25350,2560,0.0088
2022-11-25,25416,26000,25700,25750,2260,-0.0262
2022-11-24,26100,26700,26375,26400,1440,-0.0073
2022-11-23,26293,25950,25900,25925,2490,0.0104
2022-11-22,26022,25800,25650,25675,4330,0.0416
2022-11-21,24983,24700,24650,24625,3900,-0.0158
2022-11-18,25385,25050,25000,25050,6670,0.0128
2022-11-17,25064,26350,26250,26200,5840,-0.0896
2022-11-16,27532,28700,28695,28700,6840,-0.09
2022-11-15,30254,29800,29690,29700,11780,0.049
2022-11-14,28840,27300,27200,27210,9540,0.0711
2022-11-11,26925,26200,26050,26100,9910,0.0376
2022-11-10,25949,24700,24525,24550,8320,0.0511
2022-11-09,24688,24250,24155,24160,6760,0.0282
2022-11-08,24012,23600,23525,23530,5120,0.0264
2022-11-07,23395,23150,23100,23150,5640,-0.0175
2022-11-04,23811,24000,23900,23875,6600,0.0442
2022-11-03,22803,23300,23290,23295,6240,-0.0556
2022-11-02,24145,23600,23550,23500,12660,0.0231
2022-11-01,23600,22950,22800,22800,9980,0.0821
2022-10-31,21809,21850,21810,21850,7170,-0.0147
2022-10-28,22134,22400,22350,22400,5740,-0.0112
2022-10-27,22384,22400,22375,22375,5640,-0.0126
2022-10-26,22670,22450,22450,22450,4890,0.0156
2022-10-25,22322,22150,22100,22075,2790,0.0033
2022-10-24,22248,22300,22300,22300,3030,0.0136
2022-10-21,21949,21700,21625,21625,5980,-0.0111
2022-10-20,22196,22050,21950,21975,4160,0.0114
2022-10-19,21945,21850,21775,21785,4870,0.0032
2022-10-18,21876,21700,21600,21600,9460,0.0156
2022-10-17,21541,21740,21700,21710,5090,-0.0108
2022-10-14,21777,22150,22050,22100,4240,-0.029
2022-10-13,22427,22200,22050,22100,6230,0.0061
2022-10-12,22292,21850,21775,21785,5210,0.0096
2022-10-11,22079,22500,22350,22360,3700,-0.0149
2022-10-10,22412,22450,22250,22255,3300,-0.0033
2022-10-07,22487,22700,22450,22500,2330,-0.0129
2022-10-06,22782,22400,22395,22400,4560,0.0086
2022-10-05,22588,22400,22200,22250,4120,0.0242
2022-10-04,22055,21480,21365,21385,5040,0.0375
2022-10-03,21258,21750,21575,21600,6260,0.0072
2022-09-30,21107,22350,22300,22300,5850,-0.0555
2022-09-29,22348,22900,22700,22705,8040,0.0249
2022-09-28,21805,21400,21250,21255,8310,-0.0024
2022-09-27,21858,22100,22000,22000,8930,-0.0157
2022-09-26,22206,22400,22315,22325,8230,-0.0515
2022-09-23,23411,23350,23250,23250,4580,-0.0469
2022-09-22,24562,24800,24555,24560,5070,-0.0155
2022-09-21,24949,25000,24900,24900,11900,-0.0006
2022-09-20,24964,24850,24800,24825,3920,0.015
2022-09-19,24594,24800,24790,24800,6170,0.0142
2022-09-16,24249,23600,23400,23405,6170,0.0485
2022-09-15,23127,23400,23365,23400,6270,-0.045
2022-09-14,24217,23760,23755,23760,7040,-0.0026
2022-09-13,24281,24800,24700,24750,12220,-0.012
2022-09-12,24577,23500,23290,23320,8900,0.0688
2022-09-09,22994,22500,22250,22300,6780,0.0513
2022-09-08,21871,21718.5,21887.5,21290.5,,0.0135
2022-09-07,21580,21550,21425,21450,4930,0.0003
2022-09-06,21574,21450,21400,21450,4770,0.0054
2022-09-05,21458,21150,21075,21080,6180,0.0453
2022-09-02,20529,20300,20150,20155,4770,0.0107
2022-09-01,20311,20580,20575,20580,7370,-0.0514
2022-08-31,21411,21450,21310,21320,5750,0.002
2022-08-30,21369,21500,21425,21400,8670,-0.0122
2022-08-26,21633,21700,21550,21550,4060,-0.002
2022-08-25,21677,21500,21360,21400,7810,0.0151
2022-08-24,21354,21600,21500,21550,5300,-0.018
2022-08-23,21745,21855,21850,21855,4410,-0.0268
2022-08-22,22343,22100,21905,21910,4320,0.0038
2022-08-19,22258,21800,21640,21650,3690,0.0219
2022-08-18,21780,21855,21850,21855,4850,-0.0048
2022-08-17,21885,22250,22050,22075,3260,-0.0157
2022-08-16,22235,22550,22515,22525,5940,0.0101
2022-08-15,22013,22060,21850,21900,4050,-0.0444
2022-08-12,23036,23500,23450,23500,3760,-0.0263
2022-08-11,23659,23350,23200,23225,4120,0.052
2022-08-10,22490,21550,21400,21425,4970,0.0431
2022-08-09,21561,21500,21450,21450,4310,-0.0057
2022-08-08,21685,21900,21800,21800,4680,-0.0239
2022-08-05,22216,22300,22210,22210,5690,0.0003
2022-08-04,22210,22250,22050,22100,4060,-0.0055
2022-08-03,22332,22200,22010,22050,4540,-0.0071
2022-08-02,22492,22900,22850,22850,6240,-0.0459
2022-08-01,23575,24350,24100,24150,9900,-0.0019
2022-07-29,23619,22150,22000,22025,10950,0.0768
2022-07-28,21935,21650,21505,21510,6800,0.0108
2022-07-27,21700,21732.5,22023,21343.5,,0.0013
2022-07-26,21672,22686.5,22784.5,21477.5,,-0.0195
2022-07-25,22102,21599.5,22634.5,21416.5,,-0.0121
2022-07-22,22373.5,21646.5,22387,21511,,0.0352
2022-07-21,21613,21261.5,21619.5,20561.5,,0.0227
2022-07-20,21133.5,21264,21711,20990.5,,0.0214
2022-07-19,20690,20149.5,21446.5,20030.5,,0.0056
2022-07-18,20575,19871.5,20883,19524.5,,0.039
2022-07-15,19802,18354,19848,18256,,0.0307
2022-07-14,19212,20546,20620,19197,,-0.0863
2022-07-13,21026.5,21814.5,21837.5,20830,,-0.0144
2022-07-12,21334,21590,21760.5,21329.5,,-0.025
2022-07-11,21880,21301.5,21896.5,21080.5,,0.0139
2022-07-08,21581,21300,21100,21200,,0.0021
2022-07-07,21535,22200,22100,22100,8220,-0.0144
2022-07-06,21849,22450,22200,22250,5920,-0.0354
2022-07-05,22652,22100,22050,21950,7300,0.0068
2022-07-04,22499,22850,22700,22750,3640,0.0309
2022-07-01,21824,21750,21750,21700,8200,-0.0385
2022-06-30,22698,23020,23020,23020,8380,-0.0452
2022-06-29,23773,24950,24700,24700,11560,0.0266
2022-06-28,23158,24000,23925,23935,4070,0.0121
2022-06-27,22882,23450,23445,23450,6500,0.0215
2022-06-24,22400,22850,22825,22850,10210,-0.0681
2022-06-23,24038,24250,24250,24250,12050,-0.0168
2022-06-22,24449,25100,24950,24955,14730,-0.0578
2022-06-21,25949,25650,25550,25550,10430,0.0082
2022-06-20,25738,25400,25500,25400,3230,0.0027
2022-06-17,25669,25550,25400,25450,4510,0.0162
2022-06-16,25259,25625,25600,25625,5650,-0.0231
2022-06-15,25857,25900,25650,25700,6820,0.0237
2022-06-14,25259,25535,25500,25535,9850,-0.0258
2022-06-13,25929,26400,26500,26400,16480,-0.049
2022-06-10,27264,27600,27500,27500,4350,-0.0271
2022-06-09,28023,28145,28140,28145,5730,-0.0288
2022-06-08,28855,29150,29100,29150,4020,-0.0212
2022-06-07,29481,29100,29075,29100,3970,-0.0074
2022-06-06,29701,29450,29425,29450,4700,0.0563
2022-06-01,28119,27800,27750,27800,5300,-0.0096
2022-05-31,28392,29000,28750,28800,5800,-0.0303
2022-05-30,29279,30280,30150,30000,4230,0.0352
2022-05-27,28284,28200,28150,28200,4980,0.0399
2022-05-26,27198,27500,27400,27450,2730,0.0153
2022-05-25,26788,26800,26800,26800,4110,0.009
2022-05-24,26550,26300,26245,26250,4380,-0.0426
2022-05-23,27732,26750,26700,26750,4180,-0.0086
2022-05-20,27973,27900,27875,27900,5210,-0.0091
2022-05-19,28231,26200,26190,26195,6820,0.0792
2022-05-18,26159,26320,26300,26320,10960,-0.0094
2022-05-17,26406,26200,26250,26200,11460,-0.0054
2022-05-16,26549,26200,26125,26130,7430,-0.0262
2022-05-13,27262,27600,27475,27475,6570,-0.0197
2022-05-12,27810,27750,27600,27625,14160,0.0001
2022-05-11,27806,27900,27875,27900,6940,-0.0214
2022-05-10,28414,27910,27900,27910,7390,0.0081
2022-05-09,28185,28350,28300,28350,8080,-0.0629
2022-05-06,30076,30075,30030,30030,16410,-0.0013
2022-05-05,30114,30350,30275,30300,6710,-0.0171
2022-05-04,30638,30600,30425,30450,7010,-0.0109
2022-05-03,30975,31025,31000,31025,8200,-0.0251
2022-04-29,31771,32600,32500,32525,4240,-0.0366
2022-04-28,32977,33300,33275,33300,2980,-0.0097
2022-04-27,33300,33250,33200,33200,2800,0.0068
2022-04-26,33076,32750,32700,32650,3290,0.0135
2022-04-25,32636,32650,32500,32505,3690,-0.0142
2022-04-22,33107,34000,33900,33925,,-0.0237
2022-04-21,33911,33850,33800,33800,2770,0.0121
2022-04-20,33505,33800,33750,33750,4710,-0.0078
2022-04-19,33768,33850,33725,33725,5700,0.0179
2022-04-14,33175,33250,33200,33200,3220,0.0059
2022-04-13,32981,32900,32925,32900,3880,0.0152
2022-04-12,32488,33600,32400,32450,5850,0.0002
2022-04-11,32483,32900,32800,32850,4390,-0.0405
2022-04-08,33855,34100,33950,34000,4520,0.0047
2022-04-07,33698,33475,33425,33475,4830,0.0069
2022-04-06,33467,33540,33470,33520,5900,0.0047
2022-04-05,33312,33900,33725,33775,4240,0.002
2022-04-04,33245,33700,33550,33600,3850,0.0007
2022-04-01,33223,32650,32700,32650,5290,0.0348
2022-03-31,32107,33500,33300,33350,6230,-0.0239
2022-03-30,32893,32900,32645,32650,4320,0.0343
2022-03-29,31803,32900,32650,32700,9050,-0.0282
2022-03-28,32725,34000,34040,34000,4920,-0.0779
2022-03-25,35491,36000,35950,36000,12940,-0.0421
2022-03-24,37049.5,35964.5,37234.5,35964.5,,0.1442
2022-03-23,32380,32380,32380,32380,12120,0.1499
2022-03-22,28159,28375,29900,28375,53700,-0.1084
2022-03-21,31582.5,31379.5,31582.5,31379.5,,-0.1444
2022-03-18,36914.5,36864.5,36914.5,36864.5,,-0.1199
2022-03-17,41944.5,41944.5,41944.5,41944.5,,-0.08
2022-03-16,45590,45590,45589.5,41979.5,1000,-0.0509
2022-03-10,48033,48033,48033,48033,,-0.0003
2022-03-09,48048,50271.5,50271.5,50271.5,,-0.4072
2022-03-08,81051.5,81066.5,86791.5,81031.5,,0.6858
2022-03-07,48078,42200,42100,42200,74250,0.6625
2022-03-04,28919,28600,28650,28600,36070,0.0752
2022-03-03,26897,27980,27970,27980,32400,0.0393
2022-03-02,25879,26350,26300,26350,22110,0.0309
2022-03-01,25103,24900,24875,24900,15920,0.0338
2022-02-28,24282,24750,24745,24750,21930,-0.0032
2022-02-25,24361,24240,24225,24240,24140,-0.0144
2022-02-24,24716,25650,25625,25650,37510,0.0131
2022-02-23,24396,24600,24575,24600,17380,-0.0066
2022-02-22,24558,24950,24850,24830,23690,0.0086
2022-02-21,24349,24350,24325,24350,13150,0.0085
2022-02-18,24144,24100,24050,24100,18070,0.0108
2022-02-17,23886,23800,23750,23750,15300,0.0205
2022-02-16,23406,23600,23560,23600,12060,0.0049
2022-02-15,23292,23550,23550,23550,15000,0.0053
2022-02-14,23170,23425,23400,23425,19920,0.0052
2022-02-11,23051,23400,23370,23380,19420,-0.0202
2022-02-10,23526,23650,23600,23625,19410,0.0146
2022-02-09,23187,23150,23100,23150,16670,0.0218
2022-02-08,22692,23150,23100,23140,20270,-0.0302
2022-02-07,23398,23200,23200,23200,22640,0.0177
2022-02-04,22991,22975,22925,22975,11250,0.0055
2022-02-03,22866,22750,22725,22750,9490,0
2022-02-02,22866,22775,22745,22755,10090,0.0045
2022-02-01,22764,22730,22730,22730,11660,0.0195
2022-01-31,22328,22375,22350,22350,10610,-0.0002
2022-01-28,22332,22300,22225,22235,12930,-0.0029
2022-01-27,22398,22575,22550,22575,21520,-0.0131
2022-01-26,22695,22800,22775,22800,17060,0.0159
2022-01-25,22340,22400,22250,22275,26930,-0.0029
2022-01-24,22404,23050,23000,23050,37550,-0.0676
2022-01-21,24028,23750,23715,23700,22930,0.0098
2022-01-20,23795,23585,23565,23585,43870,0.0277
2022-01-19,23154,22540,22530,22540,21300,0.049
2022-01-18,22073,22200,22190,22190,17190,0.0005
2022-01-17,22063,22000,21950,21900,15930,-0.0059
2022-01-14,22194,22300,22400,22300,26700,0.0008
2022-01-13,22176,21975,21950,21975,17340,0.0051
2022-01-12,22064,21980,21980,21980,39930,0.0124
2022-01-11,21794,20550,21475,20550,25280,0.0478
2022-01-10,20799,20900,20850,20900,410,0.0031
2022-01-07,20734,20700,20600,20600,15600,0.0172
2022-01-06,20383,20360,20340,20360,15600,-0.0124
2022-01-05,20638,20775,20730,20740,18250,-0.0236
2022-01-04,21137,20625,20590,20600,28460,0.0183
2021-12-31,20757,20800,20750,20750,14030,0.0083
2021-12-30,20587,20525,20490,20500,14030,0.01
2021-12-29,20383,20230,20200,20215,16090,0.0169
