Date,Price,Open,High,Low,Vol.,Vol.,Change %
2023-06-16,1416.2,1389.5,1426,1387.5,,,0.0135
2023-06-15,1397.3,1393,1399.5,1357,,,-0.0035
2023-06-14,1402.2,1351,1405,1346.5,1.89,1890,0.0321
2023-06-13,1358.6,1345.5,1384.5,1335,1.95,1950,0.013
2023-06-12,1341.1,1318.5,1352.5,1296,2.48,2480,0.0278
2023-06-09,1304.8,1348.5,1362,1293,3.33,3330,-0.0394
2023-06-08,1358.3,1392,1392,1344,2.18,2180,-0.0213
2023-06-07,1387.9,1410.5,1417.5,1379.5,1.39,1390,-0.0169
2023-06-06,1411.8,1405,1432.5,1384.5,1.39,1390,0.0011
2023-06-05,1410.3,1426.5,1448.5,1391,1.84,1840,0.0048
2023-06-02,1403.5,1396,1440.5,1386.5,1.74,1740,0.0092
2023-06-01,1390.7,1361,1400,1357,2.41,2410,0.0233
2023-05-31,1359,1399.5,1423,1351,2.34,2340,-0.0275
2023-05-30,1397.5,1425,1445,1386,3.14,3140,-0.0207
2023-05-29,1427.03,1427.78,1436.78,1407.78,,,-0.0007
2023-05-28,1428,1424.5,1428.53,1423.25,,,0.0117
2023-05-26,1411.5,1422,1451,1411,,,-0.0047
2023-05-25,1418.2,1419,1438.5,1389,3.41,3410,0.0108
2023-05-24,1403,1452,1463,1395.5,3.59,3590,-0.0324
2023-05-23,1450,1494.5,1499,1445,3.71,3710,-0.0322
2023-05-22,1498.2,1526,1532,1490.5,2.14,2140,-0.0218
2023-05-19,1531.6,1471,1538,1471,1.27,1270,0.0507
2023-05-18,1457.7,1494.5,1494.5,1456.5,0.74,740,-0.0239
2023-05-17,1493.4,1509,1512.5,1483.5,0.85,850,-0.0101
2023-05-16,1508.7,1539.5,1542,1503,0.44,440,-0.0201
2023-05-15,1539.7,1524,1556,1524,0.63,630,0.0171
2023-05-12,1513.8,1560.5,1576.5,1503.5,,,-0.0259
2023-05-11,1554,1622.5,1627.5,1539,,,-0.0318
2023-05-10,1605.1,1576.5,1625,1561,,,0.0161
2023-05-09,1579.7,1557,1590.5,1533.5,2.52,2520,0.0104
2023-05-08,1563.4,1486.5,1581,1486,,,0.0515
2023-05-05,1486.8,1443,1502,1435.5,,,0.0293
2023-05-04,1444.5,1421.28,1453,1406.03,,,0.0196
2023-05-03,1416.8,1422.5,1442.5,1405,,,-0.003
2023-05-02,1421,1446.5,1460,1416,,,-0.0178
2023-05-01,1446.8,1505,1514,1439,,,-0.0418
2023-04-28,1509.9,1487,1529,1480.5,,,0.0117
2023-04-27,1492.4,1498,1526.5,1458.5,,,-0.0106
2023-04-26,1508.4,1482.5,1527.5,1481,,,0.0186
2023-04-25,1480.9,1537,1540.5,1465,,,-0.0349
2023-04-24,1534.4,1604.5,1609,1511,,,-0.0454
2023-04-21,1607.4,1596.5,1631.5,1578,,,0.0118
2023-04-20,1588.7,1611.5,1628,1575.5,,,-0.0186
2023-04-19,1618.8,1619.5,1635,1577.5,,,-0.0147
2023-04-18,1642.9,1565.5,1649,1562,,,0.0501
2023-04-17,1564.53,1490.28,1573.03,1483.5,,,0.05
2023-04-16,1490.03,1495.75,1504.03,1483.5,,,-0.0093
2023-04-14,1504,1508.78,1523,1474.5,,,0.0056
2023-04-13,1495.6,1462,1524.5,1445,,,0.0273
2023-04-12,1455.9,1443.5,1468,1433.5,,,0.0085
2023-04-11,1443.6,1413.5,1459.5,1413.5,,,0.0157
2023-04-10,1421.28,1462.28,1468.28,1402,,,-0.0295
2023-04-09,1464.5,1457.25,1467.28,1457.25,,,0.0014
2023-04-06,1462.4,1423,1468,1408,1.78,1780,0.026
2023-04-05,1425.3,1462.5,1475,1414.5,,,-0.0209
2023-04-04,1455.7,1458.5,1487,1433,,,-0.0016
2023-04-03,1458,1456.5,1498.5,1438.5,,,-0.0068
2023-03-31,1468,1464.5,1503.5,1455.5,,,-0.0042
2023-03-30,1474.2,1460,1488.5,1460,0.02,20,0.0258
2023-03-29,1437.1,1418.5,1451,1404.5,1.52,1520,0.0158
2023-03-28,1414.7,1414,1419,1386.5,1.08,1080,0.0075
2023-03-27,1404.1,1410.5,1422,1389,1.26,1260,-0.0073
2023-03-24,1414.4,1425,1434.5,1386,1.97,1970,-0.0128
2023-03-23,1432.8,1439.5,1463,1415,1.26,1260,-0.0089
2023-03-22,1445.7,1393.5,1461.5,1360.5,2.24,2240,0.0453
2023-03-21,1383.1,1408,1412.5,1375.5,1.11,1110,-0.0125
2023-03-20,1400.6,1413,1424,1374.5,1.33,1330,0.0105
2023-03-17,1386.1,1417.5,1447,1377,2.16,2160,-0.0165
2023-03-16,1409.3,1464,1470.5,1403.5,1.57,1570,-0.0246
2023-03-15,1444.8,1504,1516.5,1415,2.55,2550,-0.048
2023-03-14,1517.7,1457.5,1532,1432.5,3.34,3340,0.0278
2023-03-13,1476.7,1374,1485,1363,4.06,4060,0.084
2023-03-10,1362.3,1377,1395,1346,1.83,1830,-0.009
2023-03-09,1374.7,1346,1393,1333,2.29,2290,0.0093
2023-03-08,1362.1,1370,1397.5,1337,1.95,1950,-0.0062
2023-03-07,1370.6,1425,1439,1362,2.33,2330,-0.0378
2023-03-06,1424.5,1432.5,1447,1404,1.68,1680,-0.0169
2023-03-03,1449,1440,1464,1417,1.64,1640,0.0028
2023-03-02,1444.9,1436,1446,1412.5,1.51,1510,0.0051
2023-03-01,1437.6,1411,1455,1408.5,1.87,1870,0.0118
2023-02-28,1420.9,1420.5,1440,1389.5,2.22,2220,-0.0049
2023-02-27,1427.9,1398,1465,1390,2.4,2400,0.029
2023-02-24,1387.7,1443,1447,1354,3.23,3230,-0.0301
2023-02-23,1430.7,1482.5,1494,1425,4.04,4040,-0.0388
2023-02-22,1488.5,1524,1535,1482.5,3.45,3450,-0.0224
2023-02-21,1522.53,1504,1535,1480,,,0.0096
2023-02-20,1508.03,1480,1534.03,1480,,,0.0182
2023-02-19,1481.03,1488.75,1495.25,1480,,,-0.0077
2023-02-17,1492.5,1509,1509,1441,,,-0.0218
2023-02-16,1525.7,1450,1530,1432.5,,,0.0562
2023-02-15,1444.5,1485,1490,1413.5,,,-0.0148
2023-02-14,1466.2,1547.5,1577,1455,4.95,4950,-0.0458
2023-02-13,1536.5,1526.5,1564,1515,,,0.0076
2023-02-10,1524.9,1616.5,1633,1522,,,-0.0568
2023-02-09,1616.7,1634.5,1669,1592,,,-0.0117
2023-02-08,1635.9,1634.5,1674.5,1624.5,,,-0.0034
2023-02-07,1641.5,1585,1656,1557,,,0.0393
2023-02-06,1579.4,1617.5,1621,1539,3.88,3880,-0.0241
2023-02-03,1618.4,1656.5,1695,1590,,,-0.0147
2023-02-02,1642.6,1657,1688,1628.5,,,0.0061
2023-02-01,1632.6,1631,1698.5,1620,,,-0.0095
2023-01-31,1648.3,1634.5,1662,1582,2.93,2930,0.0125
2023-01-30,1628,1600,1646,1600,,,0.0177
2023-01-27,1599.7,1656.5,1677,1597.5,,,-0.0385
2023-01-26,1663.8,1689,1704,1660,,,-0.0143
2023-01-25,1687.9,1735,1740.5,1676,,,-0.0274
2023-01-24,1735.5,1705,1747,1683,,,0.02
2023-01-23,1701.4,1734.5,1748.5,1690.5,,,-0.0127
2023-01-20,1723.2,1756,1760,1715,,,-0.0256
2023-01-19,1768.5,1715,1777,1662.5,,,0.0366
2023-01-18,1706,1740.5,1794,1691.5,,,-0.0161
2023-01-17,1734,1789,1791,1706.5,,,-0.0127
2023-01-16,1756.25,1777,1780.53,1745.5,,,-0.0143
2023-01-15,1781.78,1791.75,1791.75,1777.5,,,-0.0031
2023-01-13,1787.3,1789,1807.5,1730,,,-0.002
2023-01-12,1790.9,1768.5,1797.5,1736,,,0.0055
2023-01-11,1781.1,1777,1793.5,1746.5,,,0.0021
2023-01-10,1777.3,1778,1811,1766,,,0.0011
2023-01-09,1775.4,1814.5,1841,1758,,,-0.0173
2023-01-06,1806.7,1743,1815.5,1735,,,0.0427
2023-01-05,1732.7,1789.5,1838,1721,,,-0.0356
2023-01-04,1796.7,1705,1806.5,1705,,,0.0613
2023-01-03,1692.9,1804.5,1816.5,1674,,,-0.061
2023-01-02,1802.78,1805.25,1816.5,1796.5,,,-0.0022
2022-12-30,1806.7,1778,1778,1778,0.02,20,-0.0095
2022-12-29,1824.1,1776.5,1845,1776.5,0.05,50,0.0219
2022-12-28,1785,1832,1840,1750,1.77,1770,-0.0226
2022-12-27,1826.3,1750,1835,1750,1.94,1940,0.0359
2022-12-26,1763,1745.25,1767.5,1741.25,,,0.0179
2022-12-23,1732,1669.5,1754,1640.5,1.6,1600,0.0356
2022-12-22,1672.4,1686,1737,1656.5,1.76,1760,0.0034
2022-12-21,1666.8,1729.5,1739.5,1660,1.53,1530,-0.0385
2022-12-20,1733.5,1665,1744,1646.5,2.76,2760,0.0412
2022-12-19,1664.9,1707,1740,1654,2.65,2650,-0.0244
2022-12-16,1706.6,1790,1825,1702.5,4.85,4850,-0.059
2022-12-15,1813.6,1927,1927,1763,3.09,3090,-0.0564
2022-12-14,1922.1,1938,1945,1909,1.31,1310,-0.0075
2022-12-13,1936.7,1883,2003,1880.5,2.27,2270,0.0279
2022-12-12,1884.1,1954,1959.5,1876,1.79,1790,-0.043
2022-12-09,1968.8,1930.5,1972.5,1913.5,1.55,1550,0.0197
2022-12-08,1930.8,1854,1945,1842,2.04,2040,0.0413
2022-12-07,1854.3,1852,1882.5,1839,1.37,1370,0.0015
2022-12-06,1851.5,1886,1898.5,1844.5,1.46,1460,-0.0053
2022-12-05,1861.3,1904,1939.5,1854.5,1.59,1590,-0.0209
2022-12-02,1901.1,1944,1946,1870.5,1.72,1720,-0.0232
2022-12-01,1946.3,1889,1955,1863,2.22,2220,0.043
2022-11-30,1866,1839,1938,1837.5,1.99,1990,0.0175
2022-11-29,1833.9,1847,1884,1811.5,1.67,1670,-0.005
2022-11-28,1843.1,1828,1887.03,1825.5,,,0.0067
2022-11-25,1830.8,1902.5,1919,1808,2.71,2710,-0.0308
2022-11-24,1889,1885.78,1910.28,1879.28,,,0.0005
2022-11-23,1888,1868.5,1909,1867.5,2.47,2470,0.0109
2022-11-22,1867.7,1881.5,1905,1857,2.54,2540,0.0001
2022-11-21,1867.53,1939,1943.78,1827,,,-0.0389
2022-11-20,1943.03,1947,1947.25,1929.75,,,0.0021
2022-11-18,1938.9,2014,2028,1932,,,-0.0354
2022-11-17,2010,2070.5,2072.5,1976.5,2.3,2300,-0.0343
2022-11-16,2081.3,2099,2113.5,2050.5,,,0.0014
2022-11-15,2078.3,2026,2113,2018,,,0.019
2022-11-14,2039.5,2036.5,2045,1951.5,,,-0.0009
2022-11-11,2041.28,1960.28,2042.5,1933.5,,,0.042
2022-11-10,1959,1862.5,1974,1802.5,,,0.0532
2022-11-09,1860.03,1912.78,1946.03,1831.5,,,-0.0269
2022-11-08,1911.5,1890,1936.28,1848,,,0.0074
2022-11-07,1897.5,1851.5,1908,1835,,,0.0315
2022-11-04,1839.5,1791.5,1919,1789.5,,,0.023
2022-11-03,1798.1,1852.5,1868,1759.5,,,-0.0281
2022-11-02,1850.1,1874,1910,1842,,,-0.0143
2022-11-01,1877,1843,1945,1838,,,0.0247
2022-10-31,1831.7,1894,1917.5,1808.5,,,-0.0373
2022-10-28,1902.6,1941.53,1963.53,1880,,,-0.0184
2022-10-27,1938.2,1968.5,1992.5,1904,1.74,1740,-0.0114
2022-10-26,1960.5,1922.5,1973.5,1922.5,,,0.0217
2022-10-25,1918.8,1970,1997,1869.5,2.88,2880,-0.0249
2022-10-24,1967.8,2017,2064.5,1960,,,-0.0188
2022-10-21,2005.5,2049,2064,1952,,,-0.0219
2022-10-20,2050.5,1985.28,2094.5,1970.5,,,0.0276
2022-10-19,1995.5,2018.5,2028.5,1951,,,-0.0091
2022-10-18,2013.9,1999,2037.5,1997.5,1.05,1050,0.007
2022-10-17,1999.9,1990,2040,1983,,,0.0013
2022-10-14,1997.3,2114,2139.5,1989,,,-0.0566
2022-10-13,2117.2,2135,2160,2012,,,-0.0158
2022-10-12,2151.27,2131.02,2184.52,2106.27,,,0.0004
2022-10-11,2150.4,2188,2203.5,2115,,,-0.0081
2022-10-10,2167.9,2193,2270,2152,,,-0.0107
2022-10-07,2191.3,2270,2304,2178.5,,,-0.037
2022-10-06,2275.5,2256.5,2314.5,2249.5,,,0.0087
2022-10-05,2255.9,2333.5,2339,2202,,,-0.0319
2022-10-04,2330.2,2229.5,2360,2227,,,0.0431
2022-10-03,2234.02,2176.02,2263.52,2168.27,,,0.0265
2022-10-02,2176.27,2185.27,2185.27,2171.77,,,-0.0053
2022-09-30,2187.8,2222,2232,2206,,,-0.0137
2022-09-29,2218.1,2131.5,2250,2131.5,0.03,30,0.0226
2022-09-28,2169.1,2076.5,2173,2042.5,,,0.0376
2022-09-27,2090.4,2041.5,2130,2023,,,0.0202
2022-09-26,2049,2068.5,2098,2025,1.21,1210,-0.0104
2022-09-23,2070.5,2173,2174,2061.5,1.72,1720,-0.048
2022-09-22,2174.8,2145.5,2194,2084,1.08,1080,0.0242
2022-09-21,2123.5,2162,2209,2112,,,-0.0217
2022-09-20,2170.5,2222,2226,2114,,,-0.0226
2022-09-19,2220.7,2135.5,2239.5,2100,,,0.0511
2022-09-16,2112.7,2142,2148.5,2080,,,-0.0156
2022-09-15,2146.1,2166.5,2182,2124,,,-0.0122
2022-09-14,2172.7,2099,2177.5,2069.5,,,0.0292
2022-09-13,2111.1,2268.5,2277.5,2090,,,-0.0719
2022-09-12,2274.6,2188.5,2280,2160.5,,,0.0445
2022-09-09,2177.6,2136,2189,2095,,,0.0143
2022-09-08,2147,2030.5,2180,2010.5,,,0.0614
2022-09-07,2022.8,1982.5,2045,1963,,,0.0251
2022-09-06,1973.2,2002,2066,1943,,,-0.0285
2022-09-05,2031.03,2014.53,2037.28,2006.53,,,0.0083
2022-09-04,2014.28,2007.03,2014.53,2000.03,,,-0.0012
2022-09-02,2016.78,2012.28,2056.77,1996.28,,,0.0024
2022-09-01,2012.03,2080.27,2097.77,1990.78,,,-0.031
2022-08-31,2076.3,2077.02,2134.52,2058.02,,,-0.0043
2022-08-30,2085.2,2148.02,2167.02,2059.52,,,-0.02
2022-08-29,2127.7,2119.27,2155.52,2097.02,,,0.0115
2022-08-26,2103.52,2137.5,2200,2090.5,,,-0.0159
2022-08-25,2137.5,2032.03,2160.02,2023,,,0.0527
2022-08-24,2030.5,1979.5,2044,1958,,,0.0258
2022-08-23,1979.5,1994.5,2025.5,1965,,,-0.0075
2022-08-22,1994.5,2123.27,2147.02,1954.78,,,-0.0632
2022-08-21,2129,2119.5,2129,2118,,,0.0023
2022-08-19,2124.02,2154.77,2155.5,2102,,,-0.0125
2022-08-18,2151,2140,2186.52,2129.5,,,0.0052
2022-08-17,2139.77,2154.77,2163.5,2125,,,-0.011
2022-08-16,2163.5,2150,2170.27,2102,,,0.0079
2022-08-15,2146.52,2223.5,2234,2129.5,,,-0.0346
2022-08-14,2223.5,2224.5,2234.5,2215.52,,,0.0018
2022-08-12,2219.52,2284.77,2287,2201.52,,,-0.0283
2022-08-11,2284.27,2250.77,2296.52,2226.25,,,0.0168
2022-08-10,2246.5,2214.5,2265,2187,,,0.013
2022-08-09,2217.77,2225.02,2256.5,2182,,,-0.0032
2022-08-08,2225,2129,2252,2116,,,0.0458
2022-08-07,2127.52,2129.77,2133.77,2125,,,-0.0009
2022-08-05,2129.5,2071.52,2144.77,2070,,,0.028
2022-08-04,2071.5,1998.53,2096.5,1996.78,,,0.0324
2022-08-03,2006.5,2058,2091,1983.5,,,-0.0257
2022-08-02,2059.52,2203,2220.5,2041.28,,,-0.0663
2022-08-01,2205.77,2121.52,2223.02,2084.27,,,0.0398
2022-07-31,2121.27,2127.5,2127.5,2114.5,,,-0.0028
2022-07-29,2127.27,2083.77,2137,2040,,,0.0215
2022-07-28,2082.5,2028.78,2095,2026.28,,,0.0266
2022-07-27,2028.53,2017.5,2035,1991.03,,,0.0067
2022-07-26,2015.03,1998.53,2020.5,1970.28,,,0.007
2022-07-25,2001.03,2005.78,2023,1965,,,-0.0032
2022-07-24,2007.5,2032.5,2036.03,1999,,,-0.0107
2022-07-22,2029.28,1882.5,2048,1875,,,0.078
2022-07-21,1882.5,1855.5,1885.5,1832.5,,,0.0146
2022-07-20,1855.5,1873.03,1898.78,1842,,,-0.0072
2022-07-19,1869,1855.28,1887.5,1839.5,,,0.0078
2022-07-18,1854.53,1856.5,1892.5,1837,,,0.0005
2022-07-17,1853.53,1838.5,1857.5,1829.28,,,0.0151
2022-07-15,1826.03,1895.28,1914.5,1821.5,,,-0.0397
2022-07-14,1901.5,1964.5,1978.78,1866.5,,,-0.0321
2022-07-13,1964.5,2021.03,2031.78,1935.28,,,-0.0299
2022-07-12,2025,2143.77,2144.02,2009.75,,,-0.0553
2022-07-11,2143.5,2174.02,2188.5,2081,,,-0.0161
2022-07-10,2178.5,2151.52,2178.5,2149.5,,,0.0048
2022-07-08,2168,1985,2180,1970.5,,,0.0922
2022-07-07,1985,1905.28,2007.03,1900.53,,,0.0409
2022-07-06,1907.03,1920.53,1954.5,1884,,,-0.0039
2022-07-05,1914.5,1920.03,1931,1876.78,,,-0.007
2022-07-04,1928,1930.5,1953,1908,,,-0.0009
2022-07-03,1929.75,1928.25,1941.75,1928.25,,,-0.0049
2022-07-01,1939.28,1911.28,1946,1856,,,0.0159
2022-06-30,1909,1960.03,1977.03,1852,,,-0.026
2022-06-29,1960,1863.78,2010,1863.03,,,0.0509
2022-06-28,1865,1863.28,1900.53,1844.75,,,-0.0027
2022-06-27,1870,1863,1950,1853,,,0.0012
2022-06-26,1867.78,1863,1872,1859.25,,,0.0034
2022-06-24,1861.53,1833.28,1870,1831.78,,,0.0155
2022-06-23,1833.03,1840,1884,1819,,,-0.005
2022-06-22,1842.28,1855.53,1874.5,1830.78,,,-0.0077
2022-06-21,1856.5,1837.28,1895,1828.5,,,0.011
2022-06-20,1836.28,1803.5,1863.5,1798.28,,,0.0182
2022-06-19,1803.5,1800.78,1808.78,1795.53,,,0.0033
2022-06-17,1797.53,1870.53,1899.5,1791.5,,,-0.0395
2022-06-16,1871.5,1847.03,1872.28,1819.78,,,0.0126
2022-06-15,1848.28,1809.03,1863.5,1797.25,,,0.0207
2022-06-14,1810.78,1775.78,1836,1769.75,,,0.019
2022-06-13,1777,1914.5,1914.5,1763.53,,,-0.0718
2022-06-12,1914.5,1924.03,1927.28,1910.28,,,-0.005
2022-06-10,1924.03,1917.53,1932.28,1854,,,0.0042
2022-06-09,1916,1933.25,1953.78,1902.5,,,-0.008
2022-06-08,1931.5,1979,1989.5,1916,,,-0.0232
2022-06-07,1977.28,1998.53,2015.5,1929,,,-0.0109
2022-06-06,1999,1973.78,2023.78,1973.78,,,0.0116
2022-06-05,1976,1962,1978.5,1962,,,0.0053
2022-06-03,1965.53,2060.27,2065,1956,,,-0.047
2022-06-02,2062.5,1992.25,2062.5,1988.53,,,0.0359
2022-06-01,1991.03,1993,2034.28,1972,,,-0.0025
2022-05-31,1996.03,2034,2090,1968.5,,,-0.0177
2022-05-30,2032.03,2059.02,2083.77,2024.5,,,-0.0132
2022-05-29,2059.27,2060.02,2060.27,2059.02,,,0.0041
2022-05-27,2050.78,2002.5,2053.52,1995,,,0.0241
2022-05-26,2002.5,2000,2006.5,1973,,,0.003
2022-05-25,1996.53,1996.5,2037,1956,,,0
2022-05-24,1996.5,1978.5,2014.03,1964.78,,,0.0093
2022-05-23,1978.03,1958.78,2022.78,1955.5,,,0.01
2022-05-22,1958.53,1961.03,1963.53,1954.53,,,0.0062
2022-05-20,1946.53,1991.28,2016.28,1913,,,-0.0224
2022-05-19,1991.03,1972.28,2010.78,1928,,,0.0066
2022-05-18,1978,2032.03,2101.02,1966,,,-0.028
2022-05-17,2035,1996.78,2070.77,1965,,,0.0195
2022-05-16,1996,1932.28,2017.53,1888,,,0.0361
2022-05-15,1926.5,1917.5,1932.03,1917.5,,,0.0043
2022-05-13,1918.28,1921,1952.28,1866.53,,,-0.0001
2022-05-12,1918.53,2005.03,2027.78,1843.28,,,-0.0422
2022-05-11,2003,2018.28,2075.5,1997.5,,,-0.0089
2022-05-10,2021.03,2083.27,2149,2021.03,,,-0.03
2022-05-09,2083.52,2019,2125,1986.28,,,0.032
2022-05-08,2019,2034.03,2034.28,2019,,,-0.0064
2022-05-06,2032,2168.02,2176,1986.5,,,-0.0636
2022-05-05,2170,2258.77,2277,2160,,,-0.0393
2022-05-04,2258.75,2248,2282,2211,,,0.0015
2022-05-03,2255.27,2200.52,2275.27,2200.52,,,0.0242
2022-05-02,2202,2311.02,2311.02,2148.02,,,-0.0473
2022-05-01,2311.27,2271,2312.77,2271,,,-0.0012
2022-04-29,2314,2232.77,2319,2227,,,0.0391
2022-04-28,2227,2202.52,2281.27,2201.27,,,0.0059
2022-04-27,2214,2180.02,2248,2164.5,,,0.0142
2022-04-26,2183,2159,2243.5,2128.25,,,0.0117
2022-04-25,2157.77,2306.5,2315.52,2058.52,,,-0.0656
2022-04-24,2309.27,2359.5,2359.5,2283.02,,,-0.0255
2022-04-22,2369.77,2420.77,2447.52,2358,,,-0.0242
2022-04-21,2428.5,2441.5,2480.52,2376.02,,,-0.0059
2022-04-20,2443.02,2372.5,2488.27,2357.27,,,0.0297
2022-04-19,2372.5,2430.77,2439.27,2345.77,,,-0.0235
2022-04-18,2429.5,2380.77,2464,2374.5,,,0.0191
2022-04-17,2384,2340,2384,2339,,,0.0162
2022-04-15,2346,2346,2346,2346,,,0
2022-04-14,2346,2331,2380.52,2307.77,,,0.0064
2022-04-13,2331,2327.02,2419.5,2303,,,0.0002
2022-04-12,2330.5,2437,2458,2301,,,-0.0447
2022-04-11,2439.52,2455.77,2532.02,2404,,,-0.0095
2022-04-10,2463,2403.5,2466,2403.5,,,0.0165
2022-04-08,2423,2243.77,2465,2232,,,0.0769
2022-04-07,2250,2201.27,2276.02,2191.5,,,0.0267
2022-04-06,2191.5,2230.52,2273.02,2166,,,-0.0173
2022-04-05,2230.02,2295.02,2318,2206.5,,,-0.0283
2022-04-04,2295,2290.02,2339.5,2271,,,-0.0011
2022-04-03,2297.5,2254,2297.5,2254,,,0.0077
2022-04-01,2280,2271.52,2344.5,2212.52,,,0.0007
2022-03-31,2278.5,2266.77,2294.52,2192.5,,,0.0042
2022-03-30,2269,2156.02,2272,2125.5,,,0.0541
2022-03-29,2152.5,2252.77,2295.52,2025.5,,,-0.043
2022-03-28,2249.27,2357.52,2393.5,2151.5,,,-0.0441
2022-03-27,2353,2355,2374.5,2307,,,0.0041
2022-03-25,2343.5,2539.02,2546.77,2283.5,,,-0.0752
2022-03-24,2534,2534,2555.77,2487.52,,,0
2022-03-23,2534,2522.27,2589,2483,,,0.008
2022-03-22,2514,2579.27,2607,2467.52,,,-0.0243
2022-03-21,2576.5,2482,2609.02,2465.5,,,0.0341
2022-03-20,2491.52,2499,2499,2475,,,0.003
2022-03-18,2484,2574.52,2639,2473.77,,,-0.0325
2022-03-17,2567.5,2389.02,2586.5,2380,,,0.0744
2022-03-16,2389.77,2426.5,2489.5,2359.5,,,-0.0123
2022-03-15,2419.52,2371.52,2493.02,2350,,,0.0205
2022-03-14,2371,2711.27,2719.5,2316.27,,,-0.1281
2022-03-13,2719.5,2784.5,2796.25,2708.02,,,-0.0319
2022-03-11,2809,2914.5,2981.52,2705,,,-0.0362
2022-03-10,2914.52,2940.27,2980.52,2850,,,-0.0087
2022-03-09,2940.02,3281.27,3289,2867.5,,,-0.1061
2022-03-08,3289,2980,3289,2856,,,0.1037
2022-03-07,2980,3119,3417.02,2800.5,,,-0.045
2022-03-06,3120.27,2964,3149,2964,,,0.0436
2022-03-04,2990,2766,2992.02,2762.52,,,0.0823
