Date,Price,Open,High,Low,Vol.,Vol.,Change %
2023-06-16,987.3,994.8,1002.6,977.9,,,-0.0046
2023-06-15,991.9,981.3,995.7,965.5,,,0.0121
2023-06-14,980,980.8,986.8,971.7,21.21,21210,-0.0019
2023-06-13,981.9,996.8,1003,978.7,21.77,21770,-0.0135
2023-06-12,995.3,1012,1013.6,991.8,21.4,21400,-0.0163
2023-06-11,1011.75,1013.3,1013.5,1011,,,-0.001
2023-06-09,1012.8,1015.4,1023.6,1000.2,19.19,19190,-0.0011
2023-06-08,1013.9,1025,1033,1010.9,17.34,17340,-0.0104
2023-06-07,1024.6,1039.4,1051.8,1022.3,21.21,21210,-0.0136
2023-06-06,1038.7,1035.5,1044.3,1026.6,16.3,16300,0.0022
2023-06-05,1036.4,1007.7,1043,1006.7,26.56,26560,0.0269
2023-06-04,1009.25,1006.15,1012,1006.15,,,0.0057
2023-06-02,1003.5,1010,1021,1002,15.9,15900,-0.0065
2023-06-01,1010.1,998.7,1015.9,997.4,18.93,18930,0.0111
2023-05-31,999,1025.3,1029.4,997.8,27.04,27040,-0.0224
2023-05-30,1021.9,1028.1,1046,1021.2,21.63,21630,-0.0108
2023-05-29,1033.1,1027.1,1039.4,1025.55,,,0.0052
2023-05-28,1027.75,1028.05,1028.9,1025.3,,,-0.0082
2023-05-26,1036.2,1026.9,1040.1,1024.6,,,0.0017
2023-05-25,1034.4,1030.5,1037.4,1020.8,,,-0.0031
2023-05-24,1037.6,1058.9,1063.8,1026.3,,,-0.0264
2023-05-23,1065.7,1076.8,1079.4,1057.1,,,-0.0182
2023-05-22,1085.4,1070,1087.9,1065.8,,,0.0105
2023-05-21,1074.1,1071.5,1074.6,1070,,,-0.009
2023-05-19,1083.8,1059.6,1084.2,1055,,,0.0164
2023-05-18,1066.3,1079.2,1080.8,1055,,,-0.0224
2023-05-17,1090.7,1067.7,1086.1,1067.4,,,0.0146
2023-05-16,1075,1070.5,1078.7,1061.8,,,-0.0072
2023-05-15,1082.8,1057.6,1079.1,1057.5,,,0.0179
2023-05-14,1063.8,1059.4,1063.85,1058.2,,,-0.003
2023-05-12,1067,1104.3,1111.7,1058,,,-0.0344
2023-05-11,1105,1124.6,1129.8,1094.7,,,-0.0126
2023-05-10,1119.1,1114.9,1137.9,1110,,,0.0028
2023-05-09,1116,1083.3,1117.8,1076,21.26,21260,0.026
2023-05-08,1087.7,1067.4,1096.9,1065.4,,,0.0196
2023-05-07,1066.8,1067.1,1070.2,1065.9,,,-0.0014
2023-05-05,1068.3,1054.5,1069.6,1043.6,,,0.014
2023-05-04,1053.55,1069.85,1073.85,1043.2,,,-0.0078
2023-05-03,1061.8,1074.7,1085.5,1057.2,,,-0.0153
2023-05-02,1078.3,1065.9,1079.7,1052.7,,,0.0128
2023-05-01,1064.7,1090,1103.8,1062.3,,,-0.0155
2023-04-30,1081.45,1088.5,1088.5,1081.45,,,-0.0079
2023-04-28,1090.1,1093,1096.8,1075.9,,,-0.0028
2023-04-27,1093.2,1103.2,1114.4,1085.3,,,-0.0116
2023-04-26,1106,1104.9,1124,1100.1,,,0.0071
2023-04-25,1098.2,1099.9,1106.3,1077,,,0.0005
2023-04-24,1097.7,1142.5,1142.5,1094.9,,,-0.0331
2023-04-23,1135.25,1140.8,1142.6,1133.05,,,-0.003
2023-04-21,1138.7,1110,1148.9,1102,,,0.0281
2023-04-20,1107.6,1103.6,1112.5,1094.5,,,0.0017
2023-04-19,1105.7,1093.9,1108.5,1072,,,0.0077
2023-04-18,1097.3,1062,1101.9,1059.7,,,0.0356
2023-04-17,1059.6,1058.5,1069.9,1050.2,14,14000,0.0054
2023-04-16,1053.9,1056.2,1059.4,1053.3,,,-0.0001
2023-04-14,1054,1062.1,1071.1,1046.7,19.96,19960,-0.0108
2023-04-13,1065.5,1029.1,1070,1023.4,,,0.037
2023-04-12,1027.5,1005.5,1034,1004.1,,,0.0223
2023-04-11,1005.1,1003.5,1018.6,1000.6,,,0.0022
2023-04-10,1002.9,1012.5,1026.7,995.8,11.43,11430,-0.0136
2023-04-09,1016.75,1018.6,1021.9,1010.5,,,0
2023-04-06,1016.8,1009.2,1021.7,1004.3,10.77,10770,0.0093
2023-04-05,1007.4,1029.7,1036.9,1000.9,,,-0.021
2023-04-04,1029,998.9,1032.2,991,,,0.0327
