Date,Price,Open,High,Low,Vol.,Vol.,Change %
2023-06-16,24.126,23.965,24.29,23.91,,,0.0075
2023-06-15,23.947,24,24.01,23.27,,,-0.0066
2023-06-14,24.105,23.73,24.175,23.715,61.2,61200,0.0119
2023-06-13,23.822,24.145,24.52,23.665,73.64,73640,-0.0099
2023-06-12,24.059,24.375,24.395,23.955,58.04,58040,-0.0144
2023-06-09,24.41,24.36,24.62,24.28,63.77,63770,0.0025
2023-06-08,24.348,23.525,24.46,23.51,84.07,84070,0.0348
2023-06-07,23.529,23.675,24.165,23.48,73.33,73330,-0.006
2023-06-06,23.67,23.665,23.87,23.41,44.28,44280,0.0015
2023-06-05,23.635,23.69,23.785,23.32,47.49,47490,-0.0047
2023-06-02,23.747,23.98,24.12,23.66,62.06,62060,-0.01
2023-06-01,23.987,23.625,24.03,23.355,76.91,76910,0.017
2023-05-31,23.587,23.31,23.735,23.16,76.73,76730,0.015
2023-05-30,23.239,23.425,23.51,23.03,79.06,79060,-0.0012
2023-05-29,23.267,23.41,23.503,23.258,,,-0.0062
2023-05-28,23.413,23.43,23.455,23.395,,,0.0071
2023-05-26,23.248,22.71,23.34,22.705,0.28,280,0.0195
2023-05-25,22.803,23.07,23.125,22.705,0.36,360,-0.0142
2023-05-24,23.132,23.48,23.505,23.05,0.26,260,-0.016
2023-05-23,23.509,23.67,23.67,23.14,0.38,380,-0.0099
2023-05-22,23.743,23.88,23.92,23.66,0.28,280,-0.0086
2023-05-19,23.948,23.56,24.01,23.555,0.15,150,0.0181
2023-05-18,23.523,23.84,23.84,23.38,0.35,350,-0.0112
2023-05-17,23.789,23.83,23.94,23.65,0.18,180,0.0003
2023-05-16,23.783,24.115,24.115,23.71,0.18,180,-0.0162
2023-05-15,24.175,24.03,24.27,23.945,0.17,170,0.0009
2023-05-12,24.154,24.37,24.405,23.91,,,-0.0111
2023-05-11,24.424,25.545,25.7,24.325,,,-0.0481
2023-05-10,25.658,25.84,26.2,25.455,,,-0.0093
2023-05-09,25.898,25.79,25.93,25.57,45.73,45730,0.0025
2023-05-08,25.834,25.945,25.99,25.76,,,-0.0037
2023-05-05,25.93,26.33,26.435,25.41,,,-0.0162
2023-05-04,26.358,25.968,26.363,25.703,,,0.0264
2023-05-03,25.681,25.65,25.91,25.355,,,0.0024
2023-05-02,25.619,25.245,25.765,24.82,,,0.0154
2023-05-01,25.23,25.46,26.21,25.14,,,0.0002
2023-04-28,25.226,25.205,25.35,24.98,,,0.0007
2023-04-27,25.209,25.17,25.41,24.745,,,0.0055
2023-04-26,25.071,25.265,25.515,25.01,,,-0.0007
2023-04-25,25.088,25.48,25.655,24.735,,,-0.0171
2023-04-24,25.524,25.375,25.535,25.055,,,0.0097
2023-04-21,25.28,25.565,25.69,25.21,19.88,19880,-0.0123
2023-04-20,25.595,25.58,25.805,25.38,21.43,21430,0.0002
2023-04-19,25.59,25.495,25.675,24.925,18.98,18980,0.0042
2023-04-18,25.484,25.35,25.645,25.255,14.04,14040,0.0158
2023-04-17,25.088,25.44,25.71,24.92,64.63,64630,-0.0146
2023-04-14,25.46,25.97,26.235,25.265,94.54,94540,-0.0179
2023-04-13,25.925,25.63,26.115,25.515,75.42,75420,0.0183
2023-04-12,25.458,25.185,25.825,25.175,89.02,89020,0.0108
2023-04-11,25.186,25.015,25.275,24.97,54.83,54830,0.011
2023-04-10,24.912,24.91,25.24,24.775,47.96,47960,-0.0072
2023-04-06,25.093,25.09,25.175,24.695,49.82,49820,0.0022
2023-04-05,25.037,25.175,25.295,24.785,66.17,66170,-0.0025
2023-04-04,25.101,24.105,25.195,23.97,80.73,80730,0.045
2023-04-03,24.021,24.285,24.335,23.725,59.79,59790,-0.0056
2023-03-31,24.156,24.05,24.31,23.83,59.67,59670,0.007
2023-03-30,23.989,23.44,24.1,23.37,67.1,67100,0.0256
2023-03-29,23.391,23.315,23.43,23.18,0.19,190,0.002
2023-03-28,23.345,23.18,23.425,22.925,0.06,60,0.0117
2023-03-27,23.075,23.185,23.185,22.945,0.05,50,-0.0074
2023-03-24,23.247,23.24,23.705,23.125,0.02,20,0.0045
2023-03-23,23.144,23.1,23.36,22.9,,,0.0207
2023-03-22,22.675,22.68,23.065,22.65,0.02,20,0.0157
2023-03-21,22.324,22.57,22.6,22.205,0.06,60,-0.0093
2023-03-20,22.533,22.63,22.72,22.415,0.01,10,0.0081
2023-03-17,22.351,21.75,22.065,21.75,0.06,60,0.0353
2023-03-16,21.588,21.855,21.86,21.58,0.05,50,-0.0085
2023-03-15,21.774,21.6,22.08,21.6,0.02,20,-0.0071
2023-03-14,21.929,21.51,21.91,21.5,0.06,60,0.0062
2023-03-13,21.793,20.69,21.785,20.69,0.02,20,0.0696
2023-03-10,20.375,20.145,20.875,19.945,0.05,50,0.0175
2023-03-09,20.025,20.01,20.03,20.01,0.01,10,0.001
2023-03-08,20.005,20.035,20.14,19.83,0.08,80,-0.0024
2023-03-07,20.054,20.985,20.985,19.99,0.06,60,-0.0443
2023-03-06,20.984,21.175,21.22,20.98,0.12,120,-0.012
2023-03-03,21.238,20.99,21.385,20.91,,,0.0227
2023-03-02,20.766,20.915,20.915,20.735,,,-0.0092
2023-03-01,20.959,20.88,21.15,20.88,0.58,580,-0.0001
2023-02-28,20.961,20.64,21.01,20.475,0.51,510,0.0141
2023-02-27,20.67,20.75,20.82,20.515,7.5,7500,-0.0067
2023-02-24,20.81,21.33,21.395,20.725,51.63,51630,-0.0233
2023-02-23,21.306,21.52,21.67,21.26,52.99,52990,-0.0171
2023-02-22,21.677,21.87,22,21.435,50.98,50980,-0.0097
2023-02-21,21.89,21.7,21.995,21.555,86.91,86910,0.0038
2023-02-20,21.808,21.595,21.902,21.558,,,0.0097
2023-02-19,21.598,21.753,21.753,21.585,,,-0.0054
2023-02-17,21.715,21.585,21.8,21.155,67.93,67930,0.0002
2023-02-16,21.71,21.64,21.79,21.4,56.29,56290,0.0064
2023-02-15,21.572,21.865,21.875,21.385,55.51,55510,-0.0138
2023-02-14,21.873,21.995,22.04,21.585,73.82,73820,0.001
2023-02-13,21.852,22.03,22.085,21.785,48.51,48510,-0.0101
2023-02-10,22.075,22.015,22.31,21.83,68.26,68260,-0.0031
2023-02-09,22.143,22.365,22.615,21.915,67.99,67990,-0.0124
2023-02-08,22.42,22.21,22.56,22.205,56.97,56970,0.011
2023-02-07,22.177,22.305,22.485,22.065,72.08,72080,-0.0027
2023-02-06,22.237,22.385,22.635,22.17,66.94,66940,-0.0075
2023-02-03,22.405,23.515,23.665,22.325,111.87,111870,-0.0512
2023-02-02,23.615,24.065,24.75,23.495,110.84,110840,0.0003
2023-02-01,23.609,23.84,24.15,23.44,65.33,65330,-0.0095
2023-01-31,23.836,23.695,23.865,23.05,66.63,66630,0.0043
2023-01-30,23.733,23.675,23.92,23.63,56.12,56120,0.0085
2023-01-27,23.534,23.845,23.85,23.5,0.18,180,-0.0168
2023-01-26,23.937,23.925,24.325,23.63,1.35,1350,0.0038
2023-01-25,23.846,23.585,23.985,23.435,0.33,330,0.0076
2023-01-24,23.665,23.505,23.74,23.275,0.58,580,0.0078
2023-01-23,23.481,24.05,24.21,22.79,0.43,430,-0.0159
2023-01-20,23.86,23.95,24.055,23.87,0.03,30,0.0029
2023-01-19,23.791,23.46,23.94,23.285,0.07,70,0.0094
2023-01-18,23.569,24.01,24.315,23.495,0.09,90,-0.0171
2023-01-17,23.978,24.38,24.53,23.955,0.13,130,-0.0195
2023-01-16,24.455,24.413,24.665,24.087,,,0.0016
2023-01-15,24.415,24.422,24.445,24.38,,,0.0056
2023-01-13,24.279,23.88,24.31,23.555,0.12,120,0.0153
2023-01-12,23.914,23.465,24.24,23.465,0.12,120,0.0184
2023-01-11,23.481,23.72,24.19,23.34,57.03,57030,-0.0078
2023-01-10,23.665,23.775,23.905,23.55,42.92,42920,-0.0086
2023-01-09,23.871,24.025,24.285,23.725,47.84,47840,-0.0046
2023-01-06,23.982,23.385,24.055,23.345,,,0.0238
2023-01-05,23.424,23.94,24.06,23.26,,,-0.0225
2023-01-04,23.964,24.175,24.64,23.745,,,-0.0112
2023-01-03,24.236,24.305,24.775,24.095,69.96,69960,-0.0038
2023-01-02,24.328,24.177,24.387,24.165,,,0.012
2022-12-30,24.04,24.105,24.36,23.705,40.89,40890,-0.0087
2022-12-29,24.25,23.725,24.28,23.69,36.9,36900,0.0172
2022-12-28,23.84,24.24,24.275,23.645,34.29,34290,-0.0156
2022-12-27,24.217,24.05,24.495,23.975,45.23,45230,0.0067
2022-12-26,24.055,24.008,24.168,23.968,,,0.0056
2022-12-23,23.92,23.74,24.095,23.685,31.56,31560,0.0126
2022-12-22,23.622,24.195,24.315,23.55,46.2,46200,-0.0236
2022-12-21,24.194,24.395,24.525,24.055,36.77,36770,-0.0032
2022-12-20,24.271,23.18,24.49,23.05,72.52,72520,0.0462
2022-12-19,23.199,23.415,23.625,23.03,33.18,33180,-0.0055
2022-12-16,23.328,23.27,23.445,22.735,51.26,51260,0.001
2022-12-15,23.305,24.18,24.18,23.155,61.9,61900,-0.0344
2022-12-14,24.136,23.965,24.275,23.605,51.52,51520,0.0061
2022-12-13,23.99,23.52,24.39,23.49,74.31,74310,0.0251
2022-12-12,23.403,23.65,23.765,23.32,39.13,39130,-0.0132
2022-12-09,23.717,23.305,23.9,23.14,53.44,53440,0.0203
2022-12-08,23.246,22.92,23.425,22.725,44.88,44880,0.0141
2022-12-07,22.922,22.35,23.01,22.255,51.54,51540,0.0263
2022-12-06,22.335,22.435,22.78,22.19,49.86,49860,-0.0037
2022-12-05,22.417,23.29,23.69,22.35,72.92,72920,-0.0358
2022-12-02,23.25,22.975,23.475,22.48,74.94,74940,0.0179
2022-12-01,22.841,22.41,23.005,22.24,73.64,73640,0.0487
2022-11-30,21.781,21.415,22.41,21.355,63.51,63510,0.0161
2022-11-29,21.436,21.13,21.635,21.06,46.73,46730,0.0147
2022-11-28,21.125,21.64,21.815,21.045,59.18,59180,-0.0224
2022-11-25,21.609,21.785,21.88,21.355,30.82,30820,0.0047
2022-11-24,21.508,21.637,21.73,21.488,,,-0.0008
2022-11-23,21.526,21.26,21.78,21.095,20.92,20920,0.014
2022-11-22,21.229,21.05,21.555,21.05,22.91,22910,0.0171
2022-11-21,20.872,20.985,21.04,20.6,49.27,49270,-0.006
2022-11-18,20.997,21.02,21.325,20.87,45.48,45480,0.001
2022-11-17,20.975,21.505,21.535,20.785,68.3,68300,-0.0255
2022-11-16,21.524,21.63,22.155,21.455,71.72,71720,0.0003
2022-11-15,21.518,22.065,22.38,21.45,94.52,94520,-0.0269
2022-11-14,22.113,21.77,22.19,21.37,63.15,63150,0.0206
2022-11-11,21.667,21.77,22.16,21.355,77.86,77860,-0.0016
2022-11-10,21.702,21.115,21.94,21.045,92.92,92920,0.0176
2022-11-09,21.327,21.425,21.695,21.055,80.56,80560,-0.0081
2022-11-08,21.502,20.85,21.72,20.57,95.95,95950,0.0279
2022-11-07,20.919,20.57,21.08,20.435,76.41,76410,0
2022-11-06,20.919,20.57,21.08,20.435,68.48,68480,0.0065
2022-11-04,20.784,19.5,20.965,19.425,112.1,112100,0.0697
2022-11-03,19.43,19.23,19.555,18.805,71.23,71230,-0.0084
2022-11-02,19.594,19.635,20.11,19.2,63.23,63230,-0.0037
2022-11-01,19.667,19.11,20.04,19.085,74.28,74280,0.0287
2022-10-31,19.119,19.2,19.225,18.865,35.79,35790,-0.0015
2022-10-28,19.147,19.565,19.62,18.95,50.43,50430,-0.0178
2022-10-27,19.494,19.555,19.66,19.255,58.01,58010,0.0004
2022-10-26,19.486,19.325,19.765,19.18,55.63,55630,0.0071
2022-10-25,19.349,19.195,19.41,18.74,54.44,54440,0.0083
2022-10-24,19.189,19.395,19.675,18.985,61.36,61360,0.0065
2022-10-21,19.066,18.625,19.405,18.205,85.07,85070,0.0202
2022-10-20,18.689,18.405,18.96,18.15,57.78,57780,0.018
2022-10-19,18.359,18.685,18.755,18.305,36.44,36440,-0.013
2022-10-18,18.6,18.625,18.865,18.49,39.82,39820,-0.0064
2022-10-17,18.719,18.16,18.89,18.155,52.19,52190,0.0359
2022-10-14,18.071,18.865,19.055,18.01,69.61,69610,-0.0448
2022-10-13,18.918,19.01,19.29,18.41,73.3,73300,-0.0011
2022-10-12,18.938,19.175,19.31,18.84,57.22,57220,-0.0282
2022-10-11,19.487,19.63,19.725,19.05,60.4,60400,-0.0065
2022-10-10,19.615,20.185,20.21,19.525,59.2,59200,-0.0316
2022-10-07,20.255,20.71,20.875,20.02,60.63,60630,-0.0196
2022-10-06,20.66,20.75,20.93,20.4,49.26,49260,0.0056
2022-10-05,20.544,21.12,21.135,19.985,80.04,80040,-0.0263
2022-10-04,21.099,20.745,21.31,20.68,73.44,73440,0.0248
2022-10-03,20.589,18.995,20.78,18.98,98.66,98660,0.0814
2022-09-30,19.039,18.81,19.3,18.745,53.86,53860,0.0175
2022-09-29,18.712,18.91,18.915,18.465,59.25,59250,-0.0089
2022-09-28,18.88,18.365,18.965,17.895,83.8,83800,0.0296
2022-09-27,18.337,18.35,18.785,18.295,63.09,63090,-0.0077
2022-09-26,18.48,18.85,19.045,18.31,81.81,81810,-0.0227
2022-09-23,18.91,19.66,19.745,18.76,82.52,82520,-0.036
2022-09-22,19.617,19.645,19.89,19.25,63.37,63370,0.007
2022-09-21,19.48,19.265,19.96,19.23,70.73,70730,0.0155
2022-09-20,19.183,19.595,19.605,19.07,42.27,42270,-0.009
2022-09-19,19.358,19.6,19.69,19.235,44.27,44270,-0.0012
2022-09-16,19.381,19.175,19.64,18.77,58.15,58150,0.0058
2022-09-15,19.269,19.6,19.625,19.11,50.66,50660,-0.0153
2022-09-14,19.569,19.3,19.685,19.215,47.43,47430,0.004
2022-09-13,19.491,19.785,19.93,19.295,76.43,76430,-0.0186
2022-09-12,19.86,18.815,20.005,18.775,82.32,82320,0.0582
2022-09-09,18.767,18.45,18.86,18.445,43.86,43860,0.0176
2022-09-08,18.442,18.395,18.665,18.24,53.2,53200,0.01
2022-09-07,18.26,17.905,18.4,17.74,49.64,49640,0.0197
2022-09-05,17.908,17.94,18.465,17.815,73.96,73960,0.0015
2022-09-02,17.881,17.665,18.165,17.62,62.96,62960,0.0122
2022-09-01,17.666,17.85,17.865,17.4,66.96,66960,-0.0121
2022-08-31,17.882,18.29,18.39,17.8,63.46,63460,-0.0221
2022-08-30,18.287,18.675,18.7,18.225,58,58000,-0.0145
2022-08-29,18.557,18.77,18.77,18.3,33.39,33390,-0.0101
2022-08-26,18.746,19.13,19.345,18.68,53.72,53720,-0.0196
2022-08-25,19.12,18.995,19.26,18.955,46.31,46310,0.0113
2022-08-24,18.907,19.02,19.105,18.815,42.82,42820,-0.0063
2022-08-23,19.026,18.885,19.155,18.65,52.28,52280,0.0078
2022-08-22,18.878,18.97,19.065,18.605,55.52,55520,-0.01
2022-08-19,19.069,19.47,19.48,18.925,55.57,55570,-0.0203
2022-08-18,19.464,19.74,19.885,19.41,46.16,46160,-0.0135
2022-08-17,19.731,20.105,20.24,19.63,49.57,49570,-0.0176
2022-08-16,20.085,20.23,20.25,19.86,41.92,41920,-0.0092
2022-08-15,20.272,20.805,20.87,20.02,55.09,55090,-0.0206
2022-08-12,20.698,20.26,20.85,20.19,46.59,46590,0.0172
2022-08-11,20.349,20.575,20.605,20.19,56.53,56530,-0.0189
2022-08-10,20.742,20.5,20.83,20.315,65.02,65020,0.0127
2022-08-09,20.482,20.695,20.74,20.4,53.85,53850,-0.0064
2022-08-08,20.614,19.84,20.745,19.745,68.07,68070,0.0389
2022-08-05,19.842,20.16,20.28,19.47,62.13,62130,-0.0139
2022-08-04,20.122,20.045,20.38,19.93,49.82,49820,0.0115
2022-08-03,19.894,19.955,20.14,19.75,47.27,47270,-0.0122
2022-08-02,20.139,20.34,20.495,19.915,64.54,64540,-0.011
2022-08-01,20.362,20.335,20.51,20.065,58.52,58520,0.0082
2022-07-29,20.197,19.99,20.35,19.825,64.59,64590,0.0166
2022-07-28,19.868,19.05,20,19.01,86.52,86520,0.0682
2022-07-27,18.6,18.535,19.095,18.36,62.26,62260,0.0035
2022-07-26,18.535,18.33,18.62,18.285,40.82,40820,0.0113
2022-07-25,18.328,18.54,18.675,18.195,43.12,43120,-0.0155
