"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2023","27,225.00","27,350.00","27,275.00","27,300.00","2.21K","1.73%"
"06/14/2023","26,762.00","26,350.00","26,300.00","26,350.00","1.81K","2.67%"
"06/13/2023","26,065.00","26,200.00","26,150.00","26,200.00","0.78K","0.63%"
"06/12/2023","25,901.00","25,900.00","25,850.00","25,900.00","1.28K","-2.27%"
"06/09/2023","26,502.00","26,450.00","26,350.00","26,450.00","1.84K","2.65%"
"06/08/2023","25,817.00","25,500.00","25,400.00","25,450.00","1.24K","0.65%"
"06/07/2023","25,650.00","25,700.00","25,600.00","25,600.00","0.98K","0.12%"
"06/06/2023","25,618.00","25,800.00","25,700.00","25,700.00","0.64K","0.21%"
"06/05/2023","25,565.00","25,600.00","25,600.00","25,600.00","0.92K","-0.34%"
"06/02/2023","25,651.00","26,000.00","25,950.00","25,950.00","1.35K","0.84%"
"06/01/2023","25,437.00","25,600.00","25,350.00","25,400.00","1.20K","-0.07%"
"05/31/2023","25,454.00","25,500.00","25,200.00","25,210.00","1.82K","-0.42%"
"05/30/2023","25,561.00","25,500.00","25,400.00","25,350.00","2.20K","2.88%"
"05/26/2023","24,846.00","24,050.00","24,700.00","24,050.00","1.16K","0.97%"
"05/25/2023","24,607.00","24,500.00","24,350.00","24,450.00","1.17K","2.68%"
"05/24/2023","23,965.00","24,300.00","24,225.00","24,250.00","1.61K","-1.46%"
"05/23/2023","24,320.00","24,100.00","24,100.00","24,100.00","1.72K","-2.53%"
"05/22/2023","24,950.00","25,150.00","25,050.00","25,075.00","1.26K","-1.97%"
"05/19/2023","25,451.00","25,400.00","25,250.00","25,200.00","1.62K","1.75%"
"05/18/2023","25,014.00","25,350.00","25,250.00","25,250.00","1.01K","0.85%"
"05/17/2023","24,802.00","24,900.00","24,800.00","24,900.00","1.49K","1.13%"
"05/16/2023","24,524.00","24,950.00","24,600.00","24,605.00","1.22K","-1.88%"
"05/15/2023","24,994.00","25,200.00","25,200.00","25,200.00","0.78K","0.64%"
"05/12/2023","24,836.00","24,850.00","24,700.00","24,700.00","1.31K","-1.87%"
"05/11/2023","25,308.00","25,850.00","25,750.00","25,850.00","1.56K","-2.08%"
"05/10/2023","25,846.00","25,950.00","25,900.00","25,950.00","1.01K","-0.57%"
"05/09/2023","25,995.00","26,100.00","26,000.00","26,050.00","0.87K","-0.26%"
"05/05/2023","26,064.00","26,100.00","25,950.00","25,975.00","0.67K","1.81%"
"05/04/2023","25,600.00","26,700.00","26,625.00","26,650.00","1.64K","-4.40%"
"05/03/2023","26,777.00","26,950.00","26,850.00","26,875.00","0.84K","1.08%"
"05/02/2023","26,491.00","26,500.00","26,350.00","26,400.00","0.84K","1.54%"
"04/28/2023","26,088.00","26,200.00","26,050.00","26,100.00","0.90K","0.79%"
"04/27/2023","25,883.00","25,950.00","25,800.00","25,800.00","1.11K","0.50%"
"04/26/2023","25,754.00","25,800.00","25,550.00","25,600.00","1.23K","0.66%"
"04/25/2023","25,584.00","26,200.00","26,150.00","26,150.00","1.34K","-3.99%"
"04/24/2023","26,646.00","26,800.00","26,600.00","26,600.00","0.79K","0.20%"
"04/21/2023","26,594.00","26,950.00","26,725.00","26,725.00","1.15K","-1.28%"
"04/20/2023","26,940.00","27,100.00","27,090.00","27,100.00","1.45K","-0.52%"
"04/19/2023","27,082.00","26,500.00","26,425.00","26,450.00","2.80K","-2.73%"
"04/18/2023","27,843.00","27,800.00","27,625.00","27,650.00","2.24K","1.74%"
"04/17/2023","27,367.00","27,000.00","26,850.00","26,750.00","4.44K","10.12%"
"04/14/2023","24,853.00","24,975.00","24,710.00","24,715.00","1.63K","1.68%"
"04/13/2023","24,442.00","24,850.00","24,800.00","24,805.00","1.04K","1.75%"
"04/12/2023","24,022.00","23,850.00","23,900.00","23,850.00","1.71K","1.22%"
"04/11/2023","23,733.00","24,000.00","24,000.00","23,975.00","1.28K","-2.37%"
"04/06/2023","24,308.00","24,900.00","24,900.00","24,900.00","1.71K","0.25%"
"04/05/2023","24,247.00","24,500.00","24,400.00","24,400.00","1.00K","-2.99%"
"04/04/2023","24,995.00","25,900.00","25,575.00","25,575.00","0.84K","-4.01%"
"04/03/2023","26,040.00","25,950.00","25,900.00","25,950.00","0.90K","0.79%"
"03/31/2023","25,835.00","26,000.00","25,750.00","25,755.00","1.29K","-0.31%"
"03/30/2023","25,916.00","25,800.00","25,750.00","25,750.00","1.19K","0.40%"
"03/29/2023","25,814.00","26,000.00","25,950.00","26,000.00","1.35K","0.17%"
"03/28/2023","25,770.00","25,800.00","25,900.00","25,800.00","1.50K","1.37%"
"03/27/2023","25,421.00","25,500.00","25,450.00","25,475.00","1.33K","2.38%"
"03/24/2023","24,830.00","24,700.00","24,300.00","24,265.00","1.44K","1.98%"
"03/23/2023","24,348.00","24,000.00","23,850.00","23,850.00","1.78K","4.07%"
"03/22/2023","23,395.00","23,450.00","23,400.00","23,400.00","0.95K","1.55%"
"03/21/2023","23,039.00","23,200.00","23,175.00","23,175.00","1.09K","1.27%"
"03/20/2023","22,750.00","23,000.00","22,945.00","22,945.00","1.05K","1.07%"
"03/17/2023","22,510.00","22,500.00","22,475.00","22,500.00","1.19K","1.31%"
"03/16/2023","22,218.00","22,250.00","22,200.00","22,250.00","1.24K","-1.10%"
"03/15/2023","22,464.00","22,700.00","22,750.00","22,700.00","1.02K","-2.12%"
"03/14/2023","22,950.00","22,900.00","22,875.00","22,885.00","0.95K","-1.12%"
"03/13/2023","23,210.00","23,000.00","22,950.00","23,000.00","1.29K","1.30%"
"03/10/2023","22,912.00","22,600.00","22,590.00","22,600.00","1.13K","-1.88%"
"03/09/2023","23,351.00","23,250.00","23,250.00","23,250.00","1.18K","-1.65%"
"03/08/2023","23,742.00","23,625.00","23,600.00","23,625.00","1.58K","-1.80%"
"03/07/2023","24,177.00","24,500.00","24,400.00","24,450.00","0.77K","-1.54%"
"03/06/2023","24,555.00","24,550.00","24,600.00","24,500.00","1.13K","-0.79%"
"03/03/2023","24,750.00","24,350.00","24,305.00","24,305.00","1.32K","0.73%"
"03/02/2023","24,570.00","25,000.00","25,000.00","25,000.00","0.93K","-3.02%"
"03/01/2023","25,334.00","25,900.00","25,850.00","25,900.00","1.19K","1.49%"
"02/28/2023","24,963.00","25,450.00","25,300.00","25,350.00","1.18K","-2.02%"
"02/27/2023","25,478.00","25,350.00","25,325.00","25,350.00","1.44K","-0.67%"
"02/24/2023","25,651.00","26,050.00","25,950.00","26,050.00","1.10K","-1.99%"
"02/23/2023","26,171.00","26,650.00","26,645.00","26,645.00","1.43K","-2.52%"
"02/22/2023","26,848.00","27,100.00","27,000.00","27,000.00","1.02K","-2.46%"
"02/21/2023","27,526.00","27,100.00","27,100.00","27,100.00","1.22K","3.09%"
"02/20/2023","26,700.00","26,400.00","26,250.00","26,200.00","0.97K","3.26%"
"02/17/2023","25,856.00","26,550.00","26,545.00","26,550.00","1.14K","-4.25%"
"02/16/2023","27,004.00","26,900.00","26,940.00","26,850.00","0.79K","1.30%"
"02/15/2023","26,658.00","26,600.00","26,500.00","26,550.00","0.84K","-0.59%"
"02/14/2023","26,817.00","27,500.00","27,395.00","27,400.00","0.92K","-2.58%"
"02/13/2023","27,528.00","27,700.00","27,600.00","27,600.00","0.93K","0.65%"
"02/10/2023","27,349.00","27,700.00","27,750.00","27,700.00","0.91K","-1.43%"
"02/09/2023","27,745.00","27,750.00","27,725.00","27,750.00","0.78K","0.46%"
"02/08/2023","27,619.00","28,200.00","28,100.00","28,150.00","1.18K","2.02%"
"02/07/2023","27,071.00","27,100.00","27,000.00","27,100.00","0.70K","0.71%"
"02/06/2023","26,880.00","27,200.00","27,000.00","27,050.00","1.43K","-5.28%"
"02/03/2023","28,379.00","28,900.00","28,700.00","28,750.00","0.69K","-3.40%"
"02/02/2023","29,377.00","29,300.00","29,295.00","29,300.00","0.84K","1.96%"
"02/01/2023","28,813.00","29,650.00","29,600.00","29,600.00","0.89K","-2.30%"
"01/31/2023","29,490.00","29,300.00","29,200.00","29,300.00","1.09K","-1.07%"
"01/30/2023","29,809.00","29,850.00","29,650.00","29,700.00","1.31K","-3.34%"
"01/27/2023","30,838.00","32,200.00","32,095.00","32,100.00","1.04K","-4.41%"
"01/26/2023","32,262.00","31,500.00","31,350.00","31,400.00","0.98K","4.58%"
"01/25/2023","30,850.00","30,400.00","30,345.00","30,350.00","0.80K","2.97%"
"01/24/2023","29,960.00","30,000.00","29,950.00","29,950.00","0.37K","1.55%"
"01/23/2023","29,503.00","29,850.00","29,900.00","29,800.00","0.55K","-0.11%"
"01/20/2023","29,536.00","29,250.00","29,315.00","29,250.00","1.24K","2.56%"
"01/19/2023","28,800.00","28,750.00","28,650.00","28,700.00","1.02K","-1.03%"
"01/18/2023","29,100.00","28,900.00","28,600.00","28,625.00","1.31K","2.41%"
"01/17/2023","28,416.00","28,300.00","28,025.00","28,075.00","0.73K","-0.18%"
