Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,2478,2488,2486,2484,,-0.001
2023-06-15,2480.5,2465,2460,2458,28940,-0.0024
2023-06-14,2486.5,2447,2445,2443.5,34770,0.0441
2023-06-13,2381.5,2390,2382,2382,19320,0.0136
2023-06-12,2349.5,2368,2363,2363.5,19580,-0.0229
2023-06-09,2404.5,2410,2402.5,2402.5,24620,-0.0017
2023-06-08,2408.5,2375,2370,2371,25530,0.0042
2023-06-07,2398.5,2383,2380,2380,33780,0.0343
2023-06-06,2319,2300,2296,2298,23950,0.0133
2023-06-05,2288.5,2285,2276,2278,21700,-0.0078
2023-06-02,2306.5,2323,2321,2323,33380,0.0174
2023-06-01,2267,2295,2286,2286.5,26210,0.0082
2023-05-31,2248.5,2255,2250,2250,42270,-0.0235
2023-05-30,2302.5,2345,2340,2342,25330,-0.0175
2023-05-26,2343.5,2337,2336,2337,27230,0.0315
2023-05-25,2272,2233,2236,2233,41920,-0.0177
2023-05-24,2313,2320,2319.5,2320,23680,-0.0251
2023-05-23,2372.5,2373,2372,2373,26040,-0.0243
2023-05-22,2431.5,2442,2442,2442,22650,-0.0192
2023-05-19,2479,2502,2498,2500,30930,0.0081
2023-05-18,2459,2495,2490,2491,22440,-0.0258
2023-05-17,2524,2532,2530,2532,19360,0.0128
2023-05-16,2492,2495,2489,2491,25730,-0.0158
2023-05-15,2532,2575,2572,2574,15450,-0.0067
2023-05-12,2549,2540,2537,2538,24340,0.0004
2023-05-11,2548,2595,2588,2590,27530,-0.0288
2023-05-10,2623.5,2628.5,2627.5,2628.5,20520,-0.0189
2023-05-09,2674,2675,2673,2675,17720,-0.0047
2023-05-05,2686.5,2642,2635.5,2635.5,19400,0.0244
2023-05-04,2622.5,2618,2613,2613,19570,-0.0029
2023-05-03,2630,2620,2615,2613,16550,0.0079
2023-05-02,2609.5,2620,2619,2620,22610,-0.0144
2023-04-28,2647.5,2680,2678,2680,19430,0.0101
2023-04-27,2621,2615,2611,2611.5,24680,-0.0091
2023-04-26,2645,2618,2613,2613.5,24970,0.0173
2023-04-25,2600,2633,2632,2628,27240,-0.0262
2023-04-24,2670,2680,2678,2680,25430,-0.018
2023-04-21,2719,2746,2743.5,2744,28950,-0.0184
2023-04-20,2770,2761,2759,2761,34330,-0.0072
2023-04-19,2790,2770,2765,2766,34790,-0.0282
2023-04-18,2871,2848,2843,2845,14000,0.0138
2023-04-17,2832,2835,2834,2834.5,12870,-0.0086
2023-04-14,2856.5,2885,2880,2882,19810,0.0069
2023-04-13,2837,2820,2816,2818,17060,0.0187
2023-04-12,2785,2744,2740,2740,15510,0.01
2023-04-11,2757.5,2768,2762,2762,18800,-0.0077
2023-04-06,2779,2799,2794,2795,23510,-0.0038
2023-04-05,2789.5,2832,2830,2832,22390,-0.0148
2023-04-04,2831.5,2873,2873,2873,20120,-0.0231
2023-04-03,2898.5,2915,2908,2908,18130,-0.0082
2023-03-31,2922.5,2890,2885,2887,27880,-0.0032
2023-03-30,2932,2965,2958,2956,15210,-0.0121
2023-03-29,2968,2995,2990,2991,22120,0.0107
2023-03-28,2936.5,2907,2905,2907,13860,0.0084
2023-03-27,2912,2885,2880,2881,18480,0.0071
2023-03-24,2891.5,2895,2884,2885,16860,-0.0053
2023-03-23,2907,2870,2865,2867,18040,0.0143
2023-03-22,2866,2870,2865,2865,13870,0.0005
2023-03-21,2864.5,2870,2867,2867,26230,-0.0073
2023-03-20,2885.5,2905,2901,2900,19620,-0.0033
2023-03-17,2895,2910,2903,2905,22740,0.0131
2023-03-16,2857.5,2852,2850,2852,21280,-0.003
2023-03-15,2866,2850,2846,2847,31820,-0.015
2023-03-14,2909.5,2943,2937,2938,24020,-0.0126
2023-03-13,2946.5,2890,2882,2884,30450,0.0032
2023-03-10,2937,2925,2922.5,2923,23650,-0.0124
2023-03-09,2974,2960,2955,2953.5,15290,-0.0003
2023-03-08,2975,2972,2971,2972,22610,0.0071
2023-03-07,2954,2998,2992,2992,23660,-0.0259
2023-03-06,3032.5,3007,3005,3007,14970,-0.0146
2023-03-03,3077.5,3075,3066,3068,17870,0.0097
2023-03-02,3048,3060,3059,3059,20820,-0.0217
2023-03-01,3115.5,3074,3065,3065,25450,0.0383
2023-02-28,3000.5,2997.5,2997,2997,18020,0.004
2023-02-27,2988.5,3010,3005.5,3006,21260,0.0083
2023-02-24,2964,2992,2990,2989,,-0.0232
2023-02-23,3034.5,3065,3058,3060,15540,-0.0074
2023-02-22,3057,3082,3075.5,3076,18880,-0.025
2023-02-21,3135.5,3134,3133,3134,15860,0.003
2023-02-20,3126,3080,3075,3075.5,15950,0.0222
2023-02-17,3058,3006,3001,3000,25720,0.0181
2023-02-16,3003.5,3010,3007,3007,23870,-0.005
2023-02-15,3018.5,3052,3045,3047,16620,-0.0208
2023-02-14,3082.5,3116,3115,3115,19970,-0.0048
2023-02-13,3097.5,3035,3025,3021.5,25140,0.0181
2023-02-10,3042.5,3098,3095,3096,22080,-0.0258
2023-02-09,3123,3152,3150,3152,19460,-0.0029
2023-02-08,3132,3165,3160,3158.5,25450,-0.0014
2023-02-07,3136.5,3102,3094.5,3095,25520,0.0018
2023-02-06,3131,3175,3170,3169,22220,-0.0341
2023-02-03,3241.5,3330,3325.5,3326,21820,-0.0417
2023-02-02,3382.5,3335,3325,3325,21620,0.0099
2023-02-01,3349.5,3410,3408,3404,18690,-0.0117
2023-01-31,3389,3385,3381,3381,19600,-0.0165
2023-01-30,3446,3425,3420,3421,17860,0.0095
2023-01-27,3413.5,3490,3485,3486,14400,-0.0209
2023-01-26,3486.5,3479,3470,3470,15630,0.0106
2023-01-25,3450,3430,3420,3422,13740,0.0061
2023-01-24,3429,3410,3401,3401,14440,0.0025
2023-01-23,3420.5,3430,3422,3423,11780,0
2023-01-20,3420.5,3430,3425,3427,14660,-0.0107
2023-01-19,3457.5,3365,3361,3359,30210,0.0154
2023-01-18,3405,3400,3395,3397,28030,0.0334
2023-01-17,3295,3280,3275,3275,13130,-0.0029
2023-01-16,3304.5,3325,3316,3316,15620,-0.0059
2023-01-13,3324,3286,3281,3281.5,28050,0.0274
2023-01-12,3235.5,3200,3199,3200,23830,0.0089
2023-01-11,3207,3164,3163,3164,19440,0.0147
2023-01-10,3160.5,3182,3180,3177,24240,-0.014
2023-01-09,3205.5,3140,3132,3134,33150,0.0602
2023-01-06,3023.5,2985,2980,2982,20440,0.0062
2023-01-05,3005,3016,3013,3014,15880,0.0043
2023-01-04,2992,2955,2948,2950,14750,-0.0033
2023-01-03,3002,2977,2968,2970,16260,0.0099
2022-12-30,2972.5,3000,2990,2989,10570,-0.004
2022-12-29,2984.5,3005,2998,3000,10720,-0.007
2022-12-28,3005.5,3040,3033,3035,18000,0.0137
2022-12-23,2965,2968,2964,2964,15230,0.0058
2022-12-22,2948,2985,2982,2984,18120,-0.0204
2022-12-21,3009.5,3037,3035,3037,17460,-0.0237
2022-12-20,3082.5,3035,3028,3030,18130,0.0234
2022-12-19,3012,3040,3026,3026,19420,-0.002
