Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,2571,2608,2608,2563,3650,-0.0131
2023-06-15,2605,2528,2613,2528,7110,0.0288
2023-06-14,2532,2501,2547,2489,9180,0.0148
2023-06-13,2495,2446,2513,2437,5420,0.0221
2023-06-12,2441,2455,2476,2437,2680,-0.0085
2023-06-09,2462,2412,2469,2412,11160,0.0199
2023-06-08,2414,2399,2418,2388,8570,0.0096
2023-06-07,2391,2358,2396,2345,8380,0.0144
2023-06-06,2357,2355,2385,2352,11050,-0.0017
2023-06-05,2361,2340,2366,2333,7240,0.0085
2023-06-02,2341,2341,2349,2316,11210,0.0004
2023-06-01,2340,2349,2379,2334,7080,-0.0026
2023-05-31,2346,2350,2359,2340,5430,-0.0017
2023-05-30,2350,2362,2370,2345,4910,-0.0042
2023-05-26,2360,2365,2375,2355,6350,-0.0025
2023-05-25,2366,2356,2374,2351,5060,0.0047
2023-05-24,2355,2357,2368,2347,5510,-0.0013
2023-05-23,2358,2370,2389,2354,6890,-0.0059
2023-05-22,2372,2386,2414,2362,9130,-0.0108
2023-05-19,2398,2339,2405,2323,13750,0.0283
2023-05-18,2332,2303,2348,2303,8150,0.0126
2023-05-17,2303,2287,2310,2284,6930,0.0044
2023-05-16,2293,2252,2296,2246,7170,-0.0078
2023-05-15,2311,2413,2413,2404,160,-0.0423
2023-05-12,2413,2254,2485,2252,1410,0.0724
2023-05-11,2250,2245,2251,2238,1640,0.004
2023-05-10,2241,2233,2247,2220,1230,0.0049
2023-05-09,2230,2211,2233,2202,2870,0.0132
2023-05-05,2201,2190,2212,2186,2480,0.0046
2023-05-04,2191,2170,2200,2166,1770,0.0092
2023-05-03,2171,2194,2195,2168,1890,-0.01
2023-05-02,2193,2200,2224,2192,2250,-0.0054
2023-04-28,2205,2230,2230,2196,5720,-0.0059
2023-04-27,2218,2227,2238,2213,1710,-0.004
2023-04-26,2227,2228,2244,2204,2290,-0.0004
2023-04-25,2228,2260,2265,2225,3420,-0.0115
2023-04-24,2254,2283,2285,2248,3180,-0.0114
2023-04-21,2280,2260,2290,2258,3010,0.0093
2023-04-20,2259,2270,2275,2255,3590,-0.0048
2023-04-19,2270,2269,2279,2252,4280,0.0004
2023-04-18,2269,2242,2271,2232,4080,0.0116
2023-04-17,2243,2200,2245,2187,4400,0.0182
2023-04-14,2203,2190,2229,2190,6130,0.0055
2023-04-13,2191,2184,2205,2172,5500,0.0125
2023-04-12,2164,2192,2203,2164,6840,-0.0137
2023-04-11,2194,2191,2203,2171,7180,0.0037
2023-04-06,2186,2174,2203,2167,12330,0.0078
2023-04-05,2169,2137,2171,2134,13850,0.0145
2023-04-04,2138,2122,2147,2107,10890,0.008
2023-04-03,2121,2162,2162,2108,8670,-0.0176
2023-03-31,2159,2121,2165,2121,11530,0.0136
2023-03-30,2130,2117,2135,2084,8790,0.0042
2023-03-29,2121,2150,2152,2119,6350,-0.0093
2023-03-28,2141,2147,2148,2128,5710,-0.0005
2023-03-27,2142,2144,2156,2129,7580,0.0028
2023-03-24,2136,2124,2141,2112,9850,0.0075
2023-03-23,2120,2144,2146,2104,12160,-0.0121
2023-03-22,2146,2121,2150,2108,11950,0.0099
2023-03-21,2125,2108,2129,2101,8830,0.0109
2023-03-20,2102,2093,2109,2080,8840,0
2023-03-17,2102,2076,2115,2073,9850,0.0314
2023-03-16,2038,2147,2147,2147,140,-0.0034
2023-03-15,2045,2051,2064,2022,730,-0.0024
2023-03-14,2050,2011,2057,2002,1150,0.0164
2023-03-13,2017,2046,2049,2014,2280,-0.0161
2023-03-10,2050,2078,2080,2031,2330,-0.0177
2023-03-09,2087,2100,2102,2078,2570,-0.0048
2023-03-08,2097,2106,2115,2093,2000,-0.0033
2023-03-07,2104,2106,2109,2088,3100,0
2023-03-06,2104,2096,2110,2081,1830,0.0067
2023-03-03,2090,2122,2124,2086,3380,-0.0128
2023-03-02,2117,2140,2147,2114,3630,-0.0103
2023-03-01,2139,2105,2148,2105,2990,0.0176
2023-02-28,2102,2094,2108,2086,5850,0.0029
