Date,Price,Open,High,Low,Vol.,Change %
2023-05-15,344,337.1,344,335,30,0.0147
2023-05-12,339,345.5,360,339,70,-0.0174
2023-05-11,345,338,349.5,326.6,30,-0.0112
2023-05-10,348.9,345,355,342.6,40,0.0142
2023-05-09,344,357,357,339,40,-0.0391
2023-05-08,358,359,359.6,352,50,-0.0014
2023-05-05,358.5,353.7,363.7,353.6,120,0.0167
2023-05-04,352.6,341,366.4,340.5,120,0.025
2023-05-03,344,338.1,351.6,338.1,210,0.0088
2023-05-02,341,336.5,342,335.1,110,0
2023-05-01,341,345.6,348,339.5,130,-0.0307
2023-04-28,351.8,355.7,356.5,345.2,60,-0.0042
2023-04-27,353.3,348,353.8,336.1,170,0.0123
2023-04-26,349,363.7,364.7,348,160,-0.0404
2023-04-25,363.7,380,382.7,362.7,320,-0.0494
2023-04-24,382.6,391,393.7,382,190,-0.0389
2023-04-21,398.1,398.9,405.5,390,180,-0.001
2023-04-20,398.5,400.1,410.4,395.1,320,-0.0035
2023-04-19,399.9,400,402.9,394.5,250,-0.0089
2023-04-18,403.5,420.5,423.8,403.5,510,-0.0561
2023-04-17,427.5,416.6,439.8,416.5,660,0.0196
2023-04-14,419.3,416.7,421.4,409.1,480,0.0192
2023-04-13,411.4,387.6,411.5,387.6,320,0.0617
2023-04-12,387.5,386.1,389.8,384.1,90,0.006
2023-04-11,385.2,384.7,386,379.3,160,0.0065
2023-04-10,382.7,382.7,395.7,379.5,210,-0.0057
2023-04-06,384.9,381,385.9,372.7,160,0.0023
2023-04-05,384,379.5,391.2,375.6,270,0.0183
2023-04-04,377.1,376.1,378.1,373.4,150,0.0173
2023-04-03,370.7,374.3,379.4,370.2,210,-0.0019
2023-03-31,371.4,376.6,380.6,368.6,310,-0.0138
2023-03-30,376.6,377,384.8,373.1,260,0.0013
2023-03-29,376.1,383.4,383.5,373.8,380,-0.016
2023-03-28,382.2,397.5,397.5,382,450,-0.0395
2023-03-27,397.9,407.7,409.9,393.9,270,-0.0377
2023-03-24,413.5,411.1,416.5,406.3,230,0.0056
2023-03-23,411.2,428.8,431.3,407.6,270,-0.047
2023-03-22,431.5,441.4,441.4,425.7,290,-0.0209
2023-03-21,440.7,442.3,448.7,437,230,-0.0083
2023-03-20,444.4,450.1,468,440,400,-0.0157
2023-03-17,451.5,445,456.6,440,580,0.0294
2023-03-16,438.6,415,438.6,415,260,0.2622
2023-03-15,347.5,348.8,348.8,347,10,0.0102
2023-03-14,344,350.3,359.9,336.5,40,-0.0271
2023-03-13,353.6,353.9,358.5,350,60,-0.0067
2023-03-10,356,359,359,352.8,40,-0.0166
2023-03-09,362,362.5,370.1,362,60,-0.0041
2023-03-08,363.5,360,370,360,80,-0.0027
2023-03-07,364.5,365.2,367,361,180,-0.0149
