Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,265.65,268.85,268.85,260.65,1030,-0.0028
2023-06-15,266.4,257.15,266.4,257.15,740,0.039
2023-06-14,256.4,253.75,258.3,253.2,710,0.0093
2023-06-13,254.05,259.8,259.8,253.1,870,-0.0206
2023-06-12,259.4,261.05,261.2,258.35,570,0.0056
2023-06-09,257.95,259.95,263.35,257.05,640,-0.0015
2023-06-08,258.35,257.65,260.1,254.05,590,0.0027
2023-06-07,257.65,266.6,266.6,257,940,-0.035
2023-06-06,267,273,278.5,264.4,850,-0.0261
2023-06-05,274.15,279.25,280.5,272.5,790,-0.0205
2023-06-02,279.9,280.6,285.1,277.6,380,-0.0129
2023-06-01,283.55,284.25,286.2,275.8,500,0.0048
2023-05-31,282.2,280.7,288,280.25,400,-0.0004
2023-05-30,282.3,291.85,292.5,281.95,490,-0.0331
2023-05-26,291.95,293,294.55,289.5,370,0.005
2023-05-25,290.5,293.45,295,288.75,680,-0.0116
2023-05-24,293.9,285.75,295.9,278.95,1440,0.0248
2023-05-23,286.8,270,287.9,270,1820,0.0694
2023-05-22,268.2,256.45,268.2,256.4,620,0.0387
2023-05-19,258.2,253.05,259.45,253.05,430,0.0199
2023-05-18,253.15,251.95,255,251.55,410,0.0048
2023-05-17,251.95,255.1,255.2,250.3,200,-0.0123
2023-05-16,255.1,251.5,257.35,245.5,640,0.0167
2023-05-15,250.9,243.25,252.75,241.05,800,0.0336
2023-05-12,242.75,249.15,249.15,239.2,600,-0.0257
2023-05-11,249.15,248.3,253.3,248,330,-0.0651
2023-05-10,266.5,248.05,255.7,245,710,0.0008
2023-05-09,266.3,275,275,265,10,-0.0441
2023-05-08,278.6,280,280,279.8,,0.016
2023-05-05,274.2,266.48,271.85,265.9,,0.0118
2023-05-04,271,275.6,275.6,269.25,10,-0.0126
2023-05-03,274.45,270,274.4,270,10,0.0131
2023-05-02,270.9,270,272.35,270,230,-0.0037
2023-05-01,271.9,275.1,275.1,271.2,20,0.0163
2023-04-28,267.55,270.8,270.8,266.45,70,-0.0094
2023-04-27,270.1,272.5,272.5,261.5,270,-0.0224
2023-04-26,276.3,285,285,276.3,560,-0.0349
2023-04-25,286.3,279,287.9,278.5,430,0.0293
2023-04-24,278.15,275.5,280.05,275.45,650,0.0102
2023-04-21,275.35,274.85,282.9,274.25,500,0.0035
2023-04-20,274.4,272.85,278.3,271.7,1150,0.0094
2023-04-19,271.85,274.1,276.5,270.8,770,-0.0082
2023-04-18,274.1,272.85,280.25,271.6,960,0.0046
2023-04-17,272.85,276.15,276.3,269,960,-0.0073
2023-04-14,274.85,278.65,279.05,272.75,1760,-0.0198
2023-04-13,280.4,279.95,282.2,276.8,850,0.0083
2023-04-12,278.1,282.4,283.05,274.9,950,-0.0239
2023-04-11,284.9,279.5,287.5,276.1,940,0.0267
2023-04-10,277.5,275.25,280,274.05,530,0.0073
2023-04-06,275.5,284.25,285.7,272.3,630,-0.0237
2023-04-05,282.2,276.45,286.2,275.6,770,0.0199
2023-04-04,276.7,273.35,280.85,273,720,0.0152
2023-04-03,272.55,267.5,274.35,263.65,690,0.0113
2023-03-31,269.5,265.5,272.15,263.1,580,0.012
2023-03-30,266.3,266,271.45,258.6,740,0.0149
2023-03-29,262.4,255.25,262.4,254.3,450,0.0396
2023-03-28,252.4,248.35,256.2,248.2,350,-0.0006
2023-03-27,252.55,254.95,259.9,245.6,580,-0.0055
2023-03-24,253.95,243.1,253.95,242.15,980,0.041
2023-03-23,243.95,240.55,244.65,239,390,0.0146
2023-03-22,240.45,239.8,243.85,237.05,500,0.0082
2023-03-21,238.5,238,240.4,235.55,320,0.0015
2023-03-20,238.15,243.85,243.85,236.15,310,-0.0181
2023-03-17,242.55,243.85,244.2,237.5,340,0.0119
2023-03-16,239.7,242.65,244.85,238.1,310,-0.0019
2023-03-15,240.15,244.6,245.6,239.05,530,-0.0182
2023-03-14,244.6,234.85,244.9,234.7,430,-0.0705
2023-03-13,263.15,242.45,243.9,234.15,590,-0.0219
2023-03-10,269.05,272.6,272.6,263.5,30,-0.0154
2023-03-09,273.25,270,270,270,,0.0419
2023-03-08,262.25,272.05,272.05,272.05,,-0.028
2023-03-07,269.8,264,268,264,10,0.031
2023-03-06,261.7,263.35,263.35,263.35,,0.0138
2023-03-03,258.15,258,258,258,,0.0066
2023-03-02,256.45,261.7,261.7,256,20,-0.0479
2023-03-01,269.35,280.95,282.5,266.5,90,-0.0358
2023-02-28,279.35,276.5,282.5,275,300,0.0214
2023-02-27,273.5,256.5,273.5,256.35,420,0.0789
2023-02-24,253.5,243.55,253.5,243.1,560,0.0411
2023-02-23,243.5,241.9,246.55,240.75,450,0.0095
2023-02-22,241.2,236.05,242.5,235.2,620,0.0216
2023-02-21,236.1,239.15,239.95,233.45,880,-0.0171
2023-02-17,240.2,235.55,240.5,234.8,1030,0.0241
2023-02-16,234.55,230.95,236.5,230.25,940,0.0156
2023-02-15,230.95,232.5,234.15,228.65,1050,-0.0149
2023-02-14,234.45,230.5,236,229.45,1530,0.0069
2023-02-13,232.85,245.55,245.55,232.55,1950,-0.078
2023-02-10,252.55,260,260,252.55,1720,-0.0381
2023-02-09,262.55,256.15,266.95,256,1970,0.0218
2023-02-08,256.95,252,258.9,250.8,1100,0.0323
2023-02-07,248.9,244.1,253,243.6,1150,0.0236
2023-02-06,243.15,239.1,244.2,236.8,890,0.0058
2023-02-03,241.75,240.85,245.15,231.65,2000,0.0111
2023-02-02,239.1,230.55,244.75,230.55,2350,0.0432
2023-02-01,229.2,220.5,229.2,220.5,2240,0.0456
2023-01-31,219.2,209.45,219.3,209,1610,0.0473
2023-01-30,209.3,205.85,211.4,205.75,940,0.0173
2023-01-27,205.75,205.5,206.5,205.4,590,0.0012
2023-01-26,205.5,204.05,206.1,203.9,820,0.0069
2023-01-25,204.1,204.4,205,203.5,630,0.0015
2023-01-24,203.8,205.25,205.3,203.65,820,-0.0029
2023-01-23,204.4,204,207,202.8,790,0.0044
2023-01-20,203.5,203.85,203.85,203.15,780,-0.0034
2023-01-19,204.2,205.85,207.8,203.7,1170,-0.0066
2023-01-18,205.55,206.2,208.5,205.45,1000,-0.0032
2023-01-17,206.2,206.25,207.4,204.75,860,-0.0048
2023-01-13,207.2,207.45,213.8,206.85,870,-0.001
2023-01-12,207.4,208,208.2,206.55,600,-0.001
2023-01-11,207.6,207.5,208.5,206.5,480,-0.005
2023-01-10,208.65,207.4,207.75,206.05,380,-0.0012
2023-01-09,208.9,208.7,209,208.5,10,0.001
2023-01-06,208.7,207.35,209.25,207.35,10,0.0046
2023-01-05,207.75,204.25,206.35,204.15,670,0.0112
2023-01-04,205.45,205,205,205,,0.0086
2023-01-03,203.7,202.2,203,202.2,10,-0.0131
2022-12-30,206.4,206,209.4,205.05,30,0.0005
2022-12-29,206.3,203.2,213,203.2,180,0.0153
2022-12-28,203.2,204.5,206.45,199.65,360,-0.0064
2022-12-27,204.5,204.7,207.05,203.75,270,-0.0109
2022-12-23,206.75,212.45,212.6,205.35,460,-0.0183
2022-12-22,210.6,212.9,213.25,210.35,370,-0.0134
2022-12-21,213.45,209.8,214.5,209,700,0.0247
2022-12-20,208.3,207.85,209.65,206.5,530,0.0014
2022-12-19,208,207.25,212.85,207.6,1060,-0.0107
2022-12-16,210.25,207.2,213.95,206.35,1130,0.0147
2022-12-15,207.2,210.85,210.85,202.95,1130,-0.0143
2022-12-14,210.2,208.8,211.8,208.35,1330,0.012
2022-12-13,207.7,207.65,209.4,206.9,1000,-0.0072
2022-12-12,209.2,214.65,214.65,206.15,1610,-0.0277
2022-12-09,215.15,224.1,224.1,214.55,1090,-0.0406
2022-12-08,224.25,216.25,226.8,216.25,1370,0.0263
2022-12-07,218.5,208.9,218.5,208.25,1390,0.048
2022-12-06,208.5,205.8,208.95,205.5,680,0.0139
2022-12-05,205.65,204.25,206.9,203,600,0.0103
2022-12-02,203.55,197.6,204.3,197.6,620,0.0291
2022-12-01,197.8,200.25,201.75,197.5,1050,-0.0144
2022-11-30,200.7,205.05,205.7,200,740,-0.0212
2022-11-29,205.05,207,207,203.55,310,-0.0077
2022-11-28,206.65,210.6,210.65,204.7,410,-0.0197
2022-11-25,210.8,206.4,212.05,206.2,640,0.0213
2022-11-23,206.4,207.5,208.05,203.05,410,-0.0046
2022-11-22,207.35,205.75,208.3,204.75,250,0.0078
2022-11-21,205.75,203.15,206.75,201.05,450,0.0229
2022-11-18,201.15,201,203.65,199.4,490,0.0007
2022-11-17,201,201.85,202.9,198.65,430,-0.0081
2022-11-16,202.65,200.8,204.3,199.8,400,0.0235
2022-11-15,198,194.9,204.55,194.9,1170,0.0156
2022-11-14,194.95,202.55,203.3,194.7,970,-0.0411
2022-11-11,203.3,206.6,206.6,200.6,710,-0.0235
2022-11-10,208.2,213.75,213.75,206.9,890,-0.0902
2022-11-09,228.85,211.2,214.9,210.3,450,0.0135
2022-11-08,225.8,230.8,231,224,10,-0.0217
2022-11-07,230.8,212.85,219,212.05,500,0.0132
2022-11-04,227.8,210.15,215.75,210,440,0.0301
2022-11-03,221.15,221.15,221.15,221.15,,0.0561
2022-11-02,209.4,204.95,207.3,202.65,340,0.0082
2022-11-01,207.7,209,209,207.2,60,0.0065
2022-10-31,206.35,211.05,213.5,205,190,-0.0041
2022-10-28,207.2,207.45,209.75,204.95,150,0.0012
2022-10-27,206.95,215.5,216.85,206.2,470,-0.0426
2022-10-26,216.15,215,219.5,213.95,500,0.0032
2022-10-25,215.45,217.6,217.65,211.15,560,-0.0115
2022-10-24,217.95,210.4,218.75,210.4,530,0.0388
2022-10-21,209.8,211,211.7,209.05,800,-0.0066
2022-10-20,211.2,210,213.25,208.8,880,0.0019
2022-10-19,210.8,208.7,212,204.35,1410,0.0101
2022-10-18,208.7,199.7,209.15,199.3,1570,0.048
2022-10-17,199.15,196.8,200.75,196.8,760,0.0176
2022-10-14,195.7,193.25,196.8,193.1,1160,0.0095
2022-10-13,193.85,198.2,198.9,192.85,760,-0.02
2022-10-12,197.8,191,199.7,189.55,1200,0.0389
2022-10-11,190.4,186.65,191,186.15,830,0.0204
2022-10-10,186.6,193.15,193.5,186.05,680,-0.0324
2022-10-07,192.85,187.35,193.15,185.4,680,0.0258
2022-10-06,188,190.5,191.65,187.05,670,-0.0154
