Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,2796,2823,2854,2782,4230,-0.0029
2023-06-15,2804,2726,2829,2726,6890,0.029
2023-06-14,2725,2719,2733,2698,4500,0.0044
2023-06-13,2713,2706,2730,2695,6270,0.0026
2023-06-12,2706,2725,2770,2700,4510,-0.0081
2023-06-09,2728,2763,2822,2682,8600,-0.0116
2023-06-08,2760,2674,2769,2673,9060,0.0322
2023-06-07,2674,2619,2677,2618,10530,0.023
2023-06-06,2614,2614,2637,2591,10280,0.0027
2023-06-05,2607,2585,2611,2550,7660,0.0124
2023-06-02,2575,2611,2619,2568,9060,-0.0115
2023-06-01,2605,2570,2619,2562,8460,0.0192
2023-05-31,2556,2557,2564,2536,8870,-0.0023
2023-05-30,2562,2567,2592,2552,5920,-0.0047
2023-05-26,2574,2558,2599,2557,4720,0.0082
2023-05-25,2553,2565,2587,2549,5700,-0.0604
2023-05-24,2717,2555,2580,2546,5280,0
2023-05-23,2717,2810,2813,2810,30,-0.0237
2023-05-22,2783,2719,2779,2719,230,0.022
2023-05-19,2723,2690,2725,2690,130,0.0085
2023-05-18,2700,2695,2714,2685,60,-0.0063
2023-05-17,2717,2715,2715,2669,110,0.0161
2023-05-16,2674,2630,2687,2630,70,0.0125
2023-05-15,2641,2612,2621,2612,50,0.0229
2023-05-12,2582,2562,2598,2562,30,0.0137
2023-05-11,2547,2635,2635,2545,110,0.0266
2023-05-10,2481,2470,2487,2456,4200,0.0065
2023-05-09,2465,2452,2484,2446,6640,-0.0559
2023-05-05,2611,2583,2583,2583,70,0.0292
2023-05-04,2537,2556,2569,2545,20,-0.0067
2023-05-03,2554,2573,2573,2535,20,0.0031
2023-05-02,2546,2547,2547,2541,190,0.0043
2023-04-28,2535,2517,2530,2514,90,0.0032
2023-04-27,2527,2524,2537,2500,70,0.0008
2023-04-26,2525,2556,2608,2524,530,-0.0055
2023-04-25,2539,2559,2559,2520,320,-0.0098
2023-04-24,2564,2482,2602,2474,4910,0.0402
2023-04-21,2465,2437,2468,2427,2110,0.0094
2023-04-20,2442,2468,2474,2435,2710,-0.0105
2023-04-19,2468,2437,2480,2437,3990,0.0106
2023-04-18,2442,2440,2460,2390,5750,0.0008
2023-04-17,2440,2430,2442,2403,4080,0.012
2023-04-14,2411,2450,2452,2391,2680,-0.0135
2023-04-13,2444,2407,2470,2396,4890,0.0145
2023-04-12,2409,2407,2411,2375,4530,0.0025
2023-04-11,2403,2295,2406,2295,11230,0.0452
2023-04-06,2299,2308,2320,2284,5200,-0.0065
2023-04-05,2314,2254,2320,2250,6530,0.0266
2023-04-04,2254,2230,2258,2220,6090,0.0112
2023-04-03,2229,2215,2234,2210,5950,0.0104
2023-03-31,2206,2217,2243,2187,8600,-0.0045
2023-03-30,2216,2178,2224,2176,6250,0.0212
2023-03-29,2170,2196,2207,2160,6580,-0.0069
2023-03-28,2185,2221,2250,2180,10250,0.0102
2023-03-27,2163,2189,2238,2175,14900,0
2023-03-24,2163,2130,2195,2121,9990,0.0295
2023-03-23,2101,2096,2096,2096,,0.0067
2023-03-22,2087,2126,2145,2105,5750,-0.0118
2023-03-21,2112,2099,2141,2093,10100,0.0213
2023-03-20,2068,2038,2038,2011,10,0.0103
2023-03-17,2047,2060,2060,2060,,-0.0206
2023-03-16,2090,2058,2058,2058,,0.0155
2023-03-15,2058,2068,2068,2068,,-0.0058
2023-03-14,2070,2099,2099,2077,30,-0.0148
2023-03-13,2101,2128,2128,2100,20,-0.0085
2023-03-10,2119,2165,2172,2136,6550,-0.013
2023-03-09,2147,2160,2160,2150,10,0.0033
2023-03-08,2140,2152,2161,2138,5990,0.0023
2023-03-07,2135,2159,2162,2125,8810,-0.0005
2023-03-06,2136,2138,2138,2128,10,-0.0037
2023-03-03,2144,2156,2156,2156,,-0.0083
2023-03-02,2162,2169,2169,2154,20,0.0014
2023-03-01,2159,2135,2190,2119,11960,0.0179
2023-02-28,2121,2115,2117,2104,10,0.0028
2023-02-27,2115,2102,2109,2101,10,-0.0089
2023-02-24,2134,2132,2134,2122,70,-0.0033
2023-02-23,2141,2185,2185,2145,110,-0.0179
2023-02-22,2180,2116,2189,2113,3960,0.0327
2023-02-21,2111,2098,2113,2073,5040,0.0086
2023-02-20,2093,2081,2102,2074,3480,0.0038
2023-02-17,2085,2068,2092,2055,5480,0.0082
2023-02-16,2068,2050,2072,2048,2340,0.0098
2023-02-15,2048,2067,2067,2041,5500,-0.0092
2023-02-14,2067,2042,2074,2040,4020,0.0113
2023-02-13,2044,2046,2054,2025,3530,0.002
2023-02-10,2040,2041,2064,2034,2690,0.0015
2023-02-09,2037,2060,2068,2023,3790,-0.0126
2023-02-08,2063,2084,2092,2059,4220,-0.0091
2023-02-07,2082,2042,2084,2041,5800,0.0216
2023-02-06,2038,2030,2045,2020,7220,0.0034
2023-02-03,2031,2042,2049,2026,8730,-0.0088
2023-02-02,2049,2059,2092,2039,9910,-0.0019
2023-02-01,2053,2095,2108,2048,17170,-0.0256
2023-01-31,2107,2035,2112,2033,10250,0.0344
2023-01-30,2037,2035,2043,2029,11400,-0.0078
2023-01-27,2053,1996,2057,1990,15760,0.0296
2023-01-26,1994,1970,1996,1969,9300,-0.0094
2023-01-25,2013,2020,2020,1943,,0
2023-01-24,2013,2028,2033,2028,80,0.006
2023-01-23,2001,2025,2025,2025,,0.001
2023-01-20,1999,1922,1947,1911,8510,0.0178
2023-01-19,1964,1952,1967,1952,10,0.0067
2023-01-18,1951,1959,1959,1950,130,0.0021
2023-01-17,1947,1951,1951,1951,10,-0.0051
2023-01-16,1957,1977,1977,1936,,-0.0096
2023-01-13,1976,1976,1976,1974,20,0.018
2023-01-12,1941,1897,1897,1897,,0.0374
2023-01-11,1871,1873,1873,1866,,-0.0153
2023-01-10,1900,1927,1927,1923,10,-0.0104
2023-01-09,1920,1917,1918,1917,,0.0295
2023-01-06,1865,1833,1843,1804,6150,-0.0037
2023-01-05,1872,1870,1875,1826,5390,-0.0214
2023-01-04,1913,1861,1880,1855,11740,-0.0067
2023-01-03,1926,1879,1928,1879,120,0.0305
2022-12-30,1869,1897,1902,1860,70,-0.0148
2022-12-29,1897,1909,1909,1862,170,-0.0063
2022-12-28,1909,1947,1953,1905,650,-0.0255
2022-12-23,1959,1954,1969,1945,630,0.001
2022-12-22,1957,1976,1981,1953,4490,-0.0096
2022-12-21,1976,1958,1979,1954,5810,0.0102
2022-12-20,1956,1949,1960,1938,4280,0.0057
2022-12-19,1945,1933,1951,1928,5560,0.0062
2022-12-16,1933,1941,1952,1929,3110,-0.0067
2022-12-15,1946,1909,1953,1886,6500,0.0162
2022-12-14,1915,1891,1918,1890,4310,0.0122
2022-12-13,1892,1902,1909,1883,5270,-0.0058
2022-12-12,1903,1884,1917,1880,5380,0.0101
2022-12-09,1884,1923,1926,1880,8310,-0.0177
2022-12-08,1918,1920,1935,1908,4950,0
2022-12-07,1918,1920,1934,1912,6200,0.001
2022-12-06,1916,1901,1932,1895,9190,0.009
2022-12-05,1899,1883,1906,1883,5350,0.0058
2022-12-02,1888,1880,1905,1872,6600,-0.0021
2022-12-01,1892,1889,1928,1883,16490,0.0026
2022-11-30,1887,1862,1889,1859,10250,0.0151
2022-11-29,1859,1855,1873,1835,8770,0.0022
2022-11-28,1855,1857,1868,1843,6060,-0.0011
2022-11-25,1857,1842,1869,1837,7310,0.0226
2022-11-24,1816,1813,1846,1802,3810,0
2022-11-23,1816,1869,1869,1868,50,-0.0237
2022-11-22,1860,1817,1839,1816,7300,0.012
2022-11-21,1838,1814,1819,1793,4530,0.006
2022-11-18,1827,1847,1847,1847,,-0.0038
2022-11-17,1834,1780,1828,1769,10170,0.0144
2022-11-16,1808,1806,1817,1774,5450,-0.0055
2022-11-15,1818,1822,1822,1796,6950,-0.012
2022-11-14,1840,1830,1831,1830,,-0.0065
2022-11-11,1852,1835,1868,1835,10,0.0005
2022-11-10,1851,1845,1845,1838,10,0.0016
2022-11-09,1848,1820,1850,1820,,-0.0011
2022-11-08,1850,1855,1874,1855,70,-0.0107
2022-11-07,1870,1900,1900,1870,150,-0.0148
2022-11-04,1898,1900,1917,1900,10,0.0112
2022-11-03,1877,1908,1908,1865,80,-0.0204
2022-11-02,1916,1870,1920,1870,10,0.0351
2022-11-01,1851,1863,1865,1826,7300,-0.0139
2022-10-31,1877,1887,1900,1882,20,0.0032
2022-10-28,1871,1900,1910,1882,40,-0.0194
2022-10-27,1908,1906,1926,1903,100,0.0063
2022-10-26,1896,1951,1972,1894,280,-0.0282
2022-10-25,1951,1965,1976,1929,4620,-0.0031
2022-10-24,1957,2001,2027,1952,3670,-0.022
2022-10-21,2001,2039,2040,1987,5010,-0.0215
2022-10-20,2045,2013,2066,1997,5390,0.0164
2022-10-19,2012,2055,2055,1977,4850,-0.0219
2022-10-18,2057,2066,2077,2051,4680,-0.0034
2022-10-17,2064,2067,2075,2046,6790,0.0015
2022-10-14,2061,2102,2108,2059,8390,-0.0181
2022-10-13,2099,2144,2147,2092,7640,-0.0201
2022-10-12,2142,2169,2171,2138,4670,-0.0111
2022-10-11,2166,2159,2182,2148,4960,0.0037
2022-10-10,2158,2155,2161,2140,6400,0.0014
2022-10-07,2155,2138,2161,2135,5510,0.007
2022-10-06,2140,2165,2179,2134,9090,-0.0152
2022-10-05,2173,2170,2183,2158,6340,0.0005
2022-10-04,2172,2184,2193,2164,5540,-0.0005
2022-10-03,2173,2150,2181,2150,6880,0.0093
2022-09-30,2153,2174,2179,2151,7330,-0.0133
2022-09-29,2182,2208,2213,2174,5430,-0.0118
2022-09-28,2208,2175,2216,2159,8480,0.0128
2022-09-27,2180,2216,2225,2177,7370,-0.0264
2022-09-26,2239,2224,2248,2191,8600,0
2022-09-23,2239,2233,2233,2233,,-0.0004
