Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,702.5,688,703.3,686.5,4840,0.0255
2023-06-15,685,687.8,695,679,6250,-0.0031
2023-06-14,687.1,682.2,688.6,675,3350,0.0104
2023-06-13,680,684.1,690.1,677,3500,-0.0067
2023-06-12,684.6,680.9,695,678.1,3900,0.0054
2023-06-09,680.9,694.4,700.5,678.2,6370,-0.0115
2023-06-08,688.8,671,692.6,669.8,4640,0.0293
2023-06-07,669.2,673.3,677.6,666.5,3950,-0.0025
2023-06-06,670.9,678.6,681.3,665.7,7540,-0.0081
2023-06-05,676.4,689,696.2,675.7,5300,-0.0141
2023-06-02,686.1,690.2,693,683.7,5550,-0.0058
2023-06-01,690.1,701.7,703.6,689.7,6210,-0.0086
2023-05-31,696.1,703.3,705.6,695.1,5340,-0.0151
2023-05-30,706.8,708.4,718,702.3,3230,-0.0024
2023-05-26,708.5,700.8,714.8,693.5,4100,0.0165
2023-05-25,697,705.3,705.9,691.6,6930,-0.0155
2023-05-24,708,712,717.3,705.5,3940,-0.0076
2023-05-23,713.4,714.6,722,712.5,3300,0.0007
2023-05-22,712.9,714,715.4,706.7,2380,0.0041
2023-05-19,710,709.2,717.1,707.9,3150,0.0048
2023-05-18,706.6,710.8,713.7,703,3450,-0.0072
2023-05-17,711.7,716.8,719.4,704.8,5300,-0.0046
2023-05-16,715,718,726.9,713.3,3470,-0.0027
2023-05-15,716.9,718.5,719.7,707.6,3060,0.0025
2023-05-12,715.1,709.8,718.3,707.6,3720,0.0139
2023-05-11,705.3,717.3,721.8,705,3270,-0.018
2023-05-10,718.2,710.3,720.3,706.1,2500,0.0128
2023-05-09,709.1,712.4,715.7,703.5,3480,-0.0092
2023-05-05,715.7,702.3,719.3,697.2,3520,0.0257
2023-05-04,697.8,687.3,699.5,685,3470,0.0148
2023-05-03,687.6,695,696.1,685.7,5020,-0.0087
2023-05-02,693.6,699.6,713.5,689.3,6760,-0.0253
2023-04-28,711.6,723.3,725,707.5,7240,-0.0118
2023-04-27,720.1,693.3,730.5,693,12200,0.036
2023-04-26,695.1,705.7,711.8,693.4,6010,-0.0142
2023-04-25,705.1,687.7,711.3,683,8350,0.0217
2023-04-24,690.1,675.1,694.4,675.1,9060,0.0203
2023-04-21,676.4,695.5,695.5,674.8,7700,-0.0277
2023-04-20,695.7,680.3,697.3,676,6000,0.0229
2023-04-19,680.1,678.4,687.9,677.5,4100,0.0059
2023-04-18,676.1,666.4,678.3,665,3790,0.0114
2023-04-17,668.5,671.2,676,665,3910,-0.0212
2023-04-14,683,692,696.3,675,720,-0.0104
2023-04-13,690.2,696.3,706.7,687.8,3610,-0.0053
2023-04-12,693.9,706,706.9,693,5330,-0.0122
2023-04-11,702.5,679,706.7,679,11080,0.0435
2023-04-06,673.2,665.5,676.5,651,7610,0.014
2023-04-05,663.9,638,668.5,634.9,12260,0.0426
2023-04-04,636.8,631,638,629.3,8350,0.0054
2023-04-03,633.4,635,643,632,9290,0.0049
2023-03-31,630.3,630,633.1,620.9,8300,-0.0006
2023-03-30,630.7,620,634.8,618.9,8770,0.0199
2023-03-29,618.4,618,619.1,610.8,8980,0.0036
2023-03-28,616.2,607,619.4,605.6,7620,0.021
2023-03-27,603.5,598.3,609,597,4340,0.0099
2023-03-24,597.6,597.8,600,594.1,3480,-0.0003
2023-03-23,597.8,603.9,608.1,596,6090,-0.0101
2023-03-22,603.9,590.5,605.6,590.3,7890,0.0239
2023-03-21,589.8,582.7,590.7,581,4090,0.0158
2023-03-20,580.6,582.7,584.8,580,2720,-0.0077
2023-03-17,585.1,588.2,590.7,581.5,3280,-0.0009
2023-03-16,585.6,581.8,589,577.1,4600,0.009
2023-03-15,580.4,580,583,577.1,5000,-0.0015
2023-03-14,581.3,582,587.7,580.3,4640,-0.0022
2023-03-13,582.6,589.2,589.2,580.1,5360,-0.0124
2023-03-10,589.9,590,592.4,582,4090,-0.0041
2023-03-09,592.3,584.7,594.9,581.6,4370,0.0108
2023-03-08,586,588.2,588.4,582.9,3380,-0.0037
2023-03-07,588.2,581.5,591.3,580.9,5850,0.0136
2023-03-06,580.3,590,590,577.2,6630,-0.0148
2023-03-03,589,576,589.8,575.1,5560,0.0283
2023-03-02,572.8,576.1,580,568.4,4980,-0.0054
2023-03-01,575.9,564.8,576.7,562,4740,0.024
2023-02-28,562.4,572.3,577.2,561.5,6210,-0.0156
2023-02-27,571.3,562,573.9,560.5,5750,0.0165
2023-02-24,562,575.9,576.2,561,7190,-0.0221
2023-02-23,574.7,567.5,578.3,566.1,5240,0.0136
2023-02-22,567,567.9,572.5,565.7,3430,-0.0033
2023-02-21,568.9,572.2,575,567.3,4730,-0.0018
2023-02-20,569.9,569.4,574.3,567.7,1450,0.0033
2023-02-17,568,566.7,572.3,565.3,3030,0.0007
2023-02-16,567.6,567.3,572.7,564.1,5360,0.0028
2023-02-15,566,568.4,568.4,562.2,3750,-0.0065
2023-02-14,569.7,560,570.3,560,5370,0.0119
2023-02-13,563,577,577,559.4,2030,-0.0137
2023-02-10,570.8,575,579.9,567.7,2760,-0.0026
2023-02-09,572.3,572.1,578.3,565.9,3880,0.006
2023-02-08,568.9,558.4,570.2,555.3,6050,0.0188
2023-02-07,558.4,552.6,561.1,548.4,6330,0.016
2023-02-06,549.6,553,554.9,547,8460,-0.0031
2023-02-03,551.3,565,566.6,549,7920,-0.0273
2023-02-02,566.8,560,569,553.7,7790,0.0073
2023-02-01,562.7,582.8,583.4,560.5,12870,-0.031
2023-01-31,580.7,570.2,581.6,569.2,8400,0.0211
2023-01-30,568.7,562.4,569.6,555.5,8690,0.0112
2023-01-27,562.4,555,563.8,553.9,5600,0.0133
2023-01-26,555,546,560,546,5680,0.0146
2023-01-25,547,549.2,549.2,542,5390,-0.0013
2023-01-24,547.7,547.2,549.5,542.5,5650,0.0005
2023-01-23,547.4,544,552.3,543.6,3240,0.0018
2023-01-20,546.4,546,548,541.3,3600,-0.0002
2023-01-19,546.5,550.2,552.3,544.4,4360,-0.0092
2023-01-18,551.6,560,562.1,549.3,5090,-0.0166
2023-01-17,560.9,552.8,562.2,548.7,6650,0.0141
2023-01-16,553.1,552.2,555,551.3,1950,0.0106
2023-01-13,547.3,539,549.4,536.5,3600,0.0148
2023-01-12,539.3,545.8,546.6,537.2,4680,-0.0086
