Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,3236,3257,3269,3212,31030,-0.008
2023-06-15,3262,3220,3271,3204,40560,0.0229
2023-06-14,3189,3182,3225,3142,22390,0.0009
2023-06-13,3186,3141,3261,3141,20200,0.0159
2023-06-12,3136,3170,3188,3129,17950,-0.0138
2023-06-09,3180,3162,3182,3142,27190,0.0098
2023-06-08,3149,3104,3169,3090,26980,0.0148
2023-06-07,3103,3038,3109,3028,43640,0.019
2023-06-06,3045,3063,3096,3040,52110,-0.0036
2023-06-05,3056,3020,3065,3002,28780,0.0099
2023-06-02,3026,3003,3034,2991,25530,0.006
2023-06-01,3008,3017,3047,3002,34420,0.0003
2023-05-31,3007,3000,3031,2993,26450,0.0007
2023-05-30,3005,2991,3028,2991,19320,0.0047
2023-05-26,2991,3017,3038,2988,25350,-0.0086
2023-05-25,3017,3008,3028,2992,16180,0.0023
2023-05-24,3010,3010,3034,2985,19260,-0.002
2023-05-23,3016,3021,3049,3009,16990,-0.0023
2023-05-22,3023,3074,3079,3019,24530,-0.0147
2023-05-19,3068,2988,3074,2971,31230,0.0257
2023-05-18,2991,3000,3030,2985,21180,-0.003
2023-05-17,3000,2989,3012,2968,14460,0.0017
2023-05-16,2995,2980,3008,2974,19380,-0.0522
2023-05-15,3160,2975,2991,2945,21300,-0.0205
2023-05-12,3226,3244,3279,3244,50,-0.0049
2023-05-11,3242,3269,3269,3200,10,-0.0055
2023-05-10,3260,3269,3277,3263,10,0.0096
2023-05-09,3229,3235,3242,3235,10,0.0157
2023-05-08,3179,3188,3195,3178,,0.0225
2023-05-05,3109,2918,2946,2911,19970,0.0187
2023-05-04,3052,2867,2926,2862,24200,0.0126
2023-05-03,3014,3100,3101,2988,40,-0.0371
2023-05-02,3130,3125,3125,3125,10,-0.0129
2023-05-01,3171,3200,3200,3200,20,-0.0009
2023-04-28,3174,3137,3178,3137,10,0.0076
2023-04-27,3150,3171,3171,3171,10,-0.0082
2023-04-26,3176,3165,3189,3164,20,0.0086
2023-04-25,3149,3200,3200,3117,40,-0.0169
2023-04-24,3203,3207,3209,3152,110,0.0101
2023-04-21,3171,3103,3221,3074,3090,0.0272
2023-04-20,3087,3079,3103,3057,8690,0.0026
2023-04-19,3079,3066,3085,3038,9110,0.0082
2023-04-18,3054,3015,3072,2991,9880,0.017
2023-04-17,3003,2979,3013,2974,9770,0.0064
2023-04-14,2984,3002,3043,2964,11070,-0.006
2023-04-13,3002,2982,3017,2960,13410,0.0162
2023-04-12,2954,2978,2998,2941,21050,-0.0104
2023-04-11,2985,2923,2994,2920,45870,0.0216
2023-04-10,2922,2919,2934,2864,28420,0.001
2023-04-06,2919,2919,2936,2902,59230,0.0055
2023-04-05,2903,2921,2922,2886,36590,-0.0038
2023-04-04,2914,2867,2925,2858,40760,0.016
2023-04-03,2868,2927,2929,2851,35390,-0.0222
2023-03-31,2933,2917,2963,2905,29950,0.0055
2023-03-30,2917,2873,2927,2848,36610,0.0128
2023-03-29,2880,2900,2903,2874,21730,-0.0072
2023-03-28,2901,2903,2922,2888,23740,-0.0003
2023-03-27,2902,2881,2923,2867,28450,0.0062
2023-03-24,2884,2851,2892,2849,25490,0.0056
2023-03-23,2868,2873,2888,2843,34480,-0.0021
2023-03-22,2874,2816,2878,2816,39680,0.0202
2023-03-21,2817,2788,2823,2781,32440,0.0115
2023-03-20,2785,2715,2796,2713,33310,0.0172
2023-03-17,2738,2695,2746,2695,32960,0.0301
2023-03-16,2658,2624,2691,2618,35890,0.0278
2023-03-15,2586,2655,2658,2604,32310,-0.016
2023-03-14,2628,2606,2606,2600,10,0.0057
2023-03-13,2613,2696,2696,2639,39170,-0.0228
2023-03-10,2674,2675,2678,2638,,-0.0212
2023-03-09,2732,2728,2743,2719,17490,0.0011
2023-03-08,2729,2750,2763,2722,19190,-0.0098
2023-03-07,2756,2789,2795,2739,20580,-0.0125
2023-03-06,2791,2774,2804,2744,21670,0.0223
2023-03-03,2730,2744,2749,2720,,-0.0109
2023-03-02,2760,2769,2815,2730,60,-0.0143
2023-03-01,2800,2830,2831,2830,,0.0189
2023-02-28,2748,2757,2804,2748,21680,0.0122
2023-02-27,2715,2743,2793,2735,22650,-0.012
2023-02-24,2748,2768,2778,2738,18960,-0.0079
2023-02-23,2770,2767,2788,2746,19700,-0.0032
2023-02-22,2779,2786,2799,2759,24040,0.0172
2023-02-21,2732,2738,2760,2717,6290,0.0037
2023-02-17,2722,2715,2750,2710,4350,0.0081
2023-02-16,2700,2702,2735,2674,6290,0.003
2023-02-15,2692,2653,2730,2646,7390,0.0271
2023-02-14,2621,2630,2660,2605,5300,0
2023-02-13,2621,2583,2634,2580,9410,0.0222
2023-02-10,2564,2575,2587,2530,9360,-0.0054
2023-02-09,2578,2573,2599,2546,13700,-0.0004
2023-02-08,2579,2592,2602,2570,26280,-0.0008
