Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,184.9,187.7,188.3,184.3,8150,-0.0112
2023-06-15,187,184.75,188.05,184.7,9260,0.0141
2023-06-14,184.4,182.55,184.75,181.25,7870,0.009
2023-06-13,182.75,185.7,186.75,181.9,12750,-0.0151
2023-06-12,185.55,190.25,192.4,185.05,18580,-0.0268
2023-06-09,190.65,196.6,196.6,188.8,38480,-0.0216
2023-06-08,194.85,186.2,196.15,184.6,34150,0.051
2023-06-07,185.4,183.6,186.6,182.65,28690,0.0153
2023-06-06,182.6,183.1,184.9,181.55,19020,-0.0027
2023-06-05,183.1,179.95,183.7,179.35,18230,0.0155
2023-06-02,180.3,183.3,187.8,179.05,27030,-0.015
2023-06-01,183.05,179.65,184.7,179.5,22530,0.0246
2023-05-31,178.65,177.15,179.8,175.55,24940,0.0088
2023-05-30,177.1,180.05,181.75,175.9,27460,-0.0248
2023-05-26,181.6,182.8,184.8,180.3,19570,-0.006
2023-05-25,182.7,188.2,188.4,181.65,24480,-0.0282
2023-05-24,188,188.05,189.4,186.6,13610,0.0029
2023-05-23,187.45,189.25,190.3,185.7,16810,-0.0092
2023-05-22,189.2,191,193.75,186.55,22890,-0.0146
2023-05-19,192,186.2,194.4,186.2,23730,0.0081
2023-05-18,190.45,186.15,187,183.35,12730,0.0032
2023-05-17,189.85,189.5,189.5,189.5,,-0.0026
2023-05-16,190.35,196,196.55,196,10,-0.014
2023-05-15,193.05,192.45,192.45,192.45,10,0.0379
2023-05-12,186,185,186.75,185,30,0.0011
2023-05-11,185.8,186,186.1,185.5,10,-0.0088
2023-05-10,187.45,189.3,189.3,189.3,,-0.0029
2023-05-09,188,187.7,189.3,184.55,20,0.0059
2023-05-08,186.9,188.05,189.95,183.45,15390,-0.0215
2023-05-05,191,183.7,189.25,182.8,23960,0.0247
2023-05-04,186.4,188,188,184.5,140,-0.0148
2023-05-03,189.2,188.1,188.1,185.85,140,-0.0076
2023-05-02,190.65,188.1,188.75,187.9,20,0.0074
2023-05-01,189.25,188.25,188.25,187.1,10,-0.0032
2023-04-28,189.85,189.5,190.35,189.1,40,-0.0117
2023-04-27,192.1,192.8,192.8,192.1,20,-0.0191
2023-04-26,195.85,194.15,195.85,194.15,10,0.0177
2023-04-25,192.45,191,192.25,191,10,-0.0219
2023-04-24,196.75,196.35,196.85,195,10,0.0131
2023-04-21,194.2,197.15,197.15,193.5,80,-0.0087
2023-04-20,195.9,199.2,199.65,194.75,230,-0.0328
2023-04-19,202.55,203.5,207.45,199.75,6870,-0.0132
2023-04-18,205.25,201,206.95,198.35,9420,0.0211
2023-04-17,201,194,201.5,193.5,9530,0.0393
2023-04-14,193.4,195.65,199.65,192.85,11460,-0.0138
2023-04-13,196.1,190,199.7,189.35,35200,0.0307
2023-04-12,190.25,188.9,191.35,187.6,27160,-0.0013
2023-04-11,190.5,183.45,191.2,183,33560,0.0433
2023-04-10,182.6,183.6,186.8,181.6,22690,-0.0054
2023-04-06,183.6,179.55,184.55,177.95,27060,0.0192
2023-04-05,180.15,175.2,181.5,175.2,23600,0.0303
2023-04-04,174.85,176.1,177.45,173.1,17850,-0.0079
2023-04-03,176.25,171.3,178.35,171.25,25790,0.0337
2023-03-31,170.5,170,171.7,166.15,32080,0.0041
2023-03-30,169.8,171,172.5,168.15,27280,0.0006
2023-03-29,169.7,174.7,175.25,168.6,25130,-0.0233
2023-03-28,173.75,177.5,178.7,173.5,19190,-0.0178
2023-03-27,176.9,178.5,184,175.95,23740,-0.0131
2023-03-24,179.25,174.8,179.85,172.6,18110,0.0284
2023-03-23,174.3,178.75,179.4,173.9,14590,-0.0208
2023-03-22,178,179.55,181.1,176.7,13550,-0.0466
2023-03-21,186.7,179.35,182.85,178.85,13970,0.0097
2023-03-20,184.9,174.6,178.8,173.35,13590,0.0104
2023-03-17,183,181.65,182.25,181.65,70,-0.0135
2023-03-16,185.5,174.3,181.4,173.5,22990,0.0418
2023-03-15,178.05,177.25,177.25,177.25,,-0.0158
2023-03-14,180.9,178.7,179.05,175.1,12790,-0.0126
2023-03-13,183.2,175,183.7,175,,0.0052
2023-03-10,182.25,180.05,182.35,180.05,30,0.0411
2023-03-09,175.05,176.6,177.45,173.9,19140,-0.013
2023-03-08,177.35,182,183.05,175.75,20630,-0.0285
2023-03-07,182.55,181.15,183.45,177.5,17860,0.0125
2023-03-06,180.3,178.05,181.45,176.4,14790,-0.0028
2023-03-03,180.8,181,181.7,180.4,10,-0.0171
2023-03-02,183.95,185,186.4,180.55,18460,-0.0073
2023-03-01,185.3,188,188,185,50,-0.0268
2023-02-28,190.4,186.8,189.85,184.9,17470,-0.0016
2023-02-27,190.7,189.9,189.9,189.75,,0.016
2023-02-24,187.7,189.4,190,185.9,14650,-0.0105
2023-02-23,189.7,193.35,193.35,188.25,20100,-0.0189
2023-02-22,193.35,190.5,194.15,189.1,21670,-0.0057
2023-02-21,194.45,188.3,197.3,188.3,120,0.0305
2023-02-17,188.7,180.85,189.85,179.95,320,0.0443
2023-02-16,180.7,178.25,183.25,176.75,4540,0.0218
2023-02-15,176.85,181.9,182.75,175.25,10890,-0.0365
2023-02-14,183.55,178,184,177.55,13230,0.0367
2023-02-13,177.05,174.5,179.75,174,18230,0.0132
2023-02-10,174.75,174.7,177.2,174,26850,0.0063
2023-02-09,173.65,175.9,177.05,172.05,25230,-0.0111
2023-02-08,175.6,177,177.6,174.3,28500,-0.0082
2023-02-07,177.05,177.15,178.5,172.95,37400,0.0077
2023-02-06,175.7,172.55,176.95,171.25,24700,0.0168
2023-02-03,172.8,176.4,177.9,172.05,27220,-0.0287
2023-02-02,177.9,177,181.35,176.55,20530,0.0114
2023-02-01,175.9,180.3,184.2,175.55,31810,-0.0322
2023-01-31,181.75,170.05,182.8,169.85,46690,0.0666
2023-01-30,170.4,168,171.65,167.05,25650,0.0029
2023-01-27,169.9,167.1,170.15,165.95,26800,0.0165
2023-01-26,167.15,162.65,167.75,162.45,24860,0.0289
2023-01-25,162.45,160,163.3,159.6,18750,0.0163
2023-01-24,159.85,158.95,161.25,156.85,21920,0.0082
2023-01-23,158.55,154.75,159.95,154.5,25540,0.0242
2023-01-20,154.8,154.45,155.4,151.85,12910,0.0013
2023-01-19,154.6,154.5,157.55,153.6,18130,-0.0026
2023-01-18,155,151.55,156.05,151.5,18100,0.0258
2023-01-17,151.1,150.5,152.1,148.5,16460,-0.004
2023-01-13,151.7,150.55,152.35,147,23810,0.0154
2023-01-12,149.4,143.9,150.75,143.9,30550,0.0382
2023-01-11,143.9,149.8,150.5,142.05,37940,-0.0464
2023-01-10,150.9,157,158.05,149.1,36500,-0.0452
2023-01-09,158.05,158.3,161.2,156.4,23890,-0.0016
2023-01-06,158.3,160.1,162.55,157.15,16250,-0.014
2023-01-05,160.55,162.25,163.15,159.5,15420,-0.0046
2023-01-04,161.3,167.25,167.95,159.25,21950,-0.0301
2023-01-03,166.3,166.45,171.15,164.65,18910,-0.006
2022-12-30,167.3,169.1,172.45,165.15,13420,-0.0162
2022-12-29,170.05,172.95,173.4,169.25,10620,-0.0202
2022-12-28,173.55,166.75,174.95,166.7,16430,0.0395
2022-12-27,166.95,171,171,165.7,10950,-0.0294
2022-12-23,172,168.9,172.65,168.8,9140,0.0184
2022-12-22,168.9,169.1,170.2,165.15,10470,-0.0027
2022-12-21,169.35,168.5,170.35,167.1,10140,0.0092
2022-12-20,167.8,164.5,169.65,164.2,12860,0.0229
2022-12-19,164.05,163.95,167.1,162.55,12460,-0.0006
2022-12-16,164.15,171.65,173.8,163.8,18950,-0.0429
2022-12-15,171.5,166.7,173.1,166.25,16990,0.019
2022-12-14,168.3,167,169.6,166.5,100,0.0069
2022-12-13,167.15,165.5,165.5,165,30,0.0048
2022-12-12,166.35,156.3,156.5,155,20,0.0545
2022-12-09,157.75,158.5,158.5,157,40,0.0054
2022-12-08,156.9,158.5,158.5,157,10,-0.0051
2022-12-07,157.7,163.85,164.85,159.05,19570,-0.0208
2022-12-06,161.05,161.1,161.1,161.1,,0.0056
2022-12-05,160.15,162.25,165.1,162,12500,0
2022-12-02,160.15,159.65,161.45,159.65,10,-0.0196
2022-12-01,163.35,170,170.45,170,,-0.0259
2022-11-30,167.7,167.5,167.5,167.5,,0.006
2022-11-29,166.7,161.95,169.5,161.5,15170,0.0377
2022-11-28,160.65,162.9,162.9,160.85,,-0.0177
2022-11-25,163.55,162.3,162.3,162.3,10,0.0215
2022-11-23,160.1,163.85,163.85,160.2,20,-0.0105
2022-11-22,161.8,160,162.25,160,10,0.0273
2022-11-21,157.5,151.5,159,150.45,300,0.041
2022-11-18,151.3,153.65,157.05,150.75,4250,-0.0092
2022-11-17,152.7,154.9,156.15,150.6,6070,-0.0177
