Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,81.46,80.53,81.98,80.53,6830,0.0102
2023-06-15,80.64,82.05,82.06,80.5,7680,-0.0141
2023-06-14,81.79,82.72,82.9,81.7,7330,-0.0112
2023-06-13,82.72,83.53,84.27,82.6,11120,-0.0092
2023-06-12,83.49,84.1,84.1,83.08,14450,-0.0065
2023-06-09,84.04,84.31,84.63,83.77,20290,-0.0032
2023-06-08,84.31,85,86.96,84.11,27980,-0.0082
2023-06-07,85.01,85.33,85.5,84.06,20250,-0.0039
2023-06-06,85.34,84.69,85.71,84.48,17010,0.0065
2023-06-05,84.79,85.99,86.45,84.38,20750,-0.0146
2023-06-02,86.05,86.42,87.16,85.5,16760,-0.0043
2023-06-01,86.42,83.77,86.89,83.55,26190,0.0352
2023-05-31,83.48,84.49,84.49,82.56,19750,-0.0061
2023-05-30,83.99,83.64,86.54,82.76,26840,0.0077
2023-05-26,83.35,80.11,83.74,80.11,29560,0.0403
2023-05-25,80.12,81.71,82.78,79.86,25930,-0.0196
2023-05-24,81.72,84.35,84.4,81.4,22720,-0.0312
2023-05-23,84.35,85.32,85.66,83.86,15480,-0.0114
2023-05-22,85.32,86.72,87.25,84.61,20540,-0.0161
2023-05-19,86.72,86.3,87.98,86.13,23930,0.0007
2023-05-18,86.66,86.5,87.16,85.62,32320,-0.0032
2023-05-17,86.94,83.2,87,82.84,41230,0.0427
2023-05-16,83.38,82.35,83.97,81.5,20900,0.0123
2023-05-15,82.37,80.54,83.24,80.53,17250,0.0228
2023-05-12,80.53,79.6,81.76,79.6,16110,0.0114
2023-05-11,79.62,80.73,81.24,79.52,17790,-0.0141
2023-05-10,80.76,80.96,81.6,80.2,14460,-0.0028
2023-05-09,80.99,83.18,83.18,80.4,21700,-0.0066
2023-05-08,81.53,83.9,84.87,83.05,16340,-0.0073
2023-05-05,82.13,83.5,83.5,83.5,40,0.0268
2023-05-04,79.99,79,81.76,78.93,23680,0.039
2023-05-03,76.99,80.72,80.79,78.56,16390,-0.0205
2023-05-02,78.6,81.31,82.33,80.16,14050,-0.0118
2023-05-01,79.54,80.55,81.58,79.91,11480,0.0065
2023-04-28,79.03,80.82,80.82,80.82,,0.0051
2023-04-27,78.63,78.75,81.1,78.12,19240,0.0277
2023-04-26,76.51,78.6,79.88,78.09,16060,-0.0064
2023-04-25,77,76.22,76.22,76.22,10,-0.0251
2023-04-24,78.98,80.96,81.45,79.65,310,0.0073
2023-04-21,78.41,79.19,79.97,78.42,1590,-0.0105
2023-04-20,79.24,83.12,83.25,79.24,5550,-0.0481
2023-04-19,83.24,84.5,84.93,83.1,5730,-0.0155
2023-04-18,84.55,83.3,84.93,83.2,10080,0.015
2023-04-17,83.3,82.89,83.96,82.65,12610,0.0053
2023-04-14,82.86,83.32,83.77,82.76,18250,-0.0059
2023-04-13,83.35,82.5,83.81,82.25,23170,0.0109
2023-04-12,82.45,82.69,83.17,82.04,23940,-0.0036
2023-04-11,82.75,82.33,83.07,81.9,20090,0.0036
2023-04-10,82.45,83,83.63,82.33,19610,-0.009
2023-04-06,83.2,81.45,83.43,81.2,25570,0.0263
2023-04-05,81.07,81,81.97,80.51,13540,0.0002
2023-04-04,81.05,82.38,83,80.22,17750,-0.0161
2023-04-03,82.38,83.38,83.64,81.88,15890,-0.0048
2023-03-31,82.78,83.64,83.69,82.26,16290,-0.0086
2023-03-30,83.5,82.68,83.95,82.05,16770,0.0089
2023-03-29,82.76,82.52,83.42,81.31,22290,0.0029
2023-03-28,82.52,79.66,82.52,79.66,21280,0.0377
2023-03-27,79.52,76.84,79.54,76.55,18670,0.0389
2023-03-24,76.54,77.54,77.86,75.7,17860,-0.0134
2023-03-23,77.58,78.2,79.47,77.15,13790,-0.0089
2023-03-22,78.28,78.01,79.8,77.78,13920,0.0055
2023-03-21,77.85,77.3,79.16,77.22,14040,0.0082
2023-03-20,77.22,77.6,79.49,76.68,17450,-0.0078
2023-03-17,77.83,79.1,79.32,76.86,17530,-0.0168
2023-03-16,79.16,79.25,79.87,77.55,20980,0.0006
2023-03-15,79.11,81.3,81.73,78.22,21830,-0.0278
2023-03-14,81.37,80.6,82.49,80.3,20010,0.0023
2023-03-13,81.18,78.69,81.18,77.95,34650,0.0384
2023-03-10,78.18,82.2,82.25,78.18,37570,-0.0501
2023-03-09,82.3,82.62,83.72,81.81,15570,-0.0053
2023-03-08,82.74,82.92,83.48,82.16,15010,-0.0018
2023-03-07,82.89,83.12,83.12,83.12,,-0.0232
2023-03-06,84.86,84.18,85.38,83.28,13590,0.0058
2023-03-03,84.37,84.3,84.3,84.3,,0.0183
2023-03-02,82.85,85.5,86.25,83.11,20410,-0.0203
2023-03-01,84.57,84.03,86.08,83.8,17270,0.0045
2023-02-28,84.19,84.75,84.75,83.75,,-0.0095
2023-02-27,85,84.9,85,83.3,13870,-0.0015
2023-02-24,85.13,82,82.6,82,10,0.033
2023-02-23,82.41,83.06,83.06,82,20,0.0019
2023-02-22,82.25,81.87,82.78,81.87,90,0.0164
2023-02-21,80.92,80.36,83.5,79.8,4280,0.0083
2023-02-17,80.25,81.25,81.75,80,6550,-0.0123
2023-02-16,81.25,82.5,83.79,81,7680,-0.0157
2023-02-15,82.55,85.25,85.5,82.03,14280,-0.0334
2023-02-14,85.4,85.5,85.9,84.4,9370,-0.0028
2023-02-13,85.64,85.15,86.73,84.53,16690,0.0043
2023-02-10,85.27,85.3,85.65,84.26,17700,-0.0027
2023-02-09,85.5,85.32,86.3,85.1,27190,0.0015
2023-02-08,85.37,85.61,85.89,84.14,23420,-0.003
2023-02-07,85.63,83.27,86.99,83.27,32550,0.0283
2023-02-06,83.27,85.13,85.6,83.07,22340,-0.0253
2023-02-03,85.43,86.15,86.45,85.05,17020,-0.0111
2023-02-02,86.39,85.8,87.29,85.43,16550,0.0091
2023-02-01,85.61,86.01,87,85.3,17240,-0.0071
2023-01-31,86.22,85.3,86.85,85.01,22410,0.0132
2023-01-30,85.1,87.25,87.4,84.5,18480,-0.0206
2023-01-27,86.89,87.35,87.56,86.11,10050,-0.007
2023-01-26,87.5,86.8,88.88,86.63,17020,0.0097
2023-01-25,86.66,86.16,87.5,85.12,12760,0.0049
2023-01-24,86.24,87.32,87.32,85.63,13360,-0.0132
2023-01-23,87.39,86.7,88.68,85.8,22810,0.008
2023-01-20,86.7,83.58,86.79,83.57,19410,0.0397
2023-01-19,83.39,84.8,85.64,83.23,18150,-0.0167
2023-01-18,84.81,82.86,86.3,82.86,21390,0.024
2023-01-17,82.82,82.4,83.22,81.97,14290,0.0064
2023-01-13,82.29,82,83.4,81.65,18130,0.003
2023-01-12,82.04,84.4,84.87,81.85,19970,-0.0263
2023-01-11,84.26,84.61,85.84,83.4,14880,-0.0059
2023-01-10,84.76,86,86.15,84.3,14170,-0.0169
2023-01-09,86.22,85.67,87.97,84.58,21880,0.0063
2023-01-06,85.68,82.58,86.1,82.11,16470,0.0375
2023-01-05,82.58,80.51,83.73,80.5,16640,0.0266
2023-01-04,80.44,83.17,84.25,80.37,18860,-0.0325
2023-01-03,83.14,83.37,85.85,82.8,13020,-0.0028
2022-12-30,83.37,82.64,84.64,82.55,7530,0.0088
2022-12-29,82.64,83.25,83.89,82.52,7100,-0.0074
2022-12-28,83.26,84.09,85.08,82.36,10370,-0.0116
2022-12-27,84.24,85.23,85.64,84.02,7360,-0.0114
2022-12-23,85.21,84.3,85.79,84.01,9300,0.0108
2022-12-22,84.3,88.3,88.6,84.3,13090,-0.0453
2022-12-21,88.3,87.8,89.65,87.36,15600,0.0052
2022-12-20,87.84,84.08,88.08,83.63,16360,0.0447
2022-12-19,84.08,81.92,85.75,81.33,16980,0.0264
2022-12-16,81.92,81.03,82.3,79.8,13490,0.011
2022-12-15,81.03,81.37,81.97,80.41,11580,-0.0042
2022-12-14,81.37,81.47,82.55,80.63,10980,-0.0032
2022-12-13,81.63,79.29,82.39,78.8,18270,0.0282
2022-12-12,79.39,80.95,81.88,79.03,14220,-0.0193
2022-12-09,80.95,80.9,83.75,80.1,18900,0.0012
2022-12-08,80.85,82.15,84.1,80.76,13720,-0.0213
2022-12-07,82.61,84.59,85.08,81.17,17230,-0.0326
2022-12-06,85.39,85.28,86.06,85.28,,0.0053
2022-12-05,84.94,84.8,85.35,84.72,10,0.0078
2022-12-02,84.28,84.86,85.8,82.4,11250,-0.0192
2022-12-01,85.93,87.75,87.76,85.98,40,-0.0014
2022-11-30,86.05,83.2,85.5,83.2,40,0.0545
2022-11-29,81.6,80.8,80.8,80.8,,0.0175
2022-11-28,80.2,81.86,81.86,79.99,130,-0.014
2022-11-25,81.34,83.6,83.6,83.47,,-0.031
2022-11-23,83.94,83.57,84.02,82,480,0.0087
2022-11-22,83.22,81,83.94,80.04,2710,0.0254
2022-11-21,81.16,84.99,84.99,81.16,7980,-0.047
2022-11-18,85.16,87.04,87.13,84.18,8740,-0.0216
2022-11-17,87.04,88.07,88.82,85.64,6720,-0.0158
2022-11-16,88.44,88.8,91.85,87.81,9020,-0.0034
2022-11-15,88.74,85.35,89.28,85.23,14470,0.0406
2022-11-14,85.28,88.2,88.4,85.12,15440,-0.0331
2022-11-11,88.2,86.52,88.75,86.38,19790,0.0211
2022-11-10,86.38,86.49,87.44,84.93,18530,-0.0014
2022-11-09,86.5,87.68,88.75,84.19,24710,-0.0135
2022-11-08,87.68,87.46,89.31,86.25,21390,0.0022
2022-11-07,87.49,86.23,88.25,84.85,33510,0.0064
2022-11-04,86.93,83.45,87.87,81.25,36850,0.0473
2022-11-03,83,79.9,83,77.69,35910,0.0506
2022-11-02,79,78.4,79,76.52,31100,0.0533
2022-11-01,75,72.15,75,72,13670,0.0417
2022-10-31,72,72.11,73.22,70.21,22710,-0.0015
2022-10-28,72.11,74.74,75.37,72.11,16490,-0.0399
2022-10-27,75.11,77.81,78.1,74.82,18100,-0.0348
2022-10-26,77.82,78.47,79.64,77.67,12700,-0.0083
2022-10-25,78.47,76.13,79.09,76.05,17090,0.0307
2022-10-24,76.13,79.4,80.8,76.13,17880,-0.0379
2022-10-21,79.13,77.5,79.93,75.8,25080,0.0224
2022-10-20,77.4,78.2,79.66,77.14,21490,-0.0114
2022-10-19,78.29,82.58,83.69,78.29,25440,-0.0486
2022-10-18,82.29,83.09,83.75,81.78,15750,-0.0096
2022-10-17,83.09,83.04,84.68,83,13040,-0.0007
2022-10-14,83.15,84.79,85.86,83,12790,-0.0193
2022-10-13,84.79,84.92,85.58,82,21950,-0.0015
2022-10-12,84.92,88.49,88.76,84.86,21060,-0.0443
2022-10-11,88.86,88.64,89.78,87.05,19680,0.0071
2022-10-10,88.23,84.75,88.23,83.55,16060,-0.0434
2022-10-07,92.23,83.01,84.79,81.55,17280,0.0146
2022-10-06,90.9,83.6,85.28,82.1,18130,-0.0036
2022-10-05,91.23,88.26,90.52,83.2,25910,-0.0511
2022-10-04,96.14,84.37,88.2,84.31,20440,0.0434
2022-10-03,92.14,85.39,86.18,82.7,20230,-0.0116
2022-09-30,93.22,93,93,93,,0.0701
2022-09-29,87.11,88.5,88.93,85,20650,-0.0368
2022-09-28,90.44,88.71,89.34,85.7,20180,0.0044
2022-09-27,90.04,88.75,91.85,87.55,19310,-0.0031
2022-09-26,90.32,92.5,93.74,88.24,24260,-0.0441
2022-09-23,94.49,98.26,98.26,94.19,,-0.0242
2022-09-22,96.83,97.45,98.7,96.56,50,-0.0043
2022-09-21,97.25,94.31,97.54,94.31,40,0.0397
2022-09-20,93.54,95.39,95.39,94.01,10,-0.041
2022-09-19,97.54,99.1,99.74,94.35,25700,-0.0365
2022-09-16,101.24,102.45,102.45,102.45,10,-0.038
2022-09-15,105.24,103,104.17,101.98,11190,-0.0173
2022-09-14,107.09,105.98,105.98,105.98,,0.0072
2022-09-13,106.32,108.34,108.34,106.49,10,-0.0353
2022-09-12,110.21,105,108.1,102.02,15390,0.0063
2022-09-09,109.52,104,105.83,103.96,12060,0.0111
2022-09-08,108.32,106.61,108.5,106.61,10,0.0209
2022-09-07,106.1,108.56,109.03,106.29,20,-0.0202
2022-09-06,108.29,110.85,110.85,108.41,10,-0.0009
2022-09-02,108.39,113.27,113.79,109.3,50,-0.0433
2022-09-01,113.29,117.67,117.95,113.3,30,-0.0423
2022-08-31,118.29,119.11,119.11,117.11,10,0.007
2022-08-30,117.47,119.47,119.47,117.13,40,-0.0373
2022-08-29,122.02,121.43,121.61,120.84,10,-0.0008
2022-08-26,122.12,119.33,122.18,119.32,50,0.0422
2022-08-25,117.18,114,117.36,113.31,12920,-0.0033
2022-08-24,117.57,117.06,117.93,116.73,10,0.0113
2022-08-23,116.26,116,116.69,116,10,-0.0138
2022-08-22,117.89,121.04,121.43,121.04,,-0.0155
2022-08-19,119.75,115.81,118.6,115.39,10,0.0225
2022-08-18,117.12,118.74,118.75,118.74,10,-0.0101
2022-08-17,118.32,122.15,122.15,117.26,30,-0.0321
2022-08-16,122.25,120.21,125,120.21,70,0.0235
2022-08-15,119.44,116.06,119.44,116.06,20,0.0437
2022-08-12,114.44,110.4,114.44,108.8,20,0.0362
2022-08-11,110.44,106.94,110.4,106.91,20,0.0346
2022-08-10,106.75,104.14,108.41,103.77,70,0.0211
2022-08-09,104.54,101.33,104.73,101.24,30,0.0291
2022-08-08,101.58,101.48,102.38,101.39,10,-0.001
2022-08-05,101.68,101.69,101.73,100.3,10,0.0156
2022-08-04,100.12,100.29,100.29,99.78,10,-0.0024
2022-08-03,100.36,100.86,100.86,100.48,10,-0.0051
2022-08-02,100.87,99.81,102.37,98,10,0.0058
2022-08-01,100.29,102.38,102.38,99.13,30,-0.0275
2022-07-29,103.13,103.05,104.06,103.05,10,0.0074
2022-07-28,102.37,100.64,102.85,100.64,40,0.0254
2022-07-27,99.83,99.84,101.5,98.95,40,0.0014
2022-07-26,99.69,97.51,99.84,95.02,80,0.0223
2022-07-25,97.52,98.94,98.99,97.32,80,-0.0192
2022-07-22,99.43,100.19,100.33,99.25,10,-0.0017
2022-07-21,99.6,100.54,102.95,98.48,80,-0.0078
2022-07-20,100.38,99.9,101.14,99.89,20,0.0018
2022-07-19,100.2,100.57,100.78,97.44,20,-0.0022
2022-07-18,100.42,97.07,100.82,97.07,10,0.0416
2022-07-15,96.41,90.85,96.41,90.85,20,0.0547
2022-07-14,91.41,95.19,95.2,91.41,60,-0.0419
2022-07-13,95.41,98,98,94.26,40,-0.0308
2022-07-12,98.44,101.21,101.21,98.63,10,-0.039
2022-07-11,102.44,104,104.09,101.2,10,-0.0017
2022-07-08,102.61,100.35,102.78,98.76,90,0.0458
2022-07-07,98.12,88.61,92.4,88.1,18430,0.0362
2022-07-06,94.69,93.45,94.13,88.5,31590,-0.0501
2022-07-05,99.68,97.4,97.47,93.48,19600,-0.0386
2022-07-01,103.68,109,109,109,,-0.0025
2022-06-30,103.94,104,105,104,30,-0.0033
2022-06-29,104.28,103,105,103,,0.0416
2022-06-28,100.12,103,103,103,10,-0.0023
2022-06-27,100.35,102,102,102,10,-0.0329
2022-06-24,103.76,132.25,132.25,100,170,-0.2388
2022-06-23,136.32,143.5,143.73,136.32,5810,-0.0488
2022-06-22,143.32,143.58,145,143,6300,-0.0013
2022-06-21,143.51,143.5,146,143.4,8440,0.0004
2022-06-17,143.45,143.57,145.88,143.18,5110,-0.0006
2022-06-16,143.53,143.51,147.5,143.45,6840,0.0024
2022-06-15,143.18,143.64,145.45,142.5,8170,-0.0021
2022-06-14,143.48,145.65,145.92,143.36,7980,-0.015
2022-06-13,145.66,145.3,146.55,143.8,12170,0.0041
2022-06-10,145.06,146.92,147.7,144.5,25750,-0.0099
2022-06-09,146.51,140.3,146.62,139.57,16930,0.0419
2022-06-08,140.62,137.47,141.9,137.07,16020,0.0268
2022-06-07,136.95,137.74,138.47,136.1,18340,-0.0057
2022-06-06,137.74,139.48,141.59,136.96,15550,-0.0032
2022-06-03,138.18,139.14,140.7,136.06,11950,-0.0067
2022-06-02,139.11,136.1,140.64,134.12,15860,0.0224
2022-06-01,136.06,139.2,139.75,135.59,20900,-0.021
2022-05-31,138.98,139.42,142,138.65,12500,-0.0032
2022-05-27,139.42,140.7,141.99,139.05,11380,-0.0085
2022-05-26,140.61,144.57,145.37,140.36,20400,-0.0313
2022-05-25,145.16,141.4,147.14,140.75,19080,0.0256
2022-05-24,141.54,142.75,142.82,140.68,13330,-0.0085
2022-05-23,142.75,142.61,144.95,140.83,12400,0.0034
2022-05-20,142.27,147.35,148,141.86,13620,-0.0368
2022-05-19,147.7,144.45,148.86,141.12,19700,0.0224
2022-05-18,144.47,148.94,149.17,143.16,16380,-0.0269
2022-05-17,148.46,150.52,151.95,148.25,14820,-0.0145
