Date,Price,Open,High,Low,Vol.,Change %
2023-06-16,26.43,26.07,26.49,25.96,61930,0.0165
2023-06-15,26,25.84,26.41,25.6,119780,0.0062
2023-06-14,25.84,25.19,25.88,25.12,73950,0.027
2023-06-13,25.16,25.46,25.63,25.03,105500,-0.0122
2023-06-12,25.47,25.38,26,25.22,105280,0.0035
2023-06-09,25.38,25.7,26.15,25.35,105140,-0.0039
2023-06-08,25.48,24.49,25.68,24.42,118750,0.04
2023-06-07,24.5,24.68,24.89,24.38,75790,-0.0033
2023-06-06,24.58,24.44,24.75,24.23,109050,0.0074
2023-06-05,24.4,24.85,25.08,24.33,107120,-0.0133
2023-06-02,24.73,24.88,24.88,24.57,74980,-0.006
2023-06-01,24.88,25.1,25.4,24.74,68550,-0.0072
2023-05-31,25.06,25.3,25.44,25.02,64670,-0.0107
2023-05-30,25.33,25.38,25.83,25.19,105580,-0.0016
2023-05-26,25.37,24.95,25.64,24.71,83140,0.0217
2023-05-25,24.83,25.4,25.45,24.61,125920,-0.0259
2023-05-24,25.49,25.77,25.93,25.46,66650,-0.0124
2023-05-23,25.81,25.99,26.22,25.77,60570,-0.0069
2023-05-22,25.99,25.75,26.05,25.58,46970,0.0081
2023-05-19,25.78,25.65,26.09,25.59,42140,0.0066
2023-05-18,25.61,25.88,25.97,25.46,58920,-0.0116
2023-05-17,25.91,26.14,26.15,25.8,40730,-0.0061
2023-05-16,26.07,26.26,26.63,26.01,50890,-0.0084
2023-05-15,26.29,26.3,26.43,25.83,48370,0.0027
2023-05-12,26.22,26.07,26.39,26,49260,0.0077
2023-05-11,26.02,26.62,26.74,25.99,81280,-0.024
2023-05-10,26.66,26.17,26.74,26.01,60780,0.0179
2023-05-09,26.19,26.06,26.43,25.93,57870,0.0038
2023-05-08,26.09,26.42,26.48,26.01,43640,-0.0087
2023-05-05,26.32,25.6,26.45,25.59,62580,0.0313
2023-05-04,25.52,25.17,25.66,24.95,46690,0.0139
2023-05-03,25.17,25.08,25.44,24.88,63970,0.0012
2023-05-02,25.14,25.5,26.06,25.07,78680,-0.0157
2023-05-01,25.54,26.39,26.48,25.43,59470,-0.0537
2023-04-28,26.99,27,27.05,26.5,2010,0
2023-04-27,26.99,26.41,27.41,26.27,11900,0.0181
2023-04-26,26.51,26.7,27.07,26.37,24960,-0.0053
2023-04-25,26.65,25.9,26.87,25.59,31920,0.0286
2023-04-24,25.91,24.77,25.99,24.6,46340,0.0435
2023-04-21,24.83,25.62,25.62,24.67,39740,-0.0166
2023-04-20,25.25,24.26,25.37,24.19,37220,0.0361
2023-04-19,24.37,24.46,24.9,24.3,34140,-0.0069
2023-04-18,24.54,24.44,24.69,24.1,48830,0.0041
2023-04-17,24.44,24.25,24.5,24.12,58060,0.0141
2023-04-14,24.1,23.92,24.27,23.75,53480,0.0025
2023-04-13,24.04,24,24.7,23.9,71320,-0.0004
2023-04-12,24.05,24.65,24.85,23.92,115220,-0.0131
2023-04-11,24.37,23.73,24.45,23.62,169540,0.0344
2023-04-10,23.56,23.56,23.82,23.44,112760,-0.0021
2023-04-06,23.61,23.01,23.68,22.71,140110,0.0288
2023-04-05,22.95,22.48,23.01,22.41,112570,0.0214
2023-04-04,22.47,22.25,22.6,22.22,71130,0.0031
2023-04-03,22.4,22.35,22.63,22.19,87500,0.0067
2023-03-31,22.25,21.99,22.36,21.78,77060,0.0132
2023-03-30,21.96,21.3,22,21.3,116900,0.0334
2023-03-29,21.25,21.38,21.42,21.05,102710,-0.0028
2023-03-28,21.31,20.99,21.45,20.96,52750,0.0182
2023-03-27,20.93,20.91,21.15,20.74,46280,0.0053
2023-03-24,20.82,20.97,20.99,20.65,54540,-0.0034
2023-03-23,20.89,21.15,21.34,20.81,55230,-0.0118
2023-03-22,21.14,20.85,21.38,20.78,55320,0.0163
2023-03-21,20.8,20.6,20.92,20.49,36600,0.0156
2023-03-20,20.48,20.5,20.69,20.42,38680,-0.0092
2023-03-17,20.67,20.79,20.94,20.53,39080,-0.0043
2023-03-16,20.76,20.61,20.85,20.35,62710,0.0127
2023-03-15,20.5,20.64,20.7,20.39,65630,-0.0087
2023-03-14,20.68,20.86,21.02,20.65,58310,-0.0058
2023-03-13,20.8,21.23,21.27,20.7,87000,-0.017
2023-03-10,21.16,21.04,21.22,20.66,68290,0.0005
2023-03-09,21.15,20.82,21.33,20.71,65370,0.0129
2023-03-08,20.88,21,21.03,20.77,49060,-0.0067
2023-03-07,21.02,20.87,21.25,20.81,61930,0.0072
2023-03-06,20.87,20.93,20.96,20.63,52860,-0.0024
2023-03-03,20.92,20.35,21.04,20.32,80260,0.03
2023-03-02,20.31,20.57,20.62,20.2,45550,-0.0126
2023-03-01,20.57,20.09,20.65,20.04,63130,-0.0684
