Date_reported,New_cases
2020-01-03,0
2020-01-04,3
2020-01-05,0
2020-01-06,3
2020-01-07,0
2020-01-08,1
2020-01-09,1
2020-01-10,0
2020-01-11,1
2020-01-12,42
2020-01-13,1
2020-01-14,6
2020-01-15,0
2020-01-16,0
2020-01-17,1
2020-01-18,4
2020-01-19,77
2020-01-20,79
2020-01-21,93
2020-01-22,148
2020-01-23,131
2020-01-24,275
2020-01-25,473
2020-01-26,697
2020-01-27,790
2020-01-28,1775
2020-01-29,1481
2020-01-30,1756
2020-01-31,2017
2020-02-01,2111
2020-02-02,2606
2020-02-03,2836
2020-02-04,3255
2020-02-05,3948
2020-02-06,3728
2020-02-07,3197
2020-02-08,3406
2020-02-09,2670
2020-02-10,3058
2020-02-11,2484
2020-02-12,2075
2020-02-13,15213
2020-02-14,4071
2020-02-15,2726
2020-02-16,2107
2020-02-17,2159
2020-02-18,1998
2020-02-19,1879
2020-02-20,424
2020-02-21,1011
2020-02-22,1066
2020-02-23,1030
2020-02-24,518
2020-02-25,787
2020-02-26,869
2020-02-27,1107
2020-02-28,1252
2020-02-29,1903
2020-03-01,1794
2020-03-02,2032
2020-03-03,1940
2020-03-04,2417
2020-03-05,2502
2020-03-06,2966
2020-03-07,3896
2020-03-08,4023
2020-03-09,4070
2020-03-10,4881
2020-03-11,5660
2020-03-12,8488
2020-03-13,9918
2020-03-14,11675
2020-03-15,13275
2020-03-16,12959
2020-03-17,16387
2020-03-18,19494
2020-03-19,24262
2020-03-20,28632
2020-03-21,33092
2020-03-22,35710
2020-03-23,33143
2020-03-24,40536
2020-03-25,47226
2020-03-26,51335
2020-03-27,59898
2020-03-28,66753
2020-03-29,66631
2020-03-30,57857
2020-03-31,64060
2020-04-01,67656
2020-04-02,73577
2020-04-03,77190
2020-04-04,81201
2020-04-05,79554
2020-04-06,71034
2020-04-07,67410
2020-04-08,76703
2020-04-09,80002
2020-04-10,86695
2020-04-11,87321
2020-04-12,82514
2020-04-13,73174
2020-04-14,66110
2020-04-15,70584
2020-04-16,74815
2020-04-17,78987
2020-04-18,83239
2020-04-19,81676
2020-04-20,72296
2020-04-21,71465
2020-04-22,74827
2020-04-23,76018
2020-04-24,81135
2020-04-25,97037
2020-04-26,83057
2020-04-27,79733
2020-04-28,69522
2020-04-29,70499
2020-04-30,76966
2020-05-01,81417
2020-05-02,88394
2020-05-03,88067
2020-05-04,79946
2020-05-05,79010
2020-05-06,77292
2020-05-07,82868
2020-05-08,88878
2020-05-09,91557
2020-05-10,91127
2020-05-11,87589
2020-05-12,73001
2020-05-13,80179
2020-05-14,86524
2020-05-15,86952
2020-05-16,101712
2020-05-17,98951
2020-05-18,96080
2020-05-19,79130
2020-05-20,94252
2020-05-21,104047
2020-05-22,107884
2020-05-23,106376
2020-05-24,109232
2020-05-25,97315
2020-05-26,93240
2020-05-27,89881
2020-05-28,99608
2020-05-29,108067
2020-05-30,120196
2020-05-31,120871
2020-06-01,127229
2020-06-02,108936
2020-06-03,99120
2020-06-04,124464
2020-06-05,126923
2020-06-06,127105
2020-06-07,131873
2020-06-08,125654
2020-06-09,109775
2020-06-10,109364
2020-06-11,132273
2020-06-12,140727
2020-06-13,141786
2020-06-14,144284
2020-06-15,132445
2020-06-16,119314
2020-06-17,124180
2020-06-18,183410
2020-06-19,148044
2020-06-20,143997
2020-06-21,182432
2020-06-22,154862
2020-06-23,131230
2020-06-24,141883
2020-06-25,173914
2020-06-26,180236
2020-06-27,186249
2020-06-28,193571
2020-06-29,178669
2020-06-30,158913
2020-07-01,170591
2020-07-02,185420
2020-07-03,212226
2020-07-04,214746
2020-07-05,214814
2020-07-06,191458
2020-07-07,168143
2020-07-08,177517
2020-07-09,216028
2020-07-10,227085
2020-07-11,224183
2020-07-12,234780
2020-07-13,219683
2020-07-14,195632
2020-07-15,195054
2020-07-16,234062
2020-07-17,246564
2020-07-18,248158
2020-07-19,247926
2020-07-20,231637
2020-07-21,207057
2020-07-22,211826
